0,0,0,0,0,0
0.7865,0,0,0,0,0
7.4595,0,0,0,0,0
0,0,0,0,0,0
0.585,4.044,1.7335,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
3.927,3.4565,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
5.6005,0,0,0,0,0
2.3585,0,0,0,0,0
0.9335,0.218,0.7435,0,0,0
0,0,0,0,0,0
2.863,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1.4985,0,0,0,0,0
0.09,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.2725,0,0,0,0,0
8.4715,0,0,0,0,0
4.16,0,0,0,0,0
0,0.41,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.826,0.4165,1.4715,0,0,0
0.0005,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.0165,0,0,0,0,0
0.2375,4.373,0.347,0.6515,0.6515,6.9845
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
3.8055,1.0365,2.435,0,0,0
0.1805,0.96,1.409,1.1795,3.261,0.3705
1.4375,0,0,0,0,0
0,0,0,0,0,0
0.2185,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1.985,0.124,0.07,0,0,0
0.872,0,0,0,0,0
0.5875,0,0,0,0,0
0,0,0,0,0,0
0.5785,0,0,0,0,0
0,0,0.167,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
3.14,0,0,0,0,0
8.431,3.2595,0.1275,0,0,0
0,0,0,0,0,0
0.0385,0,0.6325,0,0,0
0.0115,0,0,0,0,0
0,0.9565,0.6875,0,0,0
0.915,0,0,0,0,0
0,0,0,0,0,0
3.5255,3.8085,4.0395,0,0,0
0,0,0,0,0,0
2.582,0,0,0,0,0
0,0,0,0,0,0
5.839,0,0,0,0,0
0,0,0,0,0,0
0.25,0,0,0,0,0
0,0,0,0,0,0
2.535,0,0,0,0,0
0.125,0,0,0,0,0
0.6655,0,0,0,0,0
0.177,0,0,0,0,0
1.103,0,0,0,0,0
0.133,0,0.595,0,0,0
0.116,0.596,0.262,0,0,0
0.021,0,0,0,0,0
0.2375,0,0,0,0,0
0.5975,0.5975,2.017,0,0,0
0,0,0,0,0,0
2.4175,0,0,0,0,0
0.2005,0,0,0,0,0
0.8565,0.4285,1.266,0.247,0.8625,0.051
0.2185,1.445,0.289,0,0,2.421
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.37,0,0,0,0,0
0.7605,2.3965,0,0,0,0
0,0,0,0,0,0
0,0.013,0.9095,0,0,0
0.552,1.826,0.5985,0,0,0
0.8825,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.167,0,0,0,0,0
0,0,0,0,0,0
3.836,3.311,3.473,4.133,13.421,1.0385
0.002,0.1495,0,0,0,0
0.226,0.353,1.6075,2.568,0.378,2.536
0.9335,1.1585,0.795,0,0,0
0,0,0,0,0,0
1.8685,0.8805,1.433,1.93,0,0.771
