0,0,0,0,0,0
5.6955,0.376,2.0325,0,0,0
2.183,2.183,14.508,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1.18,0,0,0,0,0
0,0,0,0,0,0
9.766,0.1525,0.5525,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.115,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1.4805,0,0,0,0,0
0,0,0,0,0,0
1.6745,0,0,0,0,0
7.2475,0,0,0,0,0
0.9155,0,0,0,0,0
0.143,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
3.7345,2.108,2.108,0,0,0
0.499,0,0,0,0,0
0.479,0.479,1.1345,0,0,0
4.1835,4.257,0.5305,4.257,0.531,0.5305
0,0,0,0,0,0
2.7025,0,0,0,0,0
0.463,7.345,0.637,2.395,8.177,0.5215
