LOCALIDADES,Laguna de Santa Rita,San Marcos (San Marcos Carmona),Palomas,Vanegas,Laguna de San Vicente,Villa Hidalgo,Rancho Nuevo,El Rosario,Villa Jurez,Villa de la Paz,Ahualulco del Sonido 13,Escalerillas,Moctezuma,Tierra Nueva,Venado,Rayn,La Pila,San Ciro de Acosta,Villa de Arista,Villa de Zaragoza,Ciudad Tula,Doctor Arroyo,Villa de Reyes,Ciudad del Maz,Cedral,Charcas,Santa Mara del Ro,Cerritos,Crdenas,Ciudad Fernndez,Rioverde,Matehuala,Soledad de Graciano Snchez,San Luis Potos, 
Laguna de Santa Rita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.512,0,0,20.695,0,0,0,0,0,0,0,0,0,0,0,0,0,14.775, 
San Marcos (San Marcos Carmona),0,0,0,0,0,0,14.76,0,0,0,31.642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Palomas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.834,0,0,0,75.138,0,0,0,0,0,0, 
Vanegas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.458,0,0,0,0,0,0,0,0,0, 
Laguna de San Vicente,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.286,0,0,0,0,0,19.41,0,0,0,28.917,0,0,0,0,0,0,0, 
Villa Hidalgo,0,0,0,0,0,0,39.922,0,0,0,0,0,0,0,0,0,0,0,39.935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Rancho Nuevo,0,14.76,0,0,0,39.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.567,0, 
El Rosario,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.447,0,0,0,0,0,0,0,0,0,0,0, 
Villa Jurez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.347,0,0,61.18,0,0,0, 
Villa de la Paz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.902,0,0,0,0,0,0,8.192,0,0, 
Ahualulco del Sonido 13,0,31.642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Escalerillas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8, 
Moctezuma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Tierra Nueva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.875,0,0,0,0,0,0,0, 
Venado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.17,0,0,0,0,0,0,0,0, 
Rayn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.878,0,41.993,0,0,0, 
La Pila,13.512,0,0,0,19.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
San Ciro de Acosta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.193,0,0,0, 
Villa de Arista,0,0,0,0,0,39.935,0,0,0,0,0,0,30.734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Villa de Zaragoza,20.695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Ciudad Tula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.806,0,0,0,0,0,0,0,0,0,0, 
Doctor Arroyo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.318,0,0, 
Villa de Reyes,0,0,0,0,19.41,0,0,12.447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Ciudad del Maz,0,0,33.834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.806,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Cedral,0,0,0,29.458,0,0,0,0,0,18.902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Charcas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.189,0,0, 
Santa Mara del Ro,0,0,0,0,28.917,0,0,0,0,0,0,0,0,29.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Cerritos,0,0,75.138,0,0,0,0,0,13.347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Crdenas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Ciudad Fernndez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.242,0,0,0, 
