22,1550,12,7.092,5.1679
53,751,12,16.839,10.817
102,1887,12,25.449,11.779
158,2234,12,5.774,2.8605
297,1537,12,9.189,6.874
393,303,12,25.652,13.796
473,1163,12,8.528,6.0202
506,2639,12,6.874,4.4708
514,2938,12,14.174,10.821
522,1537,12,8.714,5.2997
558,494,12,7.698,5.1322
598,2051,12,6.543,3.5154
727,213,12,12.441,8.4751
827,1133,12,4.637,2.9713
856,968,12,14.198,10.186
1049,176,12,3.411,2.667
1098,984,12,9.629,6.8601
1251,1209,12,8.145,2.5301
1303,1288,12,5.817,3.8391
1331,2082,12,7.68,4.0034
1408,33,12,35.443,22.929
1483,571,12,4.918,4.4236
1557,1623,12,9.082,2.043
1603,895,12,10.158,5.3348
2277,2981,12,11.611,4.0088
2293,3435,12,4.681,2.5791
2366,1994,12,9.481,7.8361
2480,684,12,29.265,20.712
2715,2337,12,5.279,3.7789
2767,3626,12,11.576,7.2149
3325,313,12,6.737,5.0479
3485,303,12,3.416,2.5442
