28,1394,28,9.906,6.0318
231,2116,28,14.258,8.5626
289,3344,28,2.138,1.3564
421,716,28,5.626,3.8403
491,2384,28,6.277,4.7673
570,2206,28,7.385,5.1299
858,419,28,6.223,3.9038
951,1576,28,5.787,4.425
1004,500,28,14.075,11.726
1019,419,28,13.436,9.3658
1101,500,28,15.889,9.9179
1106,3519,28,9.028,5.7731
1211,1485,28,7.114,3.8659
1655,356,28,11.445,8.1805
1755,2862,28,8.765,6.1564
1981,1162,28,12.522,10.934
2470,1948,28,15.951,13.24
2913,1948,28,21.26,17.196
2974,1948,28,34.637,26.826
3182,2035,28,5.952,4.6037
3398,2972,28,34.997,19.926
