204,935,8,8.976,6.4125
249,3144,8,2.269,1.5587
444,109,8,33.635,13.334
460,3154,8,3.706,3.0573
659,3455,8,4.588,2.6267
768,354,8,9.119,6.6659
849,1916,8,5.898,4.3021
904,368,8,1.754,0.95063
1107,1382,8,10.075,6.8366
1336,1413,8,5.407,4.0616
1435,368,8,19.153,13.968
1760,3287,8,7.384,4.5475
1841,3310,8,9.164,6.4189
1870,1187,8,2,0.62605
1918,2065,8,61.52,39.544
2171,3094,8,2.844,1.9849
2186,368,8,3.241,1.1704
2239,584,8,3.092,1.9076
2317,123,8,10.225,6.2792
2563,108,8,6.98,5.1503
2589,3310,8,15.567,11.86
2766,935,8,10.472,5.3113
3219,725,8,24.436,12.327
