81,3480,47,8.64,5.6383
174,2281,47,19.547,12.974
178,3467,47,25.054,18.37
344,2,47,4.79,3.2301
386,2485,47,13.905,9.0125
411,672,47,15.463,10.393
446,3056,47,27.603,17.147
593,933,47,5.865,4.5523
600,2017,47,5.36,2.6657
668,2642,47,4.955,4.1183
1167,1886,47,4.507,3.1877
1263,95,47,8.975,6.2386
1275,963,47,5.857,4.2752
1313,1086,47,1.271,1.271
1441,2390,47,6.907,4.7633
1988,3556,47,9.464,6.8773
2104,515,47,11.587,6.8934
2254,3293,47,9.961,8.2831
2256,208,47,10.968,8.1963
2581,1592,47,13.022,7.574
2682,159,47,0.259,0.29478
2755,651,47,6.429,4.5028
2875,1592,47,7.226,4.8767
3231,2940,47,5.828,4.67
3304,1886,47,6.264,4.1142
3406,358,47,15.161,9.3176
3415,3439,47,3.684,2.0509
3594,181,47,5,3.933
