43,448,30,5.376,4.2854
70,1547,30,6.036,4.9343
125,1126,30,5.078,4.0307
177,1126,30,5.262,3.609
278,753,30,15.497,11.72
366,3193,30,9.532,5.0424
440,363,30,3.942,2.8841
459,1298,30,10.403,5.6999
479,2696,30,5.968,5.8115
681,414,30,27.91,12.265
912,210,30,11.322,5.3307
955,995,30,18.89,10.049
1003,407,30,14.747,4.0692
1119,1995,30,97.345,19.6
1158,1698,30,2.801,1.9409
1185,1298,30,62.285,19.094
1284,2598,30,21.973,14.53
1291,973,30,1.452,1.2266
1334,2777,30,87.473,50.354
1375,369,30,6.458,4.6233
1552,1987,30,6.369,4.6067
1571,1190,30,3.589,1.7719
1774,1995,30,151.98,23.407
2014,2931,30,52.664,39.417
2431,2489,30,3.523,2.8988
2471,1664,30,5.489,4.3485
2609,905,30,4.683,2.681
2851,2735,30,1.245,0.63619
2963,1387,30,4.585,2.8596
2975,2885,30,6.19,5.0694
