26,3495,48,10.071,4.7763
115,929,48,2.85,1.4629
170,1628,48,3.019,1.7661
216,2358,48,3.977,2.5336
257,1868,48,2.766,1.6251
293,2541,48,2.476,1.8243
316,290,48,4.551,3.9179
438,282,48,6.403,4.3823
443,747,48,1.831,1.5422
463,1944,48,0.591,0.62914
470,1830,48,19.836,7.932
489,2926,48,3.075,2.2766
502,2741,48,2.17,1.6442
527,228,48,5.219,3.5335
581,2565,48,28.664,18.867
597,2107,48,5.147,3.587
718,2445,48,6.46,4.5001
754,2278,48,8.611,5.9247
755,747,48,3.937,2.4148
786,3267,48,9.305,7.8732
812,3012,48,10.154,6.622
814,2289,48,2.233,1.5446
921,1856,48,3.491,2.7923
977,1123,48,1.367,1.0167
1023,1325,48,2.69,1.7517
1030,1568,48,2.888,1.8198
1174,1322,48,4.566,3.4846
1228,880,48,1.183,1.0594
1279,2080,48,10.935,8.572
1347,3255,48,3.054,1.7036
1423,2181,48,2.148,1.7008
1498,2435,48,2.901,2.1034
1594,1793,48,2.145,1.6725
1596,880,48,2.983,2.6527
1617,2358,48,4.807,3.9672
1661,390,48,2.922,2.3146
1806,505,48,15.84,10.968
1872,1795,48,3.215,2.6852
1904,2839,48,10.034,7.7798
1965,2019,48,7.899,5.8551
2054,682,48,4.571,3.3653
2056,290,48,1.104,0.93901
2163,3006,48,5.444,3.2628
2255,2132,48,7.564,4.7833
2259,1457,48,3.45,1.3801
2401,148,48,2.274,1.6772
2499,3006,48,1.666,1.043
2532,2213,48,18.566,11.134
2595,3014,48,3.483,1.074
2643,1776,48,2.85,1.8919
2847,3255,48,3.924,3.1118
2874,1740,48,8.624,6.4442
2892,2070,48,5.038,2.9462
2941,3006,48,4.066,3.3888
2957,2634,48,6.871,2.9259
3013,2321,48,3.667,3.0579
3097,2706,48,3.456,2.6282
3299,130,48,4.897,3.9153
3301,3255,48,4.903,2.3299
3427,1306,48,2.83,2.0609
3451,3115,48,11.944,6.6044
