6,335,36,7.011,3.6216
34,104,36,5.491,4.2295
68,519,36,2.246,1.763
122,867,36,15.996,9.5359
133,209,36,3.79,2.2192
180,937,36,11.382,5.2603
263,2780,36,19.506,11.97
314,873,36,3.635,2.895
374,1891,36,1.147,1.0818
420,985,36,9.785,7.1241
531,74,36,13.823,9.9966
550,1891,36,4.809,3.6488
580,528,36,2.221,1.2931
599,2423,36,54.025,24.308
614,1996,36,6.277,4.5113
655,2603,36,26.383,18.31
662,1318,36,5.154,3.0502
733,1772,36,20.138,9.6585
759,401,36,5.089,3.604
944,3376,36,4.712,2.9344
956,3133,36,7.589,5.533
1000,504,36,11.884,6.6863
1214,1341,36,4.6,3.5194
1455,3512,36,17.024,11.398
1473,3512,36,3.469,1.7407
1478,544,36,11.306,7.5323
1528,1514,36,8,6.3674
1722,2003,36,9.554,5.3945
1899,321,36,3.848,2.3009
1924,2780,36,6.396,4.7224
1973,2780,36,5.281,3.4609
2072,2040,36,4.204,2.6737
2246,3133,36,2.325,1.9045
2344,1687,36,21.527,12.628
2430,985,36,21.422,17.693
2478,1166,36,0.965,0.7258
2515,1839,36,17.177,12.789
2796,1109,36,1.522,0.77985
3054,1420,36,5.373,3.9186
3160,266,36,21.31,13.266
3210,975,36,31.745,23.83
3279,2158,36,16.531,8.4574
3409,3376,36,30.463,23.289
