36,1833,35,1.589,1.2787
39,603,35,21.441,17.266
113,2484,35,3.372,1.7396
250,3077,35,9.181,7.2281
325,2275,35,3.434,2.5081
441,4,35,3.284,1.9188
565,1224,35,5.86,3.2211
641,2724,35,18.857,11.553
770,2494,35,8.805,6.4243
891,1791,35,4.097,2.7195
1138,3297,35,4.403,3.462
1249,1456,35,5.405,3.9457
1393,2729,35,6.487,4.2667
1448,1818,35,27.402,18.842
1729,1585,35,3.6,2.9792
1790,2074,35,5.28,3.8158
1811,1818,35,17.705,14.945
1874,312,35,14.267,12.038
1895,3297,35,12.602,9.7791
2176,4,35,7.714,5.7135
2280,714,35,8.541,6.8097
2333,2074,35,10.243,6.5628
2551,2729,35,8.844,7.3996
2608,445,35,2.081,1.2615
2654,2028,35,9.065,6.7023
2744,1833,35,5.805,5.0749
2871,1842,35,6.697,4.952
2971,1960,35,10.633,7.3236
3049,2718,35,13.906,11.06
3104,970,35,3.573,2.607
3445,188,35,43.735,31.336
