71,843,11,2.308,1.2592
83,3374,11,2.776,1.7221
120,3118,11,1.52,0.86836
146,3438,11,3.453,2.0238
149,1849,11,4.941,2.1484
413,1919,11,2.087,1.4832
509,2310,11,1.761,1.2781
547,1125,11,6.587,3.9874
582,1116,11,7.228,3.6289
687,3025,11,4.556,2.8373
688,1966,11,6.247,5.0296
868,1156,11,0.811,0.56652
887,1207,11,2.718,2.0254
893,2732,11,3.874,2.5561
991,1828,11,2.913,1.8406
996,1156,11,2,1.4227
1011,627,11,7.406,5.1647
1121,2727,11,2.649,1.0504
1173,3015,11,4.64,3.7554
1248,10,11,3.972,2.6567
1270,3438,11,3.593,2.6173
1368,1497,11,7.987,5.1789
1395,1365,11,16.027,7.7964
1589,3586,11,4.263,3.0707
1605,988,11,5.153,3.4946
1629,1827,11,2.476,1.67
1680,429,11,2.272,1.6475
1835,2685,11,1.39,1.193
1915,1938,11,4.865,3.5666
1967,3224,11,3.058,1.9907
2061,2088,11,3.517,2.1631
2079,3191,11,6.569,4.6635
2093,1938,11,3.086,1.7597
2099,1089,11,2.738,1.9278
2199,2864,11,2.483,1.5653
2236,896,11,2.35,0.97259
2244,1390,11,4.468,3.3282
2292,2416,11,1.61,0.7508
2400,3526,11,4.479,2.1046
2567,2807,11,9.525,7.203
2596,1606,11,9.256,4.3352
2650,58,11,6.398,5.2673
2816,3015,11,2.404,1.6741
2916,1365,11,2.601,1.2164
3099,1207,11,4.208,2.4921
3114,3474,11,3.473,2.8072
3206,371,11,4.423,3.3371
3381,1125,11,12.848,1.7733
3390,3474,11,3.22,2.0972
3568,910,11,6.958,3.0866
3606,3644,11,8.153,4.8787
3628,3074,11,12.565,6.3621
3639,3614,11,14.646,9.5783
