281,3365,46,8.564,6.6715
319,3317,46,6.896,4.5129
389,3110,46,7.323,5.5498
511,826,46,36.508,26.216
560,3317,46,8.492,6.3086
576,1710,46,4.158,2.4429
690,2965,46,5.013,3.4817
705,2225,46,1.991,1.1697
790,416,46,6.065,4.5388
866,2521,46,3.875,2.8836
982,132,46,7.321,5.0395
1083,2633,46,6.617,3.9864
1093,2504,46,6.429,5.0335
1169,92,46,1.184,0.83924
1186,3359,46,3.362,2.405
1352,2858,46,4.573,2.7902
1500,31,46,2.083,1.3721
1525,1710,46,4.887,3.011
1602,1247,46,3.624,1.8162
1612,1017,46,4.299,3.176
1739,1970,46,3.15,1.994
2105,2633,46,25.012,16.16
2353,1474,46,3.369,2.7428
2587,2410,46,4.211,2.9241
2928,1220,46,31.019,19.995
2988,2376,46,2.968,2.0936
