LOCALIDADES,Coxcatln,Chalma,Papatlatla,Tezapotla,San Martn Chalchicuautla,Tancanhuitz,Colonia las Flores,Tehuetln,Tampamoln Corona,Nuevo Tampan,Tampate,Chapulhuacanito,Tambaca,Chililico,Chalchocoyo,Coacuilco,Ahuatitla,Agua Buena,Huautla,Matlapa,Huitzitzilingo,Ixcatepec,Chapulhuacn,Calnali,Santa Teresa,Ozuluama de Mascareas,Molango,Tamasopo,Jacala,Potrero del Llano,Chicontepec de Tejeda,Citlaltpec,Tamaln,Tamiahua,Tepetzintla,Tlanchinol,Chinampa de Gorostiza,Jaltocn,San Vicente Tancuayalab,Xilitla,Orizatln,Axtla de Terrazas,El Higo,Tanquin de Escobedo,Platn Snchez,Jalpan de Serra,Tempoal de Snchez,Tamun,Naranjos,Cerro Azul,Tamazunchale,Tantoyuca,Huejutla de Reyes,Pnuco,Ciudad Valles, 
Axtla de Terrazas,16.205,98.873,126.902,53.176,46.679,33.906,174.524,98.976,21.617,123.636,40.058,71.488,120.08,85.148,26.918,71.909,71.091,132.308,114.424,17.649,69.659,143.196,65.481,148.739,125.394,172.841,131.697,136.733,129.11,166.962,141.399,151.939,161.706,248.478,150.917,96.747,177.643,74.63,58.284,24.269,62.209,0,74.359,40.811,110.362,106.058,80.56,91.747,213.318,184.864,33.971,105.304,87.936,122.839,80.973, 
El Higo,69.057,74.023,127.934,112.698,70.869,72.747,136.029,99.351,52.941,82.473,85.324,123.217,128.269,87.326,80.102,118.726,122.451,140.497,115.456,79.284,121.019,104.702,125.003,149.771,126.426,100.6,170.826,144.922,188.632,128.467,115.503,113.444,123.211,176.237,112.422,135.877,139.148,103.435,16.469,112.334,110.945,74.359,0,33.411,65.355,180.136,34.657,55.674,141.091,139.86,93.853,60.3,83.545,50.612,86.026, 
Tanquin de Escobedo,35.509,112.558,166.469,79.606,37.777,39.199,173.291,137.886,19.393,82.648,51.776,97.918,128.444,125.861,47.01,98.339,97.521,140.672,153.991,46.192,96.089,143.236,91.911,188.306,164.961,131.853,209.361,145.097,155.54,167.002,154.038,151.978,161.745,207.49,150.957,174.412,173.771,101.06,17.296,79.242,88.639,40.811,33.411,0,98.422,146.649,67.724,55.851,172.371,172.927,60.861,93.367,116.612,81.892,86.203, 
Platn Snchez,105.057,12.406,66.316,92.116,38.636,108.747,97.56,37.733,88.941,147.483,142.446,61.599,193.279,25.708,69.057,57.108,60.833,205.507,53.838,93.607,59.401,66.233,108.165,88.153,64.808,93.811,109.209,209.932,171.794,89.999,80.813,74.975,84.742,132.639,73.954,74.26,100.679,41.817,81.479,126.657,49.327,110.362,65.355,98.422,0,207.348,35.364,128.071,102.556,103.3,76.039,24.574,21.929,98.619,158.423, 
Jalpan de Serra,121.742,196.958,224.987,151.261,144.764,122.062,301.169,197.061,127.354,227.205,128.214,169.573,199.786,183.233,125.003,169.994,169.176,186.378,212.509,115.734,167.744,269.842,163.566,246.824,223.479,278.578,229.782,181.015,227.195,293.608,239.484,278.584,288.351,354.215,277.563,194.832,304.288,172.715,164.021,82.328,160.294,106.058,180.136,146.649,207.348,0,198.048,180.258,305.702,306.446,132.41,227.72,186.375,242.958,169.484, 
Tempoal de Snchez,75.258,42.114,96.025,121.825,44.253,78.948,104.119,67.442,59.142,116.785,91.525,91.308,162.581,55.417,83.672,86.817,90.542,174.809,83.547,82.854,89.11,72.792,137.874,117.862,94.517,115.983,138.917,179.234,201.503,96.558,83.594,81.534,91.301,139.198,80.513,103.968,107.238,71.526,50.781,115.904,79.036,80.56,34.657,67.724,35.364,198.048,0,95.76,106.862,107.606,105.401,28.047,51.291,66.308,126.112, 
Tamun,77.235,134.821,188.732,136.949,93.308,64.917,195.554,160.149,75.38,31.079,63.914,155.261,73.665,148.124,102.541,155.682,154.864,85.893,176.254,101.422,153.432,165.499,149.254,210.569,187.224,154.116,231.624,90.318,212.883,189.265,176.301,174.241,184.008,229.753,173.22,196.675,196.034,158.403,39.098,98.114,145.982,91.747,55.674,55.851,128.071,180.258,95.76,0,194.569,195.125,116.227,115.565,138.81,91.316,31.414, 
Naranjos,208.016,109.306,126.053,189.017,141.193,211.706,2.873,134.634,191.9,212.274,224.283,158.5,267.228,122.609,219.061,154.009,157.734,279.456,93.79,190.508,156.302,46.053,205.066,147.89,124.545,49.486,206.109,283.881,268.695,36.623,105.73,24.73,16.394,33.897,50.691,171.16,7.198,138.718,155.428,223.558,146.228,213.318,141.091,172.371,102.556,305.702,106.862,194.569,0,23.758,172.316,78.506,118.206,133.42,229.114, 
Cerro Azul,179.562,110.05,126.81,189.761,141.937,183.252,25.356,135.378,163.446,221.988,195.829,159.244,267.784,123.353,187.976,154.753,158.478,280.012,94.547,191.252,157.046,57.17,205.81,148.647,125.302,70.521,206.853,284.437,269.439,14.654,83.761,36.739,27.71,52.008,28.722,171.904,23.969,139.462,155.984,224.302,146.972,184.864,139.86,172.927,103.3,306.446,107.606,195.125,23.758,0,173.637,79.827,119.527,153.502,230.955, 
Tamazunchale,49.655,65.649,93.678,19.952,26.746,59.903,169.86,65.752,55.267,143.09,66.055,38.264,146.077,51.924,24.703,38.685,37.867,158.305,81.2,17.215,36.435,138.533,32.257,115.515,92.17,192.295,98.473,162.73,95.886,162.299,108.175,147.275,157.042,204.939,146.254,63.523,172.979,41.406,77.738,50.266,28.985,33.971,93.853,60.861,76.039,132.41,105.401,116.227,172.316,173.637,0,96.41,55.065,142.326,107.324, 
Tantoyuca,100.002,31.324,85.235,111.035,63.211,103.692,76.05,56.652,83.886,142.428,116.269,80.518,188.224,44.627,108.416,76.027,79.752,200.452,51.842,112.526,78.32,44.723,127.084,107.072,83.727,70.804,128.127,204.877,190.713,68.489,55.524,53.465,63.232,111.129,52.444,93.178,79.169,60.736,76.424,145.576,68.246,105.304,60.3,93.367,24.574,227.72,28.047,115.565,78.506,79.827,96.41,0,40.856,91.647,151.451, 
Huejutla de Reyes,103.62,11.539,44.621,69.69,43.983,113.868,115.75,16.038,109.232,165.673,120.02,39.173,211.469,3.281,78.669,34.682,38.407,223.697,32.143,71.181,36.975,84.423,85.739,66.458,43.113,112.001,87.513,228.122,149.368,108.189,59.118,93.165,102.932,150.829,92.144,52.564,118.869,19.391,99.669,104.231,26.9,87.936,83.545,116.612,21.929,186.375,51.291,138.81,118.206,119.527,55.065,40.856,0,114.908,161.216, 
