LOCALIDADES,La Ermita (Nueva Jerusaln),Tecario,Zipiajo,Huaniqueo de Morales,Erongarcuaro,Santa Mara Huiramangaro (San Juan Tumbio),Urutaro,San Nicols Obispo,Quinceo,Arantepacua,Fraccionamiento Puerta del Sol,Campestre Tarmbaro,Jarcuaro,Ziracuaretiro,Puerto de Buenavista (Lzaro Crdenas),Zirahun,Galeana,Huiramba,Colonia Vista Bella (Lomas del Peaje),Zurumbeneo,Copndaro de Galeana,Naranja de Tapia,Tirndaro,Nocuptaro de Morelos,Sevina,Turcuaro,Tzintzuntzan,Ihuatzio,Santa Rosa (Santa Brbara),Toreo Bajo (El Toreo Bajo),Carcuaro de Morelos,Tjaro de los Izquierdo,Coeneo de la Libertad,San Antonio,Real Hacienda (Metrpolis),San Lorenzo,Villachuato,Cuto del Porvenir,Jess del Monte (La Capilla),Villa Jimnez,Villas de la Loma,San ngel Zurumucapio,Villa Magna,Cuanajo,Comachun,Santa Fe de la Laguna,San Francisco Pichtaro,Angamacutiro de la Unin,Capula,Caltzontzin,Charo,Panindcuaro,Fraccionamiento Metrpolis II,Fraccionamiento Galaxia Tarmbaro,Tarmbaro,Pedernales,La Aldea,Taretan,Villa Madero,Acuitzio del Canje,Huandacareo,Indaparapeo,Puruarn,Capcuaro,Tingambato,Fraccionamiento Misin del Valle,lvaro Obregn,Opopeo,Nahuatzen,Conjunto Habitacional Villas del Pedregal,Morelos,Chern,Santa Clara del Cobre,Quiroga,Nuevo San Juan Parangaricutiro,Ario de Rosales,Paracho de Verduzco,Tacmbaro de Codallos,Purundiro,Zacapu,Ptzcuaro,Uruapan,Morelia, 
Santa Rosa (Santa Brbara),113.283,91.917,122.513,133.156,67.046,47.049,127.147,109.86,36.936,40.95,120.322,123.715,63.698,19.943,119.869,47.039,155.873,79.545,57.696,133.149,142.565,110.706,110.468,187.966,52.832,46.363,72.427,69.691,0,8.893,188.046,131.845,118.938,106.692,116.004,29.007,152.57,130.801,115.539,120.993,112.268,23.867,99.588,67.365,51.616,93.913,55.82,152.519,93.574,8.954,128.925,128.472,117.337,117.974,124.905,125.102,119.346,25.024,109.696,91.775,157.498,138.451,110.952,28.002,31.624,123.037,132.822,68.199,61.344,103.5,102.823,57.703,63.015,80.083,17.758,86.893,44.419,107.718,165.995,107.834,60.072,8.415,109.336, 
Toreo Bajo (El Toreo Bajo),109.265,83.052,122.847,133.49,53.853,38.267,123.128,105.841,32.995,37.009,116.303,119.696,50.506,15.924,115.85,45.754,151.932,75.526,53.678,129.13,138.546,78.48,80.637,183.947,59.963,42.422,72.761,70.025,8.893,0,186.118,129.917,119.061,104.764,114.076,25.129,148.692,128.873,113.611,117.115,110.34,18.886,97.66,65.437,47.738,80.511,47.203,148.641,91.646,3.607,126.997,124.594,115.409,116.046,122.977,123.174,117.418,23.096,107.768,89.847,155.57,136.523,109.024,24.124,23.007,121.109,130.894,66.271,57.466,101.572,100.895,53.825,61.167,80.206,20.488,85.045,40.541,105.79,162.117,103.956,60.195,8.978,107.408, 
Carcuaro de Morelos,91.026,84.018,179.448,172.761,150.591,154.301,144.914,127.627,190.364,185.85,138.089,141.482,147.243,173.6,137.636,126.901,224.175,113.108,135.088,150.916,160.332,170.02,167.403,6.507,175.997,180.437,141.197,138.461,188.046,186.118,0,155.3,181.365,130.146,139.459,211.963,226.64,154.256,138.993,195.063,135.722,173.174,139.102,131.654,180.93,172.739,169.093,226.589,133.088,187.194,152.379,202.542,140.792,141.429,148.36,79.672,142.8,188.454,84.349,102.763,180.953,161.905,87.804,210.958,173.103,146.491,156.277,113.261,186.115,137.754,126.277,191.64,118.893,141.313,205.393,104.294,227.375,70.307,241.187,181.904,140.371,193.883,132.791, 
Tjaro de los Izquierdo,125.298,113.108,73.051,58.397,94.39,98.1,5.595,40.265,134.163,129.649,21.538,10.544,91.042,117.399,27.84,97.105,114.006,56.907,78.887,41.119,22.357,97.971,95.354,149.225,119.796,124.236,70.464,82.26,131.845,129.917,155.3,0,66.367,33.532,19.376,150.775,107.809,8.676,31.889,89.976,33.845,111.986,39.138,70.467,119.742,94.912,107.905,107.758,43.714,126.006,26.661,83.711,20.709,20.945,19.782,114.856,16.181,127.266,72.27,54.349,35.373,22.874,122.988,149.77,111.915,12.406,11.983,89.508,124.927,35.878,32.076,130.452,94.163,63.486,144.205,120.232,166.187,97.472,95.607,102.085,79.183,132.695,23.788, 
Coeneo de la Libertad,134.871,103.603,6.097,15.222,45.122,65.16,71.53,70.185,67.016,62.502,78.185,74.232,52.871,104.492,84.487,83.128,71.089,66.913,69.381,97.766,62.876,24.439,21.822,175.29,55.39,66.028,46.211,59.467,118.938,119.061,181.365,66.367,0,61.081,78.722,112.999,67.443,60.943,70.075,49.61,57.082,97.262,46.475,74.936,64.742,35.435,54.765,67.392,60.002,111.282,106.399,43.345,80.055,80.291,72.027,135.864,79.032,112.542,96.714,78.793,57.297,87.661,126.374,106.375,96.472,78.947,80.671,78.961,51.84,50.387,62.708,55.136,83.616,39.731,130.062,109.685,89.069,118.48,50.78,29.897,62.68,117.971,59.992, 
San Antonio,100.144,87.955,58.215,54.083,69.237,72.947,27.826,14.987,109.01,104.496,21.001,24.394,65.889,92.246,22.462,71.952,109.95,31.754,53.734,35.741,43.243,75.578,72.961,124.071,94.643,99.083,48.071,57.107,106.692,104.764,130.146,33.532,61.081,0,17.571,124.757,105.949,32.159,19.739,93.812,10.422,85.968,15.715,44.449,93.724,71.488,81.887,105.898,20.291,99.988,29.906,81.851,18.904,19.541,26.262,88.838,20.327,101.248,46.252,28.331,58.856,39.432,96.97,123.752,85.897,25.431,34.179,63.49,98.909,12.454,7.987,104.434,68.145,40.062,118.187,94.214,140.169,71.454,93.468,80.653,53.165,106.677,9.721, 
Real Hacienda (Metrpolis),109.457,97.267,79.782,65.128,78.549,82.259,13.67,25.396,118.322,113.808,4.879,10.238,75.201,101.558,13.86,81.264,120.737,41.066,63.046,27.139,29.088,82.34,79.723,133.384,103.955,108.395,54.833,66.419,116.004,114.076,139.459,19.376,78.722,17.571,0,138.561,119.944,20.811,19.675,102.111,17.019,99.772,22.312,58.253,107.528,78.086,95.691,119.893,26.888,113.792,24.122,95.846,1.184,2.464,14.915,102.642,9.595,115.052,60.056,42.135,47.508,33.647,110.774,137.556,99.701,14.084,22.832,77.294,112.713,19.052,19.862,118.238,81.949,46.66,131.991,108.018,153.973,85.258,107.742,87.251,66.969,120.481,7.915, 
San Lorenzo,131.205,109.839,117.383,128.026,78.705,63.119,145.069,127.782,16.295,20.309,138.244,141.637,75.358,37.865,137.791,64.961,135.233,97.467,75.618,151.071,160.487,90.066,91.857,205.888,32.191,25.722,90.349,87.613,29.007,25.129,211.963,150.775,112.999,124.757,138.561,0,132.038,148.931,133.669,100.461,130.398,41.997,117.718,85.495,31.084,119.612,42.713,131.987,111.704,26.294,147.055,107.94,135.467,136.104,143.035,143.232,137.476,43.154,127.826,109.905,175.628,156.581,129.082,7.47,47.906,141.167,150.952,86.329,40.813,121.63,120.953,37.172,81.145,98.213,25.539,105.023,23.887,125.848,145.463,87.302,78.202,23.584,127.466, 
Villachuato,180.147,148.879,68.503,56.927,82.27,91.339,112.972,99.771,93.195,88.681,119.627,115.674,89.502,124.845,125.929,101.581,20.127,112.188,114.657,139.208,104.318,51.7,53.491,220.565,81.569,92.207,91.487,104.743,152.57,148.692,226.64,107.809,67.443,105.949,119.944,132.038,0,99.678,129.97,33.077,102.671,143.095,92.064,120.769,91.706,81.267,81.729,10.304,96.64,149.771,145.134,25.675,118.79,119.026,110.762,181.697,117.767,158.375,142.546,124.625,60.126,126.396,172.207,125.33,106.751,117.682,119.406,124.794,78.803,95.976,108.297,82.099,129.449,85.563,149.017,155.518,108.024,164.313,16.331,45.186,108.513,147.061,121.869, 
Cuto del Porvenir,124.254,112.064,62.003,47.349,93.346,97.056,13.839,39.221,133.119,128.605,20.494,16.541,89.998,116.355,26.796,96.061,102.958,55.863,77.843,40.075,11.308,84.699,82.082,148.181,118.752,123.192,69.421,81.216,130.801,128.873,154.256,8.676,60.943,32.159,20.811,148.931,99.678,0,33.426,81.3,35.382,113.523,40.675,72.004,121.279,92.931,109.442,99.082,45.251,127.543,53.371,75.035,22.246,22.482,14.218,116.393,21.223,128.803,73.807,55.886,26.697,34.633,124.525,151.307,113.452,21.138,27.643,91.045,109.336,37.415,33.613,112.632,95.7,65.023,145.742,121.769,146.565,99.009,86.931,93.409,80.72,134.232,25.325, 
Jess del Monte (La Capilla),108.991,96.802,67.209,77.641,78.084,81.794,26.183,23.958,117.857,113.343,19.358,22.751,74.736,101.093,14.679,80.799,133.25,40.601,62.581,27.958,41.601,84.572,81.955,132.918,103.49,107.93,57.065,65.954,115.539,113.611,138.993,31.889,70.075,19.739,19.675,133.669,129.97,33.426,0,103.643,20.252,96.305,25.545,54.786,104.061,81.319,92.224,129.884,30.121,110.325,27.357,105.837,18.561,19.198,24.906,99.175,17.778,111.585,56.589,38.668,57.499,36.883,107.307,134.089,96.234,21.469,32.823,73.827,109.246,22.285,16.395,114.771,78.482,49.893,128.524,104.551,150.506,81.791,117.733,90.484,63.502,117.014,11.459, 
Villa Jimnez,148.57,117.302,50.67,39.094,50.693,59.762,95.139,83.883,61.618,57.104,101.794,97.841,57.925,93.268,108.096,70.004,36.356,80.611,83.08,121.375,86.485,20.123,21.914,188.988,49.992,60.63,59.91,73.166,120.993,117.115,195.063,89.976,49.61,93.812,102.111,100.461,33.077,81.3,103.643,0,92.229,112.869,81.622,90.543,61.48,51.041,51.503,34.377,75.608,119.545,127.736,10.33,101.393,101.629,93.365,151.471,100.37,128.149,112.32,94.399,101.64,108.998,141.981,95.104,76.525,100.285,102.008,94.568,48.577,85.534,97.856,51.873,99.223,55.337,118.791,125.292,77.798,134.087,47.853,14.96,78.287,116.835,104.472, 
Villas de la Loma,105.72,93.531,54.216,50.084,67.321,78.523,28.139,11.881,114.586,110.072,21.314,24.707,71.465,97.822,22.775,77.528,105.951,37.33,59.31,36.054,43.556,71.579,68.962,129.647,100.219,104.659,44.072,57.328,112.268,110.34,135.722,33.845,57.082,10.422,17.019,130.398,102.671,35.382,20.252,92.229,0,82.27,5.543,40.75,90.026,61.316,78.189,95.726,10.119,96.29,34.09,71.679,23.088,23.725,30.446,97.908,24.511,97.55,55.322,37.401,63.04,43.616,106.04,120.054,82.199,29.615,38.363,59.792,95.211,2.283,16.621,95.721,64.447,29.89,114.489,90.516,129.653,80.524,83.296,70.481,49.467,102.979,13.905, 
San ngel Zurumucapio,90.277,71.05,101.646,112.289,46.179,27.167,106.28,88.993,49.816,53.83,99.455,102.848,42.831,9.422,99.002,26.172,146.374,58.678,36.829,112.282,121.698,92.219,89.601,167.099,48.863,53.303,51.56,48.824,23.867,18.886,173.174,111.986,97.262,85.968,99.772,41.997,143.095,113.523,96.305,112.869,82.27,0,79.016,46.794,48.729,73.341,36.892,118.668,73.002,16.693,108.353,94.621,96.765,97.402,104.333,104.531,98.774,17.953,89.124,71.203,136.926,117.879,93.814,40.456,15.642,102.465,112.25,47.628,53.914,82.928,82.251,70.157,42.443,59.511,34.892,66.321,56.873,87.147,148.463,73.983,39.5,23.382,88.764, 
Villa Magna,112.12,80.851,43.609,39.477,56.714,65.843,33.432,9.371,101.906,97.392,26.607,30,58.785,85.142,28.068,64.848,95.344,24.65,46.63,41.347,48.849,60.972,58.355,133.027,87.539,91.979,33.465,46.721,99.588,97.66,139.102,39.138,46.475,15.715,22.312,117.718,92.064,40.675,25.545,81.622,5.543,79.016,0,40.789,90.065,61.355,78.228,95.765,10.158,96.329,33.702,71.718,22.7,23.337,30.058,97.52,24.123,97.589,54.934,37.013,62.652,43.228,105.652,120.093,82.238,29.227,37.975,59.831,95.25,3.912,16.233,95.76,64.486,29.929,114.528,90.555,129.692,80.136,83.335,70.52,49.506,103.018,13.517, 
Cuanajo,75.62,44.352,79.32,74.684,38.628,33.621,64.761,47.474,69.684,65.17,57.936,61.329,35.28,52.92,57.483,32.626,124.048,17.159,10.131,70.763,80.179,69.893,67.275,125.579,55.317,59.757,29.234,26.498,67.365,65.437,131.654,70.467,74.936,44.449,58.253,85.495,120.769,72.004,54.786,90.543,40.75,46.794,40.789,0,53.432,67.012,41.595,120.863,30.745,59.696,66.095,96.816,54.508,55.145,62.076,79.826,56.516,60.956,46.866,28.945,94.669,75.621,70.335,83.459,45.605,60.207,69.993,22.923,58.617,40.671,39.993,64.142,27.578,36.783,77.895,53.647,99.876,62.442,114.678,76.178,14.448,66.385,46.507, 
Comachun,95.696,68.889,69.126,79.769,37.468,21.349,114.036,96.749,15.289,10.775,107.211,110.604,34.121,54.855,106.758,31.591,94.985,66.434,44.586,120.038,129.454,41.444,43.601,174.855,9.525,5.362,58.597,55.861,51.616,47.738,180.93,119.742,64.742,93.724,107.528,31.084,91.706,121.279,104.061,61.48,90.026,48.729,90.065,53.432,0,70.943,11.629,91.119,80.603,48.902,115.954,67.072,104.366,105.003,111.934,112.132,106.375,63.221,96.725,78.804,144.527,125.48,98.375,24.461,37.05,110.066,119.851,50.683,13.144,90.529,89.852,18.669,47.004,66.043,48.147,70.882,38.525,94.748,104.595,46.434,46.032,46.192,96.365, 
Santa Fe de la Laguna,126.245,94.977,39.819,50.462,26.133,45.248,89.206,61.559,72.968,68.454,82.381,85.774,33.882,79.467,83.842,58.103,84.546,58.287,60.755,97.121,98.116,30.391,27.774,166.664,61.342,71.98,37.585,50.841,93.913,80.511,172.739,94.912,35.435,71.488,78.086,119.612,81.267,92.931,81.319,51.041,61.316,73.341,61.355,67.012,70.943,0,57.298,82.444,24.837,76.118,64.554,58.397,53.552,54.189,60.91,100.7,54.975,77.378,61.549,43.628,93.504,74.08,91.21,99.882,61.308,60.079,68.827,43.797,59.702,34.763,47.085,62.998,48.452,4.566,94.317,74.521,96.931,83.316,87.317,37.759,27.516,82.807,44.369, 
San Francisco Pichtaro,83.859,57.052,59.149,69.792,25.632,9.513,102.199,84.912,26.918,22.404,95.374,98.767,22.285,43.018,94.921,19.754,85.008,54.597,32.749,108.201,117.617,31.467,33.624,163.018,12.95,16.991,46.76,44.024,55.82,47.203,169.093,107.905,54.765,81.887,95.691,42.713,81.729,109.442,92.224,51.503,78.189,36.892,78.228,41.595,11.629,57.298,0,82.001,69.09,50.448,104.441,57.954,92.853,93.49,100.421,100.619,94.862,51.708,85.212,67.291,133.014,113.967,86.862,36.09,25.537,98.553,108.338,39.17,17.255,79.016,78.339,22.78,35.491,54.53,67.739,59.369,34.823,83.235,95.477,37.316,34.519,56.229,84.852, 
Angamacutiro de la Unin,180.096,148.828,68.452,56.876,82.219,91.288,112.921,99.72,93.144,88.63,119.576,115.623,89.451,124.794,125.878,101.53,30.353,112.137,114.606,139.157,104.267,51.649,53.44,220.514,81.518,92.156,91.436,104.692,152.519,148.641,226.589,107.758,67.392,105.898,119.893,131.987,10.304,99.082,129.884,34.377,95.726,118.668,95.765,120.863,91.119,82.444,82.001,0,95.631,148.761,144.125,24.666,117.781,118.017,109.753,180.687,116.758,157.365,141.536,123.615,69.394,125.387,171.197,124.32,105.741,116.673,118.397,123.784,77.793,94.967,107.288,81.089,128.439,84.553,148.007,154.508,107.014,163.303,25.599,44.176,107.503,146.051,120.86, 
Capula,106.106,74.837,64.386,44.053,50.7,59.829,38.008,10.361,95.892,91.378,31.183,34.576,52.771,79.128,32.644,58.834,99.92,18.636,40.616,45.923,53.425,54.958,52.341,127.013,81.525,85.965,27.451,40.707,93.574,91.646,133.088,43.714,60.002,20.291,26.888,111.704,96.64,45.251,30.121,75.608,10.119,73.002,10.158,30.745,80.603,24.837,69.09,95.631,0,86.905,40.469,66.423,29.467,30.104,36.825,91.578,30.89,88.165,48.992,31.071,69.419,49.995,97.82,110.669,72.814,35.994,44.742,50.407,85.826,10.678,23,86.336,55.062,20.505,105.104,81.131,120.268,74.194,78.04,61.096,40.082,93.594,20.284, 
Caltzontzin,106.437,85.071,115.666,126.309,60.199,41.187,120.3,103.013,34.113,38.127,113.475,116.868,56.851,13.096,113.022,40.192,153.05,72.698,50.85,126.302,135.718,106.239,103.621,181.119,50.009,43.54,65.58,62.844,8.954,3.607,187.194,126.006,111.282,99.988,113.792,26.294,149.771,127.543,110.325,119.545,96.29,16.693,96.329,59.696,48.902,76.118,50.448,148.761,86.905,0,122.308,125.703,110.72,111.357,118.288,118.486,112.729,18.407,103.079,85.158,150.881,131.834,104.335,25.233,26.329,116.42,126.205,61.583,58.575,96.883,96.206,54.934,56.398,73.466,20.481,80.276,41.65,101.102,163.226,105.065,53.455,8.971,102.719, 
