LOCALIDADES,Jos Mara Pino Surez (Nuevo Nahuapa),Sentispac,Jess Mara,Mecatn,Rosa Blanca,Coamiles,La Labor,Guadalupe Victoria,Villa Jurez,Amatln de Caas,Cruz de Huanacaxtle,El Tuito,Pantanal,Pozo de Ibarra,Rosamorada,San Pedro Lagunillas,Jomulco,Yago,Las Palmas de Arriba,Jalcocotn,La Presa,San Cayetano,Santa Mara del Oro,San Vicente,Zacualpan,Jala,El Porvenir,Las Jarretaderas,Ahuacatln,Francisco I. Madero (Puga),Valle de Banderas,Mascota,Talpa de Allende,Tomatln,Las Juntas,La Peita de Jaltemba,Villa Hidalgo,San Blas,San Juan de Abajo,Buceras,Ruz,Las Varas,San Vicente,Compostela,Santiago Ixcuintla,Mezcales,Tuxpan,San Jos del Valle,Ixtln del Ro,Ixtapa,Xalisco,Puerto Vallarta,Tepic, 
Jos Mara Pino Surez (Nuevo Nahuapa),0,309.039,459.334,275.905,310.682,329.414,277.841,269.079,315.283,256.713,123.322,45.98,256.034,304.152,340.695,241.157,293.192,308.633,128.841,248.201,290.515,263.329,295.251,334.635,196.364,291.266,116.584,107.249,280.376,276.866,124.784,195.976,224.709,14.083,104.701,167.125,282.346,253.875,125.891,116.955,320.828,186.954,116.007,224.344,292.407,110.252,332.757,119.127,293.124,108.777,252.846,96.433,260.714, 
Sentispac,309.039,0,185.323,62.322,170.432,23.105,103.896,40.963,24.799,199.341,189.682,262.549,89.655,15.365,60.221,134.598,152.942,38.095,175.865,100.737,19.459,89.384,121.306,30.077,113.86,151.016,203.59,202.467,156.769,95.728,204.208,297.647,326.38,317.327,206.372,142.92,27.869,58.211,175.89,192.588,42.997,122.017,203.014,114.745,18.166,199.152,28.199,206.133,160.647,210.448,84.16,216.589,81.797, 
Jess Mara,459.334,185.323,0,204.836,292.075,156.402,225.539,190.743,190.617,320.984,338.92,411.787,211.298,163.769,163.084,256.241,274.585,148.568,325.104,222.38,168.738,211.027,242.949,161.623,258.354,272.659,352.828,351.705,278.412,217.371,353.446,446.885,475.618,466.565,355.61,292.158,177.649,207.274,325.129,341.826,141.734,271.872,352.252,236.388,166.97,348.39,159.745,355.371,282.29,359.686,205.803,365.827,203.44, 
Mecatn,275.905,62.322,204.836,0,133.393,76.572,66.856,44.706,68.475,162.302,140.365,213.232,52.616,57.344,87.854,97.559,115.903,55.792,126.548,11.694,43.24,52.344,84.266,81.793,64.543,113.977,154.273,153.15,119.73,58.607,154.891,248.33,277.063,268.01,157.055,93.603,42.246,29.502,126.573,143.271,67.987,72.7,153.697,77.706,45.599,149.835,79.915,156.816,123.608,161.131,47.121,167.272,44.676, 
Rosa Blanca,310.682,170.432,292.075,133.393,0,161.944,83.175,164.928,175.2,73.034,190.945,263.812,90.844,169.311,173.225,73.344,19.121,141.163,177.128,122.016,147,87.528,68.571,167.165,132.685,20.015,204.853,203.729,30.462,99.844,205.471,212.736,208.954,318.59,207.635,144.183,151.833,163.579,177.153,193.851,153.358,123.897,204.277,89.117,151.553,200.415,165.287,207.396,35.022,211.711,91.358,217.852,89.578, 
Coamiles,329.414,23.105,156.402,76.572,161.944,0,96.668,57.026,50.747,192.113,210.049,282.916,82.427,7.768,24.566,127.37,145.714,30.867,196.233,93.509,28.868,82.156,114.078,8.294,129.923,143.788,223.957,222.834,149.541,88.5,224.575,318.014,346.747,337.694,226.739,163.287,43.932,74.274,196.258,212.955,14.802,143.001,223.381,107.517,27.1,219.519,6.416,226.5,153.419,230.815,76.932,236.956,74.569, 
La Labor,277.841,103.896,225.539,66.856,83.175,96.668,0,115.723,125.995,97.335,175.271,248.138,26.669,120.106,124.02,44.564,50.936,91.958,161.454,72.811,97.795,21.534,19.131,117.96,117.01,49.01,189.178,188.055,54.763,50.639,189.796,173.594,233.255,302.916,191.961,128.509,102.628,114.374,161.479,178.176,104.153,108.223,188.602,72.738,102.348,184.74,116.082,191.721,58.641,196.037,42.153,202.178,40.373, 
Guadalupe Victoria,269.079,40.963,190.743,44.706,164.928,57.026,115.723,0,47.064,208.586,149.579,222.446,98.9,35.933,72.523,136.139,162.187,41.185,135.762,56.839,22.296,98.628,130.55,62.298,73.757,160.261,163.487,162.364,166.014,104.891,164.105,257.544,286.277,277.224,166.269,102.817,14.127,18.108,135.787,152.485,55.299,81.914,162.911,119.327,24.188,159.049,60.42,166.03,169.892,170.345,93.405,176.486,90.96, 
Villa Jurez,315.283,24.799,190.617,68.475,175.2,50.747,125.995,47.064,0,205.406,195.747,268.614,95.72,35.976,66.286,140.663,159.007,44.16,181.93,106.802,25.524,95.449,127.371,56.06,119.925,157.081,209.655,208.532,162.834,101.793,210.273,303.712,332.445,323.392,212.437,148.985,33.934,64.276,181.955,198.653,49.062,128.082,209.079,120.81,24.231,205.217,54.182,212.198,166.712,216.513,90.225,222.654,87.862, 
Amatln de Caas,256.713,199.341,320.984,162.302,73.034,192.113,97.335,208.586,205.406,0,204.885,212.532,121.156,199.623,203.537,87.284,55.476,171.475,130.961,152.328,177.312,117.84,98.883,197.477,146.625,53.55,218.793,217.669,43.773,130.156,219.411,140.248,136.466,267.31,154.813,158.123,182.145,193.891,191.093,207.791,183.67,137.837,218.217,103.057,181.865,214.355,195.599,221.336,52.6,151.365,121.67,166.572,119.89, 
Cruz de Huanacaxtle,123.322,189.682,338.92,140.365,190.945,210.049,175.271,149.579,195.747,204.885,0,76.614,137.307,185.425,221.968,122.43,174.465,189.906,44.577,129.474,171.788,144.602,176.524,215.908,77.637,172.539,17.654,16.531,161.649,158.139,18.272,111.712,140.445,131.392,20.437,48.398,163.619,135.148,26.961,6.652,202.101,68.227,17.078,105.617,173.68,13.216,214.03,20.197,174.397,24.513,134.119,30.654,141.987, 
El Tuito,45.98,262.549,411.787,213.232,263.812,282.916,248.138,222.446,268.614,212.532,76.614,0,210.872,258.99,295.533,195.995,248.03,263.471,83.679,203.039,245.353,218.167,250.089,289.473,151.202,246.104,71.422,62.087,235.214,231.704,79.622,150.814,179.547,55.295,59.539,121.963,237.184,208.713,80.729,71.793,275.666,141.792,70.845,179.182,247.245,65.09,287.595,73.965,247.962,63.615,207.684,51.271,215.552, 
