LOCALIDADES,Jos Mara Pino Surez (Nuevo Nahuapa),Sentispac,Jess Mara,Mecatn,Rosa Blanca,Coamiles,La Labor,Guadalupe Victoria,Villa Jurez,Amatln de Caas,Cruz de Huanacaxtle,El Tuito,Pantanal,Pozo de Ibarra,Rosamorada,San Pedro Lagunillas,Jomulco,Yago,Las Palmas de Arriba,Jalcocotn,La Presa,San Cayetano,Santa Mara del Oro,San Vicente,Zacualpan,Jala,El Porvenir,Las Jarretaderas,Ahuacatln,Francisco I. Madero (Puga),Valle de Banderas,Mascota,Talpa de Allende,Tomatln,Las Juntas,La Peita de Jaltemba,Villa Hidalgo,San Blas,San Juan de Abajo,Buceras,Ruz,Las Varas,San Vicente,Compostela,Santiago Ixcuintla,Mezcales,Tuxpan,San Jos del Valle,Ixtln del Ro,Ixtapa,Xalisco,Puerto Vallarta,Tepic, 
La Peita de Jaltemba,167.125,142.92,292.158,93.603,144.183,163.287,128.509,102.817,148.985,158.123,48.398,121.963,89.932,137.888,174.895,75.003,125.577,143.243,88.071,81.982,124.252,97.729,129.342,170.624,30.124,124.945,61.55,60.863,114.588,110.776,62.181,155.21,184.289,174.561,63.955,0,116.145,87.674,70.865,50.556,154.627,20.753,60.982,58.144,126.206,57.12,166.556,64.101,126.923,68.417,86.645,74.558,94.513, 
Villa Hidalgo,282.346,27.869,177.649,42.246,151.833,43.932,102.628,14.127,33.934,182.145,163.619,237.184,72.146,22.837,59.377,120.107,133.227,28.029,149.012,70.106,9.201,71.848,103.461,51.27,87.069,132.595,176.771,176.083,139.641,77.732,177.402,216.644,245.723,289.782,179.176,116.145,0,31.382,149.061,165.759,42.194,95.188,176.185,97.333,11.083,172.323,47.315,179.304,143.235,183.619,66.748,189.76,64.385, 
San Blas,253.875,58.211,207.274,29.502,163.579,74.274,114.374,18.108,64.276,193.891,135.148,208.713,83.892,53.179,89.719,121.016,144.973,58.371,120.541,41.635,39.543,83.594,115.207,81.612,58.598,144.341,148.3,147.612,151.387,89.447,148.931,188.173,217.252,261.311,150.705,87.674,31.382,0,120.355,137.053,70.196,66.482,147.479,103.895,41.208,143.617,77.44,150.598,154.46,154.913,77.973,161.054,75.528, 
San Juan de Abajo,125.891,175.89,325.129,126.573,177.153,196.258,161.479,135.787,181.955,191.093,26.961,80.729,122.902,170.858,207.866,107.973,158.547,176.214,23.242,114.952,157.222,130.699,162.312,203.595,63.094,157.915,9.514,19.628,147.558,143.746,7.744,90.874,119.953,133.327,22.72,70.865,149.061,120.355,0,20.717,187.685,53.811,10.787,91.201,159.263,15.977,199.614,7.321,159.981,27.274,119.702,33.415,127.571, 
Buceras,116.955,192.588,341.826,143.271,193.851,212.955,178.176,152.485,198.653,207.791,6.652,71.793,139.6,187.556,224.563,124.671,175.245,192.911,37.901,131.65,173.92,147.396,179.009,220.292,79.792,174.613,11.38,10.693,164.256,160.443,11.616,105.04,134.119,124.391,13.785,50.556,165.759,137.053,20.717,0,204.268,70.394,10.852,107.784,175.847,6.99,216.197,13.971,176.564,18.287,136.285,24.428,144.154, 
Ruz,320.828,42.997,141.734,67.987,153.358,14.802,104.153,55.299,49.062,183.67,202.101,275.666,73.671,22.168,25.127,121.632,134.752,18.53,187.495,84.893,27.05,73.373,104.986,22.139,137.746,134.12,215.254,214.566,141.166,79.257,215.884,255.127,284.206,328.264,217.658,154.627,42.194,70.196,187.685,204.268,0,134.334,214.714,98.85,25.328,210.852,18.103,217.833,144.752,222.148,68.265,228.289,65.902, 
Las Varas,186.954,122.017,271.872,72.7,123.897,143.001,108.223,81.914,128.082,137.837,68.227,141.792,69.646,116.985,154.609,54.717,105.291,122.957,53.621,61.079,103.349,77.443,109.056,150.338,9.221,104.659,81.379,80.692,94.302,90.49,82.01,121.253,150.332,194.39,83.784,20.753,95.188,66.482,53.811,70.394,134.334,0,80.842,37.853,105.274,76.98,146.266,83.961,106.632,88.277,66.354,94.418,74.223, 
San Vicente,116.007,203.014,352.252,153.697,204.277,223.381,188.602,162.911,209.079,218.217,17.078,70.845,150.026,197.982,234.989,135.097,185.671,203.337,36.952,142.076,184.346,157.822,189.435,230.718,90.218,185.039,1.251,9.744,174.682,170.869,9.601,104.091,133.17,123.443,12.836,60.982,176.185,147.479,10.787,10.852,214.714,80.842,0,118.193,186.255,6.063,226.606,3.992,186.972,17.36,146.694,23.501,154.563, 
Compostela,224.344,114.745,236.388,77.706,89.117,107.517,72.738,119.327,120.81,103.057,105.617,179.182,34.161,108.53,119.125,19.937,70.511,87.473,91.011,67.222,92.509,41.958,73.571,114.854,46.634,69.879,118.77,118.082,59.522,55.005,119.4,158.643,187.722,231.78,121.174,58.144,97.333,103.895,91.201,107.784,98.85,37.853,118.193,0,96.938,114.354,110.672,121.335,71.985,125.651,30.76,131.792,38.629, 
Santiago Ixcuintla,292.407,18.166,166.97,45.599,151.553,27.1,102.348,24.188,24.231,181.865,173.68,247.245,71.866,11.954,42.545,119.827,132.947,20.465,159.073,83.088,2.683,71.568,103.181,34.438,97.13,132.315,186.832,186.144,139.361,77.452,187.463,226.705,255.784,299.843,189.237,126.206,11.083,41.208,159.263,175.847,25.328,105.274,186.255,96.938,0,182.625,24.789,189.606,142.996,193.921,66.509,200.062,64.146, 
Mezcales,110.252,199.152,348.39,149.835,200.415,219.519,184.74,159.049,205.217,214.355,13.216,65.09,146.164,194.12,231.127,131.235,181.809,199.475,31.198,138.214,180.484,153.96,185.573,226.856,86.356,181.177,6.64,3.99,170.82,167.007,14.791,98.337,127.416,117.688,7.082,57.12,172.323,143.617,15.977,6.99,210.852,76.98,6.063,114.354,182.625,0,222.505,8.874,182.872,13.259,142.593,19.4,150.462, 
Tuxpan,332.757,28.199,159.745,79.915,165.287,6.416,116.082,60.42,54.182,195.599,214.03,287.595,85.6,12.861,27.908,133.561,146.681,34.199,199.424,96.822,32.17,85.302,116.915,2.067,133.362,146.049,227.183,226.495,153.095,91.186,227.813,267.056,296.135,340.193,229.587,166.556,47.315,77.44,199.614,216.197,18.103,146.266,226.606,110.672,24.789,222.505,0,229.833,156.752,234.148,80.265,240.289,77.902, 
San Jos del Valle,119.127,206.133,355.371,156.816,207.396,226.5,191.721,166.03,212.198,221.336,20.197,73.965,153.145,201.101,238.108,138.216,188.79,206.456,40.072,145.195,187.465,160.941,192.554,233.837,93.337,188.158,2.75,12.864,177.801,173.988,6.136,107.211,136.29,126.563,15.956,64.101,179.304,150.598,7.321,13.971,217.833,83.961,3.992,121.335,189.606,8.874,229.833,0,190.101,20.489,149.823,26.63,157.692, 
Ixtln del Ro,293.124,160.647,282.29,123.608,35.022,153.419,58.641,169.892,166.712,52.6,174.397,247.962,81.188,154.432,165.027,56.596,16.416,133.375,159.791,113.124,138.411,74.714,60.006,160.756,115.413,15.784,187.549,186.862,13.829,91.139,188.18,192.099,188.092,300.56,189.954,126.923,143.235,154.46,159.981,176.564,144.752,106.632,186.972,71.985,142.996,182.872,156.752,190.101,0,203.228,82.875,209.369,81.095, 
Ixtapa,108.777,210.448,359.686,161.131,211.711,230.815,196.037,170.345,216.513,151.365,24.513,63.615,157.46,205.416,242.423,142.531,193.105,210.771,21.181,149.51,191.78,165.257,196.87,238.152,97.652,192.473,17.937,8.48,182.116,178.304,26.088,88.321,117.4,116.213,4.59,68.417,183.619,154.913,27.274,18.287,222.148,88.277,17.36,125.651,193.921,13.259,234.148,20.489,203.228,0,153.827,10.906,161.696, 
Xalisco,252.846,84.16,205.803,47.121,91.358,76.932,42.153,93.405,90.225,121.67,134.119,207.684,5.688,77.945,88.54,53.649,72.752,56.888,119.512,36.637,61.924,11.373,42.986,84.269,75.135,72.12,147.271,146.583,79.166,24.42,147.901,187.144,216.223,260.282,149.675,86.645,66.748,77.973,119.702,136.285,68.265,66.354,146.694,30.76,66.509,142.593,80.265,149.823,82.875,153.827,0,160.17,8.257, 
Puerto Vallarta,96.433,216.589,365.827,167.272,217.852,236.956,202.178,176.486,222.654,166.572,30.654,51.271,163.601,211.557,248.564,148.672,199.246,216.912,36.389,155.651,197.921,171.398,203.011,244.293,103.793,198.614,24.078,14.621,188.257,184.445,32.229,103.528,132.607,103.869,12.273,74.558,189.76,161.054,33.415,24.428,228.289,94.418,23.501,131.792,200.062,19.4,240.289,26.63,209.369,10.906,160.17,0,166.67, 
Tepic,260.714,81.797,203.44,44.676,89.578,74.569,40.373,90.96,87.862,119.89,141.987,215.552,13.684,75.582,86.177,61.518,70.972,54.525,127.381,34.192,59.561,9.593,41.206,81.906,87.045,70.34,155.14,154.452,77.386,17.719,155.77,195.013,224.092,268.15,157.544,94.513,64.385,75.528,127.571,144.154,65.902,74.223,154.563,38.629,64.146,150.462,77.902,157.692,81.095,161.696,8.257,166.67,0, 
