LOCALIDADES,Churintzio,Fraccionamiento Ex-Hacienda el Refugio,Santa Rita,Zopoco,Fraccionamiento San Miguel,San Miguel de la Paz,Betania,Santa Cruz el Grande,Portezuelo,Chaparaco,Cocucho,Cumuatillo,Tanaco,El Platanal (La Planta),Laguna Larga de Corts,Pamatcuaro,La Sauceda,Villamar,Tlazazalca,La Luz,Atecucario de la Constitucin (Atecuario),Paso de Hidalgo (Paso de lamos),Penjamillo de Degollado,Ocumicho,Patamban (Patambam),Emiliano Zapata,Huncito,Nurio,Fraccionamiento Vistas del Maguey,La Palma (La Palma de Jess),Ichn,Charapan,Valle de Jurez,La Cantera,Santa Mara del Valle,La Rinconada,Briseas de Matamoros,Ixtln de los Hervores,Ecuandureo,Numarn,San Jos de Gracia,San Francisco de Ass,Cuitzeo (La Estancia),Angahuan,Chavinda,Carapan,Cojumatln de Rgules,Santa Clara de Valladares,Tingindn,Chilchota,La Ribera,Mazamitla,Jess Mara,Ario de Rayn (Ario Santa Mnica),Tarecuato,San Jos de Gracia,Tanhuato de Guerrero,San Ignacio Cerro Gordo,Pajacuarn,Santa Ana Pacueco,Santiago Tangamandapio,Vista Hermosa de Negrete,Degollado,Ayotln,Venustiano Carranza,Tototln,Capilla de Guadalupe,Cotija de la Paz,Purpero de Echiz,Tanganccuaro de Arista,Peribn de Ramos,Jamay,Yurcuaro,Jiquilpan de Jurez,Atotonilco el Alto,La Barca,Los Reyes de Salgado,Arandas,Jacona de Plancarte,Sahuayo de Morelos,La Piedad de Cabadas,Ocotln,Zamora de Hidalgo, 
Atecucario de la Constitucin (Atecuario),35.511,18.552,90.678,42.593,77.539,88.445,106.185,99.278,73.632,16.407,56.09,73.595,59.665,20.933,58.843,67.708,18.855,54.94,53.555,37.58,0,54.408,67.689,39.744,45.953,62.738,44.557,65.261,87.908,94.461,50.15,66.598,114.525,35.722,134.783,8.549,57.049,44.666,18.8,56.525,114.796,105.955,97.63,78.962,39.991,48.813,103.173,72.539,59.341,39.141,47.126,124.317,110.221,17.871,42.91,112.795,44.532,128.324,57.68,48.779,35.406,46.692,65.795,92.52,80.158,103.973,138.462,82.17,65.141,27.136,88.288,76.826,45.888,77.221,90.544,56.903,77.957,127.544,18.815,89.789,47.705,96.684,12.778, 
Paso de Hidalgo (Paso de lamos),69.43,63.239,34.853,87.28,43.741,35.584,54.938,46.417,22.385,61.093,100.777,20.734,104.352,65.62,70.555,112.395,37.618,43.947,87.474,23.854,54.408,0,89.165,81.284,87.493,58.138,86.097,106.801,36.86,41.601,99.42,108.138,80.749,63.091,83.735,46.243,4.189,24.177,44.514,79.73,63.748,54.907,38.28,120.502,43.695,96.829,50.313,110.496,97.297,80.681,33.036,90.54,73.971,47.002,66.485,79.018,24.319,77.276,34.925,72.364,52.224,8.274,60.463,55.995,27.298,53.539,87.414,84.996,86.617,68.676,126.244,23.966,31.798,44.652,39.496,3.114,115.913,76.496,59.157,36.929,71.29,35.017,53.12, 
Penjamillo de Degollado,21.675,85.066,118.267,44.666,131.357,121.386,133.774,133.305,101.221,82.92,79.933,108.35,72.781,87.447,40.795,91.551,79.786,117.182,30.131,95.435,67.689,89.165,0,63.596,69.805,117.586,44.353,80.489,108.109,126.573,41.3,94.396,165.721,90.57,154.984,62.161,90.099,98.278,43.307,20.63,134.997,126.156,117.831,108.177,94.839,38.709,135.285,127.387,114.189,49.313,64.914,175.512,98.514,72.719,97.758,163.99,66.911,148.525,111.292,34.775,90.254,100.304,54.088,80.812,112.27,124.174,158.663,137.018,28.497,51.356,123.15,103.953,64.055,129.624,110.745,87.695,132.805,113.34,73.663,121.901,34.842,116.885,67.626, 
Ocumicho,54.511,23.58,117.401,26.55,91.719,115.319,132.908,126.152,100.355,24.071,17.175,100.469,44.997,23.067,94.263,30.65,45.729,69.121,34.05,64.454,39.744,81.284,63.596,0,8.892,76.767,28.511,26.342,118.449,112.491,34.105,27.679,128.554,25.417,165.324,38.57,87.07,74.687,57.367,75.472,145.337,136.496,121.161,40.043,54.02,32.767,115.775,51.349,38.15,23.095,99.881,138.346,148.788,35.789,32.605,126.824,91.164,158.865,79.144,87.346,37.176,76.713,104.362,131.087,110.179,134.514,169.003,66.471,43.461,13.161,64.436,106.847,98.643,91.25,121.085,86.924,56.766,158.085,35.272,97.824,86.272,117.898,29.19, 
Patamban (Patambam),60.72,29.789,123.61,32.759,73.948,121.528,139.117,132.361,106.564,30.28,25.218,90.628,49.83,29.276,100.472,23.29,51.938,51.35,40.259,56.021,45.953,87.493,69.805,8.892,0,58.901,34.719,34.386,124.657,94.625,40.313,25.09,110.688,16.551,171.532,44.778,93.278,80.895,63.575,81.68,151.545,142.704,127.369,37.775,36.154,38.975,97.909,42.483,29.284,29.303,106.089,120.48,154.996,32.806,23.739,108.958,97.372,165.073,61.278,93.554,28.31,82.921,110.57,137.295,71.173,140.722,175.211,57.605,49.669,19.369,55.644,113.055,104.851,73.384,127.293,93.132,47.9,164.293,22.098,79.958,92.48,124.106,26.207, 
Emiliano Zapata,92.728,54.174,83.675,79.618,20.725,79.837,103.76,90.67,71.207,55.807,93.115,37.405,96.69,53.353,127.145,65.9,45.997,4.625,80.898,44.131,62.738,58.138,117.586,76.767,58.901,0,77.129,97.834,85.446,37.023,82.723,79.61,53.086,38.073,132.321,52.692,53.713,55.14,71.489,109.214,112.334,103.493,82.225,92.295,29.316,81.385,40.307,56.265,43.066,71.713,89.389,62.878,122.557,47.789,28.931,51.356,80.672,125.862,41.096,101.468,27.207,64.628,116.816,104.581,31.955,102.125,136,37.144,92.079,59.708,72.013,67.911,88.151,15.783,88.082,56.506,61.682,125.082,39.646,22.356,100.394,78.962,46.511, 
Huncito,48.383,28.392,131.576,1.961,96.531,120.132,147.083,146.613,114.53,28.884,44.859,105.282,38.559,27.879,89.523,56.477,50.542,73.933,27.492,69.267,44.557,86.097,44.353,28.511,34.719,77.129,0,46.312,128.682,117.303,2.836,60.219,133.366,51.843,175.557,43.382,91.882,79.499,62.179,69.405,155.57,146.729,125.973,74,58.832,5.948,120.587,77.176,63.977,6.652,104.693,143.158,141.002,40.601,59.031,131.636,95.976,169.098,83.956,83.551,54.246,81.525,96.576,123.301,114.991,144.747,179.236,101.011,16.642,19.166,88.973,111.659,103.455,96.062,131.318,91.736,82.593,168.318,40.084,102.636,83.618,122.71,34.002, 
Nurio,84.519,49.097,142.918,46.581,117.236,140.836,158.425,151.669,125.872,49.588,9.168,125.986,18.796,48.584,125.659,31.936,71.246,94.638,63.628,89.971,65.261,106.801,80.489,26.342,34.386,97.834,46.312,0,144.01,138.052,45.77,19.245,124.647,50.956,190.885,64.131,112.631,100.248,82.928,108.053,170.898,162.057,146.722,26.122,79.581,44.519,141.336,55.067,54.884,29.138,125.442,163.907,174.349,61.35,58.144,152.385,116.725,184.426,104.705,112.907,62.715,102.274,129.923,156.648,135.74,160.075,194.564,84.077,55.29,38.722,50.515,132.408,124.204,116.811,146.646,112.485,57.393,183.646,60.833,123.385,111.833,143.459,54.751, 
Fraccionamiento Vistas del Maguey,83.251,97.259,25.473,128.951,71.285,37.023,21.193,69.134,16.336,95.113,134.797,48.278,157.066,99.64,89.609,147.331,71.638,71.491,101.295,57.874,87.908,36.86,108.109,118.449,124.657,85.446,128.682,144.01,0,69.228,126.035,141.767,108.376,96.72,50.052,79.872,32.754,57.806,71.128,106.345,30.065,21.224,60.922,154.131,77.324,123.444,77.94,138.123,124.924,114.31,45.62,118.167,47.876,80.631,110.789,106.645,52.043,43.593,62.552,78.907,85.853,43.497,56.985,29.899,54.925,31.451,53.731,112.623,113.232,102.305,153.871,46.608,47.32,72.279,5.813,30.35,143.54,42.813,92.786,64.556,75.411,57.659,86.749, 
La Palma (La Palma de Jess),101.715,89.898,67.138,115.342,22.862,37.142,87.223,48.475,54.67,91.531,128.839,20.868,132.414,89.077,110.608,98.908,77.671,25.41,119.759,36.447,94.461,41.601,126.573,112.491,94.625,37.023,117.303,138.052,69.228,0,118.689,111.653,59.9,74.039,116.05,86.325,37.442,64.259,84.596,119.812,96.063,87.222,40.589,124.338,49.559,117.351,20.799,89.647,76.448,107.679,73.118,69.691,106.286,60.739,62.313,58.169,64.401,109.591,24.825,112.446,63.173,48.357,100.545,88.31,15.685,63.14,119.729,64.147,126.699,95.674,105.395,26.549,71.88,23.803,71.811,40.235,95.064,108.811,75.613,16.08,111.372,37.326,82.478, 
Ichn,45.33,33.986,128.523,7.555,102.125,131.642,144.03,143.56,111.477,34.477,54.75,118.605,35.506,33.473,86.47,62.071,56.135,79.527,24.439,74.86,50.15,99.42,41.3,34.105,40.313,82.723,2.836,45.77,126.035,118.689,0,58.376,135.251,53.728,173.791,45.267,93.767,81.384,64.064,67.639,153.804,144.963,127.858,72.157,60.717,3.108,122.472,79.062,65.863,8.537,106.578,145.043,139.236,42.486,60.916,133.521,97.861,167.332,85.841,81.785,56.131,83.41,94.81,121.535,116.876,142.981,177.47,102.896,14.876,21.052,87.13,113.544,105.34,97.947,129.552,93.621,84.479,166.552,41.969,104.521,81.852,124.595,35.887, 
Charapan,81.365,50.434,144.255,60.488,95.089,142.173,159.762,153.006,127.209,50.925,10.505,111.769,39.658,49.921,121.117,13.537,72.583,76.414,60.904,91.308,66.598,108.138,94.396,27.679,25.09,79.61,60.219,19.245,141.767,111.653,58.376,0,106.378,41.608,192.171,65.417,113.917,101.534,84.214,102.319,172.184,163.343,148.008,12.235,61.211,58.418,114.893,36.798,36.615,49.942,126.728,116.553,175.635,62.636,51.657,125.942,118.011,185.712,86.335,114.193,53.367,103.56,131.209,157.934,106.541,161.361,195.85,65.808,69.189,40.008,36.628,133.694,125.49,90.369,147.932,113.771,31.066,184.932,46.253,96.942,113.119,144.745,56.037, 
Valle de Jurez,140.863,105.961,106.286,131.405,43.336,102.448,126.371,113.281,93.818,107.594,115.907,60.016,148.477,105.14,149.756,93.677,97.784,56.412,132.685,75.595,114.525,80.749,165.721,128.554,110.688,53.086,133.366,124.647,108.376,59.9,135.251,106.378,0,89.955,155.192,104.575,76.584,103.401,123.738,158.954,135.205,126.364,105.096,117.326,81.199,133.267,63.178,76.207,68.93,123.595,112.26,9.879,145.428,99.672,78.229,17.47,103.543,148.733,63.967,151.588,79.089,87.499,139.687,127.452,54.826,124.996,158.871,40.652,143.961,111.59,91.956,90.782,111.022,39.719,110.953,79.377,81.625,147.953,91.529,45.227,150.514,101.833,98.394, 
La Cantera,65.712,24.439,99.208,49.882,57.475,116.587,114.715,127.42,82.162,26.071,41.743,74.155,66.954,23.618,89.043,46.222,39.543,34.877,51.162,39.548,35.722,63.091,90.57,25.417,16.551,38.073,51.843,50.956,96.72,74.039,53.728,41.608,89.955,0,144.061,29.673,65.807,45.505,48.47,86.195,124.074,115.233,99.898,54.3,19.681,55.931,81.436,36.895,23.697,46.259,78.618,104.007,139.891,28.714,7.266,92.485,69.901,137.602,44.805,78.449,11.837,55.45,95.465,122.19,54.7,113.251,147.74,48.51,66.625,34.254,52.644,85.584,77.38,56.911,99.822,65.661,42.313,136.822,19.383,63.485,77.375,96.635,23.492, 
