LOCALIDADES,Aramberri,Fraccionamiento Misin de San Javier,Portal de las Salinas,Entronque Laredo-Salinas Victoria,La Ascencin,Valle de Vaqueras,Ciudad de Villaldama,Fraccionamiento Cosmpolis Octavo Sector,Marn,El Control,Simeprodeso (Colectivo Nuevo),El Realito,Ciudad Satlite del Norte,General Francisco Villa,Bustamante,Anhuac,Hacienda San Pedro,Ramrez,Colinas del Aeropuerto,General Bravo,Las Escobas,Alianza Real,Nueva Ciudad Guerrero,General Cepeda,Mina,Hidalgo,Los Guerra,Mier,Las Torres,Villas de Alcal,Pesquera,Loma la Paz,Monte Kristal,Hualahuises,Valle de Lincoln,Hctor Caballero,Real del Sol,Emiliano Zapata,Ciudad General Tern,Galeana,Ciudad Cerralvo,Concepcin del Oro,Ciudad Camargo,Misin San Pablo,Arteaga,Salinas Victoria,China,Ex-Hacienda Santa Rosa,Carmen,Prados de Santa Rosa,Santa Rosa,General Zuazua,Nuevo Progreso,Ciudad Gustavo Daz Ordaz,Cinega de Flores,Hidalgo,Villas del Poniente,Parque Industrial Ciudad Mitras,Ciudad Miguel Alemn,Arboledas de San Roque,Ciudad de Allende,San Fernando,Ciudad Sabinas Hidalgo,Fraccionamiento Real Palmas,Santiago,Montemorelos,Valle Hermoso,Jardines de la Silla (Jardines),Linares,Ramos Arizpe,Cadereyta Jimnez,Garca,Ciudad Ro Bravo,San Pedro Garza Garca,Ciudad Benito Jurez,Ciudad Santa Catarina,Ciudad General Escobedo,San Nicols de los Garza,Heroica Matamoros,Ciudad Apodaca,Reynosa,Guadalupe,Saltillo,Monterrey, 
Las Escobas,315.997,14.175,56.882,39.896,275.952,9.668,122.206,40.682,41.076,269.604,47.188,296.607,46.67,331.667,133.056,277.694,52.481,273.771,31.731,117.952,0,58.488,179.348,167.893,75.377,204.306,170.922,160.51,61.93,49.398,38.599,12.613,9.906,115.397,64.994,10.419,50.324,48.105,76.911,198.976,99.165,228.068,197.741,15.478,112.408,52.897,102.375,34.446,56.952,35.635,35.562,40.727,235.778,196.854,53.78,65.55,41.423,59.751,174.299,16.364,55.529,271.155,124.069,52.476,46.685,78.91,279.846,11.709,127.926,96.289,21.974,76.285,222.439,30.785,7.936,39.572,50.434,21.62,287.81,30.614,198.389,9.767,108.26,23.236, 
Alianza Real,318.816,42.247,39.987,23.001,278.771,64.668,97.328,20.255,52.171,301.842,21.183,328.845,29.775,363.905,108.178,309.932,35.586,306.009,42.826,150.189,58.488,0,187.433,146.263,30.055,255.965,179.007,168.595,18.6,33.14,46.684,46.077,65.18,167.056,18.295,61.517,34.066,26,120.127,235.451,107.25,206.438,205.826,42.183,90.778,33.45,145.591,28.781,13.295,29.04,26.906,39.82,278.994,240.07,37.522,20.229,20.684,13.079,182.384,61.824,108.161,314.371,107.811,36.218,89.552,130.569,323.062,61.541,179.585,74.659,65.189,29.586,265.655,53.547,57.146,40.002,13.383,28.227,331.026,36.25,241.605,48.327,86.63,55.214, 
Nueva Ciudad Guerrero,435.424,161.675,165.821,169.561,395.379,178.034,132.292,170.347,138.941,193.971,176.853,220.974,176.335,256.034,145.27,202.061,154.21,198.138,150.758,115.338,179.348,187.433,0,320.099,202.514,377.052,30.479,19.654,189.067,156.173,146.308,164.013,179.988,288.143,192.13,182.859,159.401,175.242,188.956,371.722,80.93,380.274,57.299,163.27,264.614,180.034,151.517,161.169,184.089,162.358,162.285,147.954,169.298,88.012,162.858,192.687,194.519,186.888,33.856,183.166,229.248,275.515,105.158,154.001,210.639,251.656,213.366,178.304,300.672,248.495,186.531,203.421,155.959,183.85,178.488,192.637,177.571,166.763,221.33,157.338,131.909,169.415,260.466,176.301, 
General Cepeda,288.346,176.721,174.461,157.475,248.301,165.759,231.802,159.741,186.645,436.316,155.657,463.319,164.249,498.379,242.652,444.406,170.06,440.483,177.3,284.663,167.893,146.263,320.099,0,181.425,349.255,313.833,303.421,167.978,167.966,181.51,180.903,165.506,260.346,136.445,166.044,168.892,160.826,242.237,203.294,242.076,141.338,340.652,177.009,79.981,168.276,280.417,163.607,163,163.866,161.732,174.646,413.82,374.896,172.348,171.598,137.164,147.91,317.21,167.71,201.451,450.923,242.637,171.044,182.841,223.859,457.888,163.822,272.874,74.663,200.015,135.21,400.481,141.08,191.972,128.513,148.213,157.354,465.852,171.076,376.431,159.442,67.555,149.745, 
Mina,353.386,59.136,56.876,39.89,313.341,81.557,92.619,42.156,69.06,318.731,33.894,345.734,46.664,380.794,103.47,326.821,52.475,322.898,59.715,167.078,75.377,30.055,202.514,181.425,0,256.48,195.315,184.903,26.593,49.448,62.992,62.385,81.488,167.571,52.204,77.825,50.374,42.322,136.435,269.36,123.558,240.347,222.134,58.491,124.687,29.558,161.899,43.196,21.288,43.455,41.321,56.128,295.302,256.378,53.83,10.284,54.592,47.925,198.692,78.132,108.676,330.679,124.119,52.526,90.067,131.084,339.37,77.849,180.1,108.568,81.497,63.495,281.963,56.482,73.454,73.911,39.353,44.549,347.334,52.558,257.913,64.635,120.539,55.652, 
Hidalgo,243.746,226.352,245.752,228.765,203.701,215.912,304.685,228.396,243.598,341.185,228.54,309.744,235.54,221.239,315.535,318.652,241.351,337.748,234.253,279.648,204.306,255.965,377.052,349.255,256.48,0,335.183,324.771,245.704,239.873,236.426,224.384,216.316,90.317,230.785,203.306,240.799,235.381,144.383,146.674,263.426,381.84,362.002,226.827,284.796,243.372,219.461,227.16,240.726,223.094,228.276,237.084,365.987,367.238,244.255,249.324,222.874,233.197,338.56,203.613,149.771,195.27,314.544,242.951,179.402,128.725,301.872,214.632,77.884,277.281,189.928,239.93,356.598,208.751,199.627,221.332,223.505,214.207,333.84,223.293,344.325,214.876,289.252,202.338, 
Los Guerra,426.998,153.248,157.395,161.135,386.953,169.608,161.4,161.921,130.515,164.978,168.427,191.981,167.909,227.041,238.309,173.068,145.784,169.145,142.331,85.797,170.922,179.007,30.479,313.833,195.315,335.183,0,11.246,180.697,147.802,137.938,155.642,171.617,279.773,183.76,174.489,151.03,166.872,180.586,363.352,72.559,371.904,28.249,154.9,256.244,171.664,98.205,152.799,175.719,153.988,153.915,139.583,140.249,58.963,154.487,184.317,186.149,178.518,4.807,174.796,220.878,246.466,133.998,145.63,202.269,243.286,184.317,169.933,292.302,240.125,178.161,195.051,126.91,175.48,170.118,184.267,169.201,158.392,192.281,148.967,102.86,161.044,252.096,167.931, 
Mier,416.586,142.836,146.983,150.723,376.541,159.196,150.575,151.509,120.103,174.795,158.015,201.798,157.497,236.858,163.553,182.885,135.372,178.962,131.919,88.275,160.51,168.595,19.654,303.421,184.903,324.771,11.246,0,170.307,137.412,127.548,145.252,161.227,269.383,173.37,164.099,140.64,156.482,170.196,352.962,62.169,361.514,38.078,144.51,245.854,161.274,132.757,142.409,165.329,143.598,143.525,129.193,150.077,68.791,144.097,173.927,175.759,168.128,14.635,164.406,210.488,256.294,123.422,135.24,191.879,232.896,194.145,159.543,281.912,229.735,167.771,184.661,136.738,165.09,159.728,173.877,158.811,148.002,202.109,138.577,112.688,150.654,241.706,157.541, 
Las Torres,339.939,45.689,25.959,26.443,299.894,68.11,66.729,22.665,41.312,305.284,20.447,332.287,10.515,367.347,77.58,313.374,27.713,309.451,46.268,153.631,61.93,18.6,189.067,167.978,26.593,245.704,180.697,170.307,0,24.66,45.055,44.449,63.552,154.429,39.329,59.889,22.549,11.947,118.499,256.485,105.621,227.472,204.197,40.554,111.812,4.222,143.963,26.943,5.466,27.202,25.068,31.34,277.366,238.442,26.006,17.321,41.717,35.05,180.755,60.196,95.534,312.743,91.293,27.738,76.925,117.942,321.434,59.912,166.958,95.693,63.561,50.62,264.027,45.254,55.518,61.036,26.478,33.198,329.398,34.621,239.977,46.698,107.664,42.51, 
Villas de Alcal,339.927,33.157,11.613,15.269,299.882,55.578,81.677,15.926,18.263,292.753,22.432,319.756,18.365,354.816,92.527,300.843,4.664,296.92,22.896,141.1,49.398,33.14,156.173,167.966,49.448,239.873,147.802,137.412,24.66,0,30.26,38.19,57.293,149.841,39.491,53.63,5.291,20.247,112.24,256.647,76.163,227.634,174.74,34.295,111.974,19.652,137.704,20.683,31.449,20.942,18.808,8.819,271.107,232.183,8.748,40.047,41.88,33.393,151.298,53.937,90.946,306.484,74.962,5.217,72.337,113.354,315.175,53.653,162.37,95.855,57.302,50.782,257.768,38.995,49.259,61.198,24.821,26.939,323.139,28.362,233.718,40.439,107.826,37.922, 
Pesquera,353.471,20.925,45.798,28.812,313.426,37.285,111.122,29.598,12.854,281.953,36.104,308.956,35.586,344.016,121.972,290.043,28.123,286.12,9.223,130.3,38.599,46.684,146.308,181.51,62.992,236.426,137.938,127.548,45.055,30.26,0,23.76,39.735,147.891,51.878,42.607,37.209,34.99,101.217,231.47,66.22,240.022,164.796,23.018,124.362,39.782,126.681,20.917,43.837,22.106,22.033,22.016,260.084,195.51,40.665,52.435,54.267,46.636,141.354,42.914,88.996,295.461,110.954,28.063,70.387,111.404,304.152,38.051,160.42,108.243,46.279,63.169,246.745,43.598,38.236,52.385,37.319,26.51,312.116,17.085,222.695,29.162,120.214,36.049, 
Loma la Paz,316.199,6.915,45.192,28.206,276.154,17.416,110.516,28.991,30.558,262.31,35.497,289.313,34.98,324.373,121.366,270.4,40.791,266.477,21.213,110.657,12.613,46.077,164.013,180.903,62.385,224.384,155.642,145.252,44.449,38.19,23.76,0,19.285,136.495,50.184,12.701,35.514,33.295,83.323,220.074,82.362,238.327,180.938,6.259,122.667,38.087,108.787,15.62,42.142,16.809,16.736,26.426,242.19,203.266,38.97,50.74,52.572,44.941,157.496,18.971,61.941,277.567,109.259,37.666,58.991,100.008,286.258,17.601,149.024,106.548,28.385,61.475,228.851,32.202,10.072,40.989,35.624,23.037,294.222,15.803,204.801,14.009,118.519,24.653, 
Monte Kristal,308.131,19.47,64.295,47.309,268.086,1.404,129.619,48.094,46.533,266.833,54.6,293.836,54.083,328.896,140.469,274.923,59.894,271,37.188,115.18,9.906,65.18,179.988,165.506,81.488,216.316,171.617,161.227,63.552,57.293,39.735,19.285,0,127.213,71.384,4.843,56.714,54.495,83.301,210.792,98.061,226.144,196.637,19.938,110.484,59.287,108.765,28.346,63.342,29.535,29.462,42.125,242.168,203.244,60.17,71.94,39.499,66.141,173.195,3.644,68.318,277.545,130.459,58.866,36.202,90.726,286.236,2.743,139.742,94.365,28.364,56.245,228.829,28.861,7.603,37.648,56.824,28.012,294.2,24.479,204.779,11.488,106.336,20.218, 
