LOCALIDADES,Los rganos de Juan R. Escudero,Tuncingo,Las Mesas,Palo Blanco,Chiepetepec,Coacoyula de lvarez,Colotepec,Tototepec (Yozononi),Huamuchapa,Copanatoyac,Tlamixtlahuacan,Pochahuizco,Yextla,Amatillo,Atlixtac,Ahuacuotzingo,Acatln,Colotlipa,Tuliman,Temalacatzingo,Xochipala,Tixtlancingo,Tepetixtla,Xalpatlhuac,Mezcala,Alpoyeca,Nejapa,Ayahualulco,Xalpatlhuac,Tecoanapa,San Pedro las Playas,Apango,Las Vigas,Huitziltepec,Tres Palos,Mochitln,Mazatln,Quechultenango,Olinal,Atliaca,Huamuxtitln,Zitlala,Bajos del Ejido,Kilmetro 30,Tlacotepec,Ocotito,Xaltianguis,Petaquillas,Chichihualco,Tierra Colorada,Cruz Grande,San Marcos,Coyuca de Bentez,Ayutla de los Libres,Tixtla de Guerrero,Zumpango del Ro,Chilapa de lvarez,Tlapa de Comonfort,Chilpancingo de los Bravo,Acapulco de Jurez, 
Xochipala,186.479,191.888,182.628,108.522,230.435,59.395,212.566,276.9,210.844,270.752,138.84,145.313,61.373,204.058,191.446,184.195,142.39,130.839,117.822,287.482,0,180.084,216.191,170.338,70.716,240.26,103.144,100.792,234.328,160.102,160.307,81.882,225.335,47.305,156.15,66.743,69.63,83.706,221.194,69.731,258.21,109.182,164.72,138.228,75.631,96.037,123.047,56.448,74.29,98.923,241.659,204.331,178.987,179.072,66.207,32.454,97.296,221.325,48.567,155.619, 
Tixtlancingo,47.576,56.94,144.315,133.766,290.1,216.139,162.648,336.565,145.719,330.417,198.505,204.978,241.106,71.936,251.111,243.86,202.055,167.412,270.88,347.147,180.084,0,68.978,159.339,198.215,335.147,198.031,195.679,329.215,149.103,64.831,177.074,129.859,174.804,59.898,150.722,131.136,167.685,316.081,164.923,353.097,204.069,17.103,42.168,254.074,99.859,62.524,140.427,177.577,87.924,146.183,108.855,31.774,180.487,154.172,157.918,192.183,316.212,141.573,59.367, 
Tepetixtla,83.684,93.048,180.423,169.873,326.207,252.246,198.755,372.672,181.827,366.524,234.612,241.085,277.213,108.044,287.218,279.967,238.162,203.519,306.987,383.254,216.191,68.978,0,195.47,234.346,371.278,234.162,231.81,365.346,185.234,100.962,213.205,165.99,210.935,96.029,186.853,167.267,203.816,352.212,201.054,389.228,240.2,52.962,78.299,290.205,135.99,98.655,176.558,213.708,124.055,182.314,144.986,38.039,216.618,190.303,194.049,228.314,352.343,177.704,95.498, 
Xalpatlhuac,126.248,101.535,38.085,118.804,280.354,206.393,26.206,254.352,24.484,320.671,188.759,195.232,231.36,87.807,241.365,234.114,192.309,157.666,261.134,337.401,170.338,159.339,195.47,0,168.228,305.161,168.045,165.693,299.229,32.056,128.543,147.088,95.184,144.817,124.386,120.736,104.832,137.699,286.095,134.937,323.111,174.083,132.758,106.266,224.088,73.555,91.085,110.441,147.591,61.62,111.508,73.703,147.025,51.026,124.186,127.931,162.197,286.226,111.587,123.855, 
Mezcala,156.667,162.076,152.816,78.71,200.623,32.402,182.754,247.088,181.032,240.94,109.028,115.501,131.738,174.246,161.634,154.383,112.578,101.027,90.83,257.67,70.716,198.215,234.346,168.228,0,246.8,109.684,107.332,240.868,166.642,166.847,88.422,231.875,53.845,162.69,73.283,76.17,90.246,227.734,76.271,264.75,115.722,171.26,144.768,105.16,102.577,129.587,62.988,80.83,105.463,248.199,210.871,185.527,185.612,72.747,38.994,103.836,227.865,55.107,162.159, 
Alpoyeca,293.599,299.008,289.749,215.642,48.249,276.314,319.687,42.617,317.965,42.012,161.876,154.969,301.282,311.179,147.369,100.075,149.864,176.877,331.254,77.934,240.26,335.147,371.278,305.161,246.8,0,142.503,162.289,35.923,318.404,318.609,192.549,240.404,225.498,314.452,197.223,227.932,178.036,51.309,188.025,18.069,154.988,323.022,296.53,309.089,254.339,281.349,214.75,232.592,257.225,224.734,362.633,337.289,256.769,182.428,208.612,143.23,20.016,197.219,313.921, 
Nejapa,156.483,161.892,152.633,78.526,94.218,139.198,182.571,140.682,180.849,134.535,24.76,17.852,164.166,174.063,55.229,43.598,9.246,39.761,194.138,111.089,103.144,198.031,234.162,168.045,109.684,142.503,0,25.063,136.463,181.178,181.383,55.323,246.411,88.272,177.226,59.997,90.706,40.81,123.329,50.799,160.345,14.324,185.796,159.304,171.863,117.113,144.123,77.524,95.366,119.999,262.735,225.407,200.063,200.148,45.202,71.386,6.004,123.459,59.993,176.695, 
Ayahualulco,154.131,159.54,150.281,76.174,114.003,136.846,180.219,160.468,178.497,154.32,16.383,28.881,161.814,171.711,75.014,67.763,25.958,17.964,191.786,171.05,100.792,195.679,231.81,165.693,107.332,162.289,25.063,0,156.244,178.823,179.028,52.968,244.056,85.917,174.871,43.881,88.351,27.747,143.11,48.444,180.126,31.098,183.441,156.949,169.508,114.758,141.768,75.169,93.011,117.644,260.38,223.052,197.708,197.793,42.847,69.031,19.212,143.241,57.638,174.34, 
Xalpatlhuac,287.667,293.076,283.817,209.71,42.317,270.382,242.289,9.22,312.033,36.08,155.944,149.037,295.35,305.247,141.437,94.143,143.932,170.945,325.322,107.626,234.328,329.215,365.346,299.229,240.868,35.923,136.463,156.244,0,310.995,311.2,185.14,208.114,218.089,307.043,189.814,220.523,170.627,78.232,180.616,54.979,147.579,315.613,289.121,301.68,246.93,273.94,207.341,225.183,249.816,192.444,229.453,329.88,224.479,175.019,201.203,135.821,18.093,189.81,306.512, 
Tecoanapa,116.012,91.299,27.849,108.568,270.118,196.157,14.534,242.68,14.248,310.435,178.523,184.996,221.124,77.571,231.129,223.878,182.073,147.43,250.898,327.165,160.102,149.103,185.234,32.056,166.642,318.404,181.178,178.823,310.995,0,89.699,147.477,69.306,145.206,95.879,121.125,105.221,138.088,286.484,135.326,323.5,174.472,133.147,106.655,224.477,73.944,91.474,110.83,147.98,62.009,52.885,45.825,147.414,19.716,124.575,128.32,162.586,286.615,111.976,124.244, 
San Pedro las Playas,23.283,8.167,80.4,114.187,270.323,196.362,98.336,316.788,81.804,310.64,178.728,185.201,221.329,8.021,231.334,224.083,182.278,147.635,251.103,327.37,160.307,64.831,100.962,128.543,166.847,318.609,181.383,179.028,311.2,89.699,0,145.679,65.6,143.408,6.774,119.326,108.196,136.289,284.686,133.528,321.702,172.674,49.146,32.16,222.679,76.919,52.516,109.031,146.182,64.984,81.924,44.596,63.413,116.227,122.777,126.522,160.788,284.817,110.178,15.73, 
Apango,135.526,140.935,131.676,57.569,144.263,117.936,161.614,190.728,159.892,184.58,52.668,20.57,142.904,153.106,105.274,98.023,30.959,67.669,172.876,201.31,81.882,177.074,213.205,147.088,88.422,192.549,55.323,52.968,185.14,147.477,145.679,0,224.935,66.796,155.75,45.969,69.23,60.555,181.332,13.153,218.348,26.397,164.32,137.828,150.387,95.637,122.647,56.048,73.89,98.523,241.259,203.931,178.587,178.672,24.576,49.91,57.434,181.463,39.368,155.219, 
Las Vigas,88.311,73.195,58.008,179.215,335.351,261.39,67.16,207.366,59.412,240.561,243.756,250.229,286.357,59.467,296.362,289.111,247.306,212.663,316.131,392.398,225.335,129.859,165.99,95.184,231.875,240.404,246.411,244.056,208.114,69.306,65.6,224.935,0,208.463,71.829,184.381,173.251,201.344,349.741,198.583,259.412,237.729,114.201,97.215,287.734,141.974,117.571,174.086,211.237,130.039,16.516,21.616,128.468,50.819,187.832,191.577,225.843,222.526,175.233,80.785, 
Huitziltepec,133.256,138.665,129.405,55.299,177.212,83.36,159.343,223.677,157.621,217.529,85.617,92.09,108.327,150.835,138.223,130.972,89.167,77.616,158.289,234.259,47.305,174.804,210.935,144.817,53.845,225.498,88.272,85.917,218.089,145.206,143.408,66.796,208.463,0,146.468,57.061,59.948,74.024,211.512,60.049,248.528,99.5,155.038,128.546,152.717,86.355,113.365,46.766,64.608,89.241,231.977,194.649,169.305,169.39,56.525,22.772,87.614,211.643,38.885,145.937, 
Tres Palos,18.35,3.234,86.58,110.03,266.166,192.205,104.516,312.631,87.984,306.483,174.571,181.044,217.172,14.201,227.177,219.926,178.121,143.478,246.946,323.213,156.15,59.898,96.029,124.386,162.69,314.452,177.226,174.871,307.043,95.879,6.774,155.75,71.829,146.468,0,120.251,109.121,137.214,285.611,134.453,322.627,173.599,50.071,33.085,223.604,77.844,53.441,109.956,147.107,65.909,86.285,48.958,64.338,120.589,123.702,127.447,161.713,285.742,111.103,16.654, 
Mochitln,109.174,114.583,105.324,23.438,148.937,102.798,135.262,195.402,133.54,189.254,32.271,53.227,127.765,126.753,109.948,102.697,60.892,25.969,157.539,205.984,66.743,150.722,186.853,120.736,73.283,197.223,59.997,43.881,189.814,121.125,119.326,45.969,184.381,57.061,120.251,0,23.823,17.569,163.154,33.481,200.17,51.142,126.688,100.196,131.526,50.23,85.015,10.932,55.029,60.891,203.627,166.299,140.955,141.04,20.882,35.37,39.256,163.285,19.025,117.587, 
Mazatln,98.044,103.453,89.42,5.175,179.646,105.685,119.358,226.111,117.636,219.963,88.051,94.524,130.652,115.623,140.657,133.406,91.601,49.183,160.426,236.693,69.63,131.136,167.267,104.832,76.17,227.932,90.706,88.351,220.523,105.221,108.196,69.23,173.251,59.948,109.121,23.823,0,36.364,192.54,41.382,229.556,80.528,115.525,89.033,130.533,31.514,73.852,9.946,54.036,43.277,192.662,155.334,129.792,124.661,30.631,34.377,68.642,192.671,18.032,106.622, 
Quechultenango,126.137,131.546,122.287,40.401,129.75,119.761,152.225,176.215,150.503,170.067,16.138,44.628,144.728,143.716,90.761,83.51,41.705,9.835,174.502,186.797,83.706,167.685,203.816,137.699,90.246,178.036,40.81,27.747,170.627,138.088,136.289,60.555,201.344,74.024,137.214,17.569,36.364,0,158.857,48.07,195.873,46.845,143.651,117.159,148.489,67.193,101.978,27.895,71.992,77.854,220.59,183.262,157.918,158.003,35.471,52.333,34.959,158.988,35.988,134.55, 
Olinal,274.533,279.942,270.683,196.576,37.355,257.248,300.621,83.82,298.899,77.673,142.81,135.903,282.216,292.113,128.303,42.776,130.798,157.811,141.37,28.945,221.194,316.081,352.212,286.095,227.734,51.309,123.329,143.11,78.232,286.484,284.686,181.332,349.741,211.512,285.611,163.154,192.54,158.857,0,168.786,38.051,135.749,303.783,277.291,289.85,235.1,262.11,195.511,213.353,237.986,268.437,343.394,318.05,318.135,163.189,189.373,123.991,66.623,177.98,294.682, 
Atliaca,123.375,128.784,119.525,45.418,139.739,105.785,149.463,186.204,147.741,180.056,48.144,33.446,130.753,140.955,100.75,93.499,51.694,63.145,160.725,196.786,69.731,164.923,201.054,134.937,76.271,188.025,50.799,48.444,180.616,135.326,133.528,13.153,198.583,60.049,134.453,33.481,41.382,48.07,168.786,0,205.862,56.834,151.835,125.343,137.902,83.152,110.162,43.563,61.405,86.038,228.774,191.446,166.102,166.187,12.09,37.425,44.948,168.977,26.882,142.734, 
Huamuxtitln,311.549,316.958,307.699,233.592,66.199,294.264,337.637,60.567,335.915,59.962,179.826,172.919,319.232,329.129,165.319,76.957,167.814,194.827,186.879,64.676,258.21,353.097,389.228,323.111,264.75,18.069,160.345,180.126,54.979,323.5,321.702,218.348,259.412,248.528,322.627,200.17,229.556,195.873,38.051,205.862,0,173.267,341.301,314.809,327.368,272.618,299.628,233.029,250.871,275.504,243.013,380.912,355.568,275.048,200.707,226.891,161.509,38.295,215.498,332.2, 
Zitlala,162.521,167.93,158.671,84.564,106.702,145.236,188.609,153.167,186.887,147.019,30.798,19.733,170.204,180.101,67.713,55.622,5.264,45.799,200.176,123.113,109.182,204.069,240.2,174.083,115.722,154.988,14.324,31.098,147.579,174.472,172.674,26.397,237.729,99.5,173.599,51.142,80.528,46.845,135.749,56.834,173.267,0,191.769,165.277,177.836,123.086,150.096,83.497,101.339,125.972,268.708,231.38,206.036,206.121,51.175,77.359,11.977,136.007,65.966,182.668, 
Bajos del Ejido,32.213,41.577,128.952,118.402,274.736,200.775,147.284,321.201,130.356,315.053,183.141,189.614,225.742,56.573,235.747,228.496,186.691,152.048,255.516,331.783,164.72,17.103,52.962,132.758,171.26,323.022,185.796,183.441,315.613,133.147,49.146,164.32,114.201,155.038,50.071,126.688,115.525,143.651,303.783,151.835,341.301,191.769,0,28.372,240.277,86.063,48.728,126.63,163.78,74.128,132.386,95.058,17.385,166.69,140.375,144.121,178.386,302.415,127.776,45.57, 
Kilmetro 30,15.228,24.592,111.966,91.911,248.244,174.283,120.792,294.709,113.37,288.561,156.649,163.122,199.25,39.587,209.255,202.004,160.199,125.556,229.024,305.291,138.228,42.168,78.299,106.266,144.768,296.53,159.304,156.949,289.121,106.655,32.16,137.828,97.215,128.546,33.085,100.196,89.033,117.159,277.291,125.343,314.809,165.277,28.372,0,203.632,57.691,20.356,89.985,127.135,45.756,113.944,76.616,40.759,125.906,103.73,107.475,141.741,265.77,91.131,27.128, 
Tlacotepec,212.526,217.935,208.676,134.569,260.803,134.675,238.614,307.268,236.892,301.12,169.208,175.681,40.081,230.106,221.814,214.563,172.758,156.886,193.102,317.85,75.631,254.074,290.205,224.088,105.16,309.089,171.863,169.508,301.68,224.477,222.679,150.387,287.734,152.717,223.604,131.526,130.533,148.489,289.85,137.902,327.368,177.836,240.277,203.632,0,171.317,198.327,131.728,77.091,174.203,316.939,279.611,254.267,254.352,141.487,107.734,172.576,296.605,123.847,230.899, 
Ocotito,66.767,72.176,58.143,34.391,206.053,132.092,88.081,252.518,86.359,246.37,114.458,120.931,157.059,84.346,167.064,159.813,118.008,75.59,186.833,263.1,96.037,99.859,135.99,73.555,102.577,254.339,117.113,114.758,246.93,73.944,76.919,95.637,141.974,86.355,77.844,50.23,31.514,67.193,235.1,83.152,272.618,123.086,86.063,57.691,171.317,0,42.838,40.121,84.21,12.263,161.647,124.319,98.778,93.647,60.805,64.551,98.816,222.845,48.206,75.607, 
Xaltianguis,35.584,44.948,75.673,76.729,233.063,159.102,105.611,279.528,103.889,273.38,141.468,147.941,184.069,59.943,194.074,186.823,145.018,110.375,213.843,290.11,123.047,62.524,98.655,91.085,129.587,281.349,144.123,141.768,273.94,91.474,52.516,122.647,117.571,113.365,53.441,85.015,73.852,101.978,262.11,110.162,299.628,150.096,48.728,20.356,198.327,42.838,0,108.49,145.64,64.262,131.917,94.589,58.731,144.411,122.235,125.98,160.246,284.275,109.636,45.101, 
Petaquillas,98.879,104.288,95.029,13.983,166.464,92.503,124.967,212.929,123.245,206.781,74.869,81.342,117.47,116.458,127.475,120.224,78.419,36.292,147.244,223.511,56.448,140.427,176.558,110.441,62.988,214.75,77.524,75.169,207.341,110.83,109.031,56.048,174.086,46.766,109.956,10.932,9.946,27.895,195.511,43.563,233.029,83.497,126.63,89.985,131.728,40.121,108.49,0,45.101,50.963,193.699,156.371,131.027,131.112,21.696,25.442,59.707,183.736,9.097,107.659, 
Chichihualco,136.029,141.438,132.179,58.072,184.306,110.345,162.117,230.771,160.395,224.623,92.711,99.184,62.499,153.609,145.317,138.066,96.261,80.389,165.086,241.353,74.29,177.577,213.708,147.591,80.83,232.592,95.366,93.011,225.183,147.98,146.182,73.89,211.237,64.608,147.107,55.029,54.036,71.992,213.353,61.405,250.871,101.339,163.78,127.135,77.091,84.21,145.64,45.101,0,87.118,229.854,192.526,167.182,167.267,57.552,42.85,88.64,212.669,36.762,143.815, 
Tierra Colorada,54.832,60.241,46.208,46.154,208.939,134.978,76.146,255.404,74.424,249.256,117.344,123.817,159.945,72.411,169.95,162.699,120.894,86.251,189.719,265.986,98.923,87.924,124.055,61.62,105.463,257.225,119.999,117.644,249.816,62.009,64.984,98.523,130.039,89.241,65.909,60.891,43.277,77.854,237.986,86.038,275.504,125.972,74.128,45.756,174.203,12.263,64.262,50.963,87.118,0,149.385,112.057,86.515,81.384,63.676,67.421,101.687,225.716,51.077,63.345, 
