LOCALIDADES,Cuautitln de Garca Barragn,El Rincn,Campo Acosta,Cpala,Ixtlahuacn,Rincn de Lpez,El Trapiche,Jos Mara Morelos,El Limn,Tonila,Jaluco,San Marcos,Juchitln,Vista Hermosa (Santa Cruz del Cortijo),Tonaya,Zapotitln de Vadillo,Lo Arado,Madrid,Barra de Navidad,Suchitln,Minatitln,San Gabriel,San Andrs Ixtln,Villa Purificacin,Colonia Bayardo,Tapalpa,Cofrada de Jurez,Pihuamo,San Sebastin del Sur,Ayutla,Usmajac,Coahuayana de Hidalgo,San Patricio (Melaque),Cerro de Ortega,La Huerta,Cuauhtmoc,Quesera,Unin de Tula,Comala,El Colomo,La Resolana,Tecalitln,Coquimatln,Ciudad de Armera,Cihuatln,Tamazula de Gordiano,El Grullo,Zapotiltic,Sayula,Tuxpan,Autln de Navarro,Tecomn,Ciudad Guzmn,Ciudad de Villa de lvarez,Manzanillo,Colima, 
Cofrada de Jurez,114.753,119.468,219.436,152.736,32.021,12.964,56.841,207.176,199.139,78.43,108.619,86.011,280.878,120.347,176.616,117.173,182.707,26.535,109.218,68.097,105.144,158.842,135.969,196.789,3.794,191.768,0,102.339,135.012,277.414,147.518,53.493,107.95,40.59,148.373,70.401,79.384,247.322,63.039,49.745,177.303,119.047,53.61,5.011,93.004,132.767,235.557,117.571,154.913,107.346,213.995,15.091,124.847,56.788,51.289,54.547, 
Pihuamo,206.399,71.957,311.082,98.113,85.025,115.179,62.294,298.822,144.516,37.869,200.265,45.45,237.684,65.278,121.993,113.713,274.353,85.882,200.864,76.052,115.077,104.219,81.929,288.435,96.515,137.728,102.339,0,77.168,268.245,89.674,134.388,202.097,121.485,242.52,72.024,56.362,181.289,67.155,143.892,271.45,36.068,65.595,100.526,187.151,74.179,151.261,70.174,97.069,49.29,169.561,95.986,67.003,62.619,145.436,56.144, 
San Sebastin del Sur,193.007,28.83,343.755,56.207,117.698,147.852,74.948,331.495,102.611,57.37,232.938,64.951,165.584,36.326,80.087,71.807,171.17,118.555,233.537,87.792,140.647,60.681,3.614,185.252,129.188,59.838,135.012,77.168,0,196.143,12.45,171.205,238.914,158.302,192.71,73.694,64.741,195.274,94.786,180.709,167.371,56.135,102.412,137.343,223.968,51.656,111.946,27.332,17.994,44.435,130.246,132.803,17.587,91.714,182.253,92.957, 
Ayutla,143.568,223.08,272.148,126.93,308.774,290.254,266.024,259.888,69.622,248.446,174.402,256.027,31.381,230.576,91.512,142.53,113.213,299.317,177.392,192.34,212.46,119.328,195.974,127.295,276.576,104.927,277.414,268.245,196.143,0,185.497,323.254,173.006,310.351,130.651,260.45,251.498,30.088,281.542,235.157,105.312,242.891,289.168,275.518,186.525,242.854,59.201,218.53,179.717,231.191,66.739,284.852,207.257,278.47,230.451,279.713, 
Usmajac,205.513,44.51,356.261,68.793,130.204,160.358,87.454,344.001,105.602,69.876,245.444,77.457,154.869,52.006,83.078,84.393,174.161,131.061,246.043,100.298,153.153,49.482,12.28,188.243,141.694,48.64,147.518,89.674,12.45,185.497,0,178.321,246.03,165.418,190.413,80.81,71.857,184.764,101.902,187.825,165.074,63.251,109.528,144.459,231.084,63.214,109.649,38.89,7.393,51.551,127.949,139.919,27.617,98.83,189.369,100.073, 
Coahuayana de Hidalgo,157.553,155.077,262.236,188.345,53.367,66.333,92.45,249.976,234.748,114.039,151.419,121.62,327.333,155.956,212.225,152.783,225.507,62.145,152.018,103.707,147.944,194.451,171.578,239.589,47.669,227.377,53.493,134.388,171.205,323.254,178.321,0,153.346,13.814,193.769,102.071,111.054,292.718,94.709,95.141,222.699,150.717,85.281,51.775,138.4,164.437,280.953,149.241,186.583,139.016,259.391,39.087,156.517,88.458,96.685,86.217, 
San Patricio (Melaque),77.856,222.786,110.55,189.928,135.339,120.79,160.159,98.29,132.62,181.748,2.9,189.329,173.43,223.665,154.51,205.528,75.259,129.853,5.89,171.415,103.179,182.326,239.287,89.341,107.112,196.73,107.95,202.097,238.914,173.006,246.03,153.346,0,140.204,43.48,170.015,178.998,142.43,162.653,65.01,72.411,218.661,153.224,105.371,16.377,232.381,130.665,217.185,254.527,206.96,109.103,114.705,224.461,156.402,60.303,154.161, 
Cerro de Ortega,144.65,142.174,249.333,175.442,40.464,53.43,79.547,237.073,221.845,101.136,138.516,108.717,314.43,143.053,199.322,139.88,212.604,49.242,139.115,90.804,135.041,181.548,158.675,226.686,34.766,214.474,40.59,121.485,158.302,310.351,165.418,13.814,140.204,0,180.847,89.149,98.132,279.796,81.787,82.219,209.777,137.795,72.359,38.853,125.478,151.515,268.031,136.319,173.661,126.094,246.469,26.166,143.595,75.536,83.763,73.295, 
La Huerta,35.501,192.15,143.106,147.573,175.762,161.213,200.582,130.846,90.265,222.171,45.36,229.752,131.075,264.088,112.155,163.173,32.904,170.276,48.35,211.838,104.393,139.971,193.083,46.986,147.535,154.375,148.373,242.52,192.71,130.651,190.413,193.769,43.48,180.847,0,211.127,220.11,99.594,203.765,106.122,29.575,259.773,194.336,146.483,57.49,273.493,87.829,186.693,182.828,248.072,66.267,155.817,177,197.514,101.416,195.273, 
Cuauhtmoc,128.396,57.567,279.144,90.835,53.087,83.241,10.337,266.884,137.238,13.129,168.327,21.084,229.822,58.446,114.715,68.223,242.415,53.944,168.926,30.95,76.036,96.941,74.067,256.497,64.577,129.866,70.401,72.024,73.694,260.45,80.81,102.071,170.015,89.149,211.127,0,9.252,179.141,25.237,111.16,238.718,51.191,32.863,67.794,154.419,64.911,149.113,49.715,87.058,39.49,167.413,63.254,56.991,22.165,112.704,23.408, 
Quesera,137.379,48.614,288.127,81.882,62.07,92.224,19.32,275.867,128.285,4.566,177.31,12.521,220.87,49.493,105.762,60.526,251.398,62.927,177.909,23.253,85.019,87.988,65.114,265.48,73.56,120.913,79.384,56.362,64.741,251.498,71.857,111.054,178.998,98.132,220.11,9.252,0,172.607,34.424,120.347,247.905,44.657,42.05,76.981,163.606,58.377,142.579,43.181,80.523,32.956,160.879,72.441,50.457,31.352,121.891,32.595, 
Unin de Tula,113.476,141.414,242.056,96.837,274.711,260.162,186.933,229.796,39.529,169.355,144.31,176.936,30.512,148.91,61.419,112.437,83.121,269.225,147.3,162.247,182.368,89.235,195.105,97.203,246.484,104.058,247.322,181.289,195.274,30.088,184.764,292.718,142.43,279.796,99.594,179.141,172.607,0,170.002,205.077,75.232,154.439,201.299,245.438,156.445,161.328,29.121,137.004,178.842,142.739,36.659,254.772,127.311,190.601,200.371,191.844, 
Comala,112.234,78.658,271.782,73.397,45.726,54.644,16.031,259.522,134.659,37.62,160.965,45.201,250.914,79.537,112.135,58.503,158.132,36.026,161.564,9.427,59.874,94.361,95.159,172.214,57.215,150.958,63.039,67.155,94.786,281.542,101.902,94.709,162.653,81.787,203.765,25.237,34.424,170.002,0,103.783,155.052,74.093,17.395,60.417,147.042,87.813,172.015,72.617,109.959,62.392,190.315,55.878,79.893,6.149,105.327,10.423, 
El Colomo,69.456,164.581,174.139,197.849,77.134,62.585,101.954,161.879,194.771,123.543,63.322,131.124,235.581,165.46,216.661,162.286,137.41,71.648,63.921,113.21,59.423,203.955,181.082,151.492,48.907,236.881,49.745,143.892,180.709,235.157,187.825,95.141,65.01,82.219,106.122,111.16,120.347,205.077,103.783,0,133.186,160.758,95.321,47.468,48.887,174.478,191.44,159.282,196.624,149.057,169.878,56.802,166.558,98.499,6.795,96.258, 
La Resolana,43.457,166.811,172.037,122.234,204.692,190.143,229.512,159.777,64.926,251.101,74.291,258.682,105.736,174.307,86.816,137.834,13.103,199.206,77.281,164.479,112.349,114.632,167.744,27.185,176.465,129.036,177.303,271.45,167.371,105.312,165.074,222.699,72.411,209.777,29.575,238.718,247.905,75.232,155.052,133.186,0,179.635,223.196,175.343,86.35,186.524,63.336,162.2,158.335,167.935,41.774,184.677,152.507,149.453,130.276,224.133, 
Tecalitln,177.042,36.331,327.79,72.692,101.733,131.887,58.983,315.53,119.095,41.405,216.973,48.986,212.263,29.652,96.572,88.292,187.655,102.59,217.572,71.827,124.682,78.798,56.508,201.737,113.223,112.307,119.047,36.068,56.135,242.891,63.251,150.717,218.661,137.795,259.773,51.191,44.657,154.439,74.093,160.758,179.635,0,82.43,117.361,203.986,38.552,125.84,34.547,71.648,15.196,144.14,112.821,41.582,71.732,162.271,72.975, 
Coquimatln,117.228,86.284,262.353,90.792,36.297,37.045,23.657,250.093,165.955,45.246,151.536,52.827,258.54,87.163,143.432,75.898,225.624,18.427,152.135,26.822,64.868,125.658,102.785,239.706,47.786,158.584,53.61,65.595,102.412,289.168,109.528,85.281,153.224,72.359,194.336,32.863,42.05,201.299,17.395,95.321,223.196,82.43,0,54.177,140.802,98.489,182.691,83.293,120.635,73.068,261.793,49.637,90.569,11.979,99.087,10.524, 
Ciudad de Armera,109.817,121.215,214.5,154.483,33.768,17.851,58.588,202.24,235.132,80.177,103.683,87.758,275.942,122.094,178.363,118.92,177.771,28.282,104.282,69.844,100.208,160.589,137.716,191.853,5.541,193.515,5.011,100.526,137.343,275.518,144.459,51.775,105.371,38.853,146.483,67.794,76.981,245.438,60.417,47.468,175.343,117.361,54.177,0,89.726,131.563,232.279,116.367,153.709,106.142,210.717,13.887,123.643,55.584,48.011,53.343, 
Cihuatln,49.652,207.84,125.507,203.447,120.393,105.844,145.213,113.247,146.139,166.802,14.69,174.383,186.949,208.719,168.029,205.545,88.778,114.907,15.288,156.469,88.233,195.845,224.341,102.86,92.166,210.249,93.004,187.151,223.968,186.525,231.084,138.4,16.377,125.478,57.49,154.419,163.606,156.445,147.042,48.887,86.35,203.986,140.802,89.726,0,217.432,143.981,202.236,239.578,192.011,122.419,99.756,209.512,141.453,45.354,139.212, 
Tamazula de Gordiano,190.762,20.207,341.51,79.581,115.453,145.607,72.703,329.25,125.985,55.125,230.693,62.706,212.226,13.023,103.461,95.181,194.544,116.31,231.292,85.547,138.402,85.687,52.029,208.626,126.943,112.27,132.767,74.179,51.656,242.854,63.214,164.437,232.381,151.515,273.493,64.911,58.377,161.328,87.813,174.478,186.524,38.552,98.489,131.563,217.432,0,131.578,25.146,66.726,27.1,149.878,126.644,37.505,85.555,176.094,86.798, 
El Grullo,101.711,111.386,230.291,66.809,199.655,248.397,156.905,218.031,9.501,139.327,132.545,146.908,59.625,118.882,31.391,82.409,71.356,257.46,135.535,132.219,102.714,59.207,112.319,85.438,234.719,73.611,235.557,151.261,111.946,59.201,109.649,280.953,130.665,268.031,87.829,149.113,142.579,29.121,172.015,191.44,63.336,125.84,182.691,232.279,143.981,131.578,0,106.933,103.068,112.668,18.883,235.548,97.241,160.53,181.147,161.773, 
Zapotiltic,175.566,6.789,326.314,55.257,100.257,130.411,57.507,314.054,101.661,39.929,215.497,47.51,187.902,16.055,79.137,70.857,170.22,101.114,216.096,70.351,123.206,61.363,27.705,184.302,111.747,87.946,117.571,70.174,27.332,218.53,38.89,149.241,217.185,136.319,186.693,49.715,43.181,137.004,72.617,159.282,162.2,34.547,83.293,116.367,202.236,25.146,106.933,0,42.221,11.64,125.373,111.184,13,70.095,160.634,71.338, 
Sayula,212.908,46.534,363.656,63.768,137.599,167.753,94.849,351.396,97.796,77.271,252.839,84.852,149.088,54.03,75.272,79.368,166.355,138.456,253.438,107.693,160.548,41.676,17.824,180.437,149.089,44.835,154.913,97.069,17.994,179.717,7.393,186.583,254.527,173.661,182.828,87.058,80.523,178.842,109.959,196.624,158.335,71.648,120.635,153.709,239.578,66.726,103.068,42.221,0,59.348,120.133,147.716,35.414,106.627,197.166,107.87, 
Tuxpan,165.341,17.131,316.089,60.992,90.032,120.186,47.282,303.829,107.395,29.704,205.272,37.285,200.563,18.01,84.872,76.592,175.955,90.889,205.871,60.126,112.981,67.098,44.808,190.037,101.522,100.607,107.346,49.29,44.435,231.191,51.551,139.016,206.96,126.094,248.072,39.49,32.956,142.739,62.392,149.057,167.935,15.196,73.068,106.142,192.011,27.1,112.668,11.64,59.348,0,132.382,101.063,29.772,59.974,150.513,61.217, 
Autln de Navarro,80.149,129.686,208.729,85.109,241.384,226.835,175.205,196.469,27.801,157.627,110.983,165.208,67.163,137.182,49.691,100.709,49.794,235.898,113.973,150.519,149.041,77.507,130.619,63.876,213.157,91.911,213.995,169.561,130.246,66.739,127.949,259.391,109.103,246.469,66.267,167.413,160.879,36.659,190.315,169.878,41.774,144.14,261.793,210.717,122.419,149.878,18.883,125.373,120.133,132.382,0,218.926,115.268,178.558,164.525,179.801, 
Tecomn,119.151,116.675,223.834,149.943,29.228,27.931,54.048,211.574,196.346,75.637,113.017,83.218,288.931,117.554,173.823,114.381,187.105,23.743,113.616,65.305,109.542,156.049,133.176,201.187,9.267,188.975,15.091,95.986,132.803,284.852,139.919,39.087,114.705,26.166,155.817,63.254,72.441,254.772,55.878,56.802,184.677,112.821,49.637,13.887,99.756,126.644,235.548,111.184,147.716,101.063,218.926,0,117.946,49.887,58.114,47.646, 
Ciudad Guzmn,182.842,17.313,333.59,45.564,107.533,137.687,64.783,321.33,91.968,47.205,222.773,54.786,176.629,24.809,69.444,61.164,160.527,108.39,223.372,77.627,130.482,51.67,17.96,174.609,119.023,76.673,124.847,67.003,17.587,207.257,27.617,156.517,224.461,143.595,177,56.991,50.457,127.311,79.893,166.558,152.507,41.582,90.569,123.643,209.512,37.505,97.241,13,35.414,29.772,115.268,117.946,0,78.284,168.823,79.527, 
Ciudad de Villa de lvarez,105.983,75.586,265.531,79.546,39.475,48.418,12.959,253.271,155.257,34.548,154.714,42.129,247.842,76.465,132.734,64.652,151.881,29.8,155.313,15.576,53.623,114.96,92.087,165.963,50.964,147.886,56.788,62.619,91.714,278.47,98.83,88.458,156.402,75.536,197.514,22.165,31.352,190.601,6.149,98.499,149.453,71.732,11.979,55.584,141.453,85.555,160.53,70.095,106.627,59.974,178.558,49.887,78.284,0,99.702,5.251, 
Manzanillo,64.75,166.125,169.433,199.393,78.678,64.129,103.498,157.173,190.065,125.087,58.616,132.668,230.875,167.004,211.955,163.83,132.704,73.192,59.215,114.754,54.593,205.499,182.626,146.786,50.451,238.425,51.289,145.436,182.253,230.451,189.369,96.685,60.303,83.763,101.416,112.704,121.891,200.371,105.327,6.795,130.276,162.271,99.087,48.011,45.354,176.094,181.147,160.634,197.166,150.513,164.525,58.114,168.823,99.702,0,96.236, 
Colima,111.235,76.829,263.29,110.097,37.233,46.963,14.202,251.03,156.5,35.791,152.473,43.372,249.085,77.708,133.977,68.926,226.561,28.345,153.072,19.85,58.875,116.203,93.33,240.643,48.723,149.129,54.547,56.144,92.957,279.713,100.073,86.217,154.161,73.295,195.273,23.408,32.595,191.844,10.423,96.258,224.133,72.975,10.524,53.343,139.212,86.798,161.773,71.338,107.87,61.217,179.801,47.646,79.527,5.251,96.236,0, 
