LOCALIDADES,Novara,Capoacan,Paraso Novillero,La Cerquilla,El Nigromante,Acula,Tlapacoyan,Fraccionamiento los Prados,Los Mangos,Xochiapa,Colonia Benito Jurez,Linda Vista,Nopaltepec,Benemrito Jurez,Huazuntln,Saltabarranca,Aguilera,Morelos,Ocozotepec,Corral Nuevo,San Bartolo,Estero del Pantano,Los Tigres (San Marcos),Mapachapa,San Jos Chiltepec,Tres Zapotes,Colonia Lealtad,Dehesa,Hueyapan de Ocampo,Abasolo del Valle,Sihuapan,Nuevo Ixcatln,Estacin Juanita,Puerto Esmeralda,Mara Lombardo de Caso,Calera,Hidalgotitln,Tlacojalpan,Salto de Eyipantla,Jess Carranza,San Juan Evangelista,Chacaltianguis,Buena Vista,Otatitln,Gabino Barreda,San Pedro Mrtir,Comoapan,Soteapan,Soconusco,Mecayapan,Juan Daz Covarrubias,Villa Azueta,Coacotla,Chinameca,El Naranjito,Tlacotalpan,Cuichapa,Tatahuicapan,Mundo Nuevo,Pajapan,Lomas de Barrillas,Playa Vicente,Zaragoza,Texistepec,Ixhuatln del Sureste,Angel R. Cabada,Oluta,Sayula de Alemn,Juan Rodrguez Clara,Oteapan,Santiago Tuxtla,Fraccionamiento Ciudad Olmeca,Carlos A. Carrillo,Lerdo de Tejada,Cosoleacaque,Alvarado,Allende,Nanchital de Lzaro Crdenas del Ro,Isla,Catemaco,Cosamaloapan,Loma Bonita,Jltipan de Morelos,Minatitln,Acayucan,San Andrs Tuxtla,San Juan Bautista Tuxtepec,Minatitln,Coatzacoalcos, 
San Bartolo,18.472,216.789,38.597,129.226,77.525,84.788,134.703,179.135,135.181,114.156,194.148,44.919,36.001,20.315,186.66,142.5,150.758,186.71,195.226,130.699,0,196.839,101.835,184.918,24.355,138.969,147.118,134.084,126.106,120.075,146.611,146.427,126.459,201.722,125.129,147.959,216.828,33.038,153.374,199.858,120.478,50.223,181.091,19.822,13.142,181.391,149.397,186.234,147.407,191.23,121.681,46.716,173.79,171.537,180.184,105.828,223.112,192.561,208.767,201.483,200.969,68.573,175.675,154.944,201.217,146.11,144.744,135.457,85.811,171.978,128.019,203.425,67.533,138.487,173.932,137.193,211.023,212.112,73.452,154.224,62.636,29.286,165.147,182.936,144.191,136.568,7.947,182.615,203.746, 
Estero del Pantano,201.129,47.729,183.006,73.033,190.669,192.923,179.114,26.21,111.287,240.218,72.948,158.648,190.398,183.59,54.376,204.93,72.515,89.911,74.026,89.417,196.839,0,117.492,16.582,239.916,187.901,54.522,71.814,96.881,149.005,141.795,133.329,99.161,15.872,157.339,142.733,54.98,189.305,149.156,127.117,83.803,190.663,88.575,205.039,210.209,23.219,145.179,69.927,52.625,66.558,97.696,152.864,33.335,32.078,21.675,212.874,42.11,65.022,12.342,52.095,16.982,180.301,30.01,53.631,29.225,205.623,55.541,62.716,114.741,29.211,176.951,19.438,174.579,214.762,24.342,244.239,14.598,15.687,128.097,136.717,169.682,169.863,34.152,17.91,55.176,146.236,223.508,16.185,7.322, 
Los Tigres (San Marcos),106.125,132.018,97.857,44.454,95.665,107.774,93.562,94.364,65.626,83.48,109.377,63.643,105.249,88.586,101.889,134.324,65.986,101.939,110.455,65.945,101.835,117.492,0,102.173,132.783,101.787,64.373,51.34,57.026,31.795,109.429,44.461,17.744,118.977,106.25,110.777,134.083,93.136,116.192,117.113,37.733,104.948,98.346,108.87,102.19,98.646,112.215,103.489,64.662,108.485,52.601,56.695,91.045,88.792,97.439,127.159,140.367,109.816,126.022,118.738,118.224,84.132,92.93,72.199,118.472,119.51,61.999,52.712,15.226,89.233,90.837,120.68,88.864,128.649,91.187,158.524,128.278,129.367,31.928,117.042,83.967,73.694,82.402,100.191,61.446,99.385,116.375,99.87,121.001, 
Mapachapa,189.208,38.047,171.085,61.112,178.748,181.002,167.193,14.289,99.366,228.297,53.381,146.727,178.477,171.669,34.809,193.009,60.594,77.99,54.459,77.496,184.918,16.582,102.173,0,226.066,174.051,40.672,57.964,83.031,135.155,127.945,119.479,85.311,17.548,143.489,128.883,44.039,175.455,135.306,113.267,69.953,176.813,74.725,191.189,196.359,10.67,131.329,56.077,38.775,52.708,83.846,139.014,19.485,18.228,7.825,199.024,43.184,51.172,28.839,36.257,16.795,166.451,16.16,39.781,21.289,191.773,41.691,48.866,100.891,15.361,163.101,19.251,160.729,200.912,10.492,230.389,31.095,32.184,114.247,122.867,155.832,156.013,20.302,6.969,41.326,132.386,209.658,5.244,22.972, 
San Jos Chiltepec,36.218,254.442,56.25,155.915,75.054,102.441,161.493,226.784,172.158,111.685,232.461,71.608,53.654,47.003,224.973,160.153,177.447,225.023,233.539,167.676,24.355,239.916,132.783,226.066,0,171.094,170.012,156.978,149,106.648,178.736,124.821,149.353,224.616,123.379,180.084,239.722,55.932,185.499,227.513,143.372,73.117,203.985,42.716,34.695,204.285,181.522,209.128,170.301,214.124,144.575,69.61,196.684,194.431,203.078,123.864,246.006,215.455,231.661,224.377,223.863,66.823,198.569,177.838,224.111,164.145,167.638,158.351,108.705,194.872,160.144,226.319,85.569,156.522,196.826,155.228,233.917,235.006,96.346,186.349,80.672,52.18,188.041,205.83,167.085,168.692,16.675,205.509,226.64, 
Tres Zapotes,143.009,202.427,114.493,124.919,132.725,93.826,4.801,174.769,73.244,182.274,140.265,100.778,121.885,125.72,145.342,21.682,143.872,128.121,141.928,95.451,138.969,187.901,101.787,174.051,171.094,0,134.265,130.304,89.722,116.294,40.522,142.647,122.679,188.49,185.296,41.87,203.597,126.238,47.285,193.65,116.698,116.733,138.626,141.972,135.292,168.16,43.308,145.235,134.554,150.231,85.271,89.797,160.937,158.684,166.952,58.424,209.88,155.344,195.535,164.266,187.737,117.234,162.822,142.092,187.985,20.811,131.892,129.249,82.03,159.125,21.93,190.193,100.649,26.181,161.079,59.732,197.791,198.88,69.672,48.135,95.752,106.796,152.294,169.705,128.413,36.394,149.578,169.384,190.514, 
Colonia Lealtad,151.408,68.941,133.663,23.312,140.948,143.58,129.772,30.363,57.504,190.497,37.425,108.927,141.055,133.869,33.918,151.148,22.794,36.129,38.503,35.635,147.118,54.522,64.373,40.672,170.012,134.265,0,21.772,45.688,98.963,90.602,83.288,49.12,60.304,107.298,91.541,75.235,139.263,97.964,77.076,33.761,141.281,37.383,154.997,148.318,34.338,93.987,35.104,2.816,40.1,46.504,102.822,30.662,28.409,35.608,163.492,81.694,45.213,67.349,54.135,59.551,130.259,32.548,18.257,59.799,139.418,6.88,12.675,64.699,28.851,110.952,62.007,125.197,148.557,30.804,181.559,69.605,70.694,78.055,85.525,120.3,119.821,22.019,41.344,2.378,95.044,174.126,41.022,62.328, 
Dehesa,138.375,86.34,130.106,10.278,127.914,140.023,125.811,48.686,65.545,177.463,51.607,95.893,137.498,120.835,56.211,166.573,20.308,44.169,52.685,43.676,134.084,71.814,51.34,57.964,156.978,130.304,21.772,0,51.895,86.246,96.809,78.185,44.017,76.693,105.05,97.747,91.799,126.546,104.17,74.828,21.044,138.358,43.589,142.28,135.6,56.362,100.193,48.732,16.3,53.728,52.71,90.105,42.683,40.43,55.155,160.569,98.083,58.841,83.738,67.763,75.94,117.542,44.568,23.441,76.188,152.92,13.241,10.427,51.982,40.871,124.247,78.396,122.274,162.059,42.825,191.934,85.994,87.083,65.337,91.731,117.377,107.104,34.04,57.907,10.061,101.25,149.785,57.586,78.717, 
Hueyapan de Ocampo,130.396,111.299,106.383,40.661,119.936,116.3,85.229,72.722,17.982,169.485,53.564,87.915,113.775,112.857,58.64,111.625,65.072,41.42,55.227,8.749,126.106,96.881,57.026,83.031,149,89.722,45.688,51.895,0,78.236,49.122,97.577,63.409,102.743,149.737,50.061,117.674,113.2,56.484,119.515,40.436,113.882,53.459,128.934,122.254,76.777,52.507,60.069,46.718,65.065,5.024,76.759,73.102,70.849,78.047,138.771,124.133,70.178,109.788,79.1,101.99,104.196,74.987,60.696,102.238,97.938,46.959,55.114,43.972,71.29,69.472,104.446,97.798,107.077,73.243,140.079,112.044,113.133,56.634,44.045,92.901,93.758,64.459,83.783,43.246,53.564,146.727,83.461,104.767, 
Abasolo del Valle,124.365,163.531,116.096,75.968,30.667,126.013,111.801,125.877,87.259,53.631,140.89,81.883,123.488,106.826,133.402,152.563,97.499,133.452,141.968,97.459,120.075,149.005,31.795,135.155,106.648,116.294,98.963,86.246,78.236,0,128.858,33.937,47.199,152.042,61.459,130.206,167.148,112.565,135.621,150.177,70.797,124.377,131.411,128.299,121.619,131.711,131.644,136.554,97.727,141.55,72.001,76.124,124.11,121.857,130.504,146.588,173.432,142.881,159.087,151.803,151.289,40.109,125.995,105.264,151.537,138.939,95.064,85.776,34.654,122.298,110.266,153.745,108.293,148.078,124.252,177.953,161.343,162.432,49.395,136.471,103.396,93.123,115.467,133.256,94.511,118.814,96.194,132.935,154.066, 
Sihuapan,150.651,156.213,122.135,85.575,140.367,121.952,36.029,117.635,31.456,189.916,98.478,108.42,129.527,133.362,103.554,62.426,109.986,86.334,100.141,53.663,146.611,141.795,109.429,127.945,178.736,40.522,90.602,96.809,49.122,128.858,0,156.492,136.524,147.387,199.141,1.348,162.318,140.083,7.771,164.159,85.08,130.578,98.103,155.817,149.137,121.421,3.794,104.713,91.363,109.709,44.749,103.642,117.746,115.493,122.692,89.649,168.777,114.822,154.432,123.744,146.634,131.079,119.631,105.34,146.882,48.816,91.603,99.758,95.875,115.934,20.35,149.09,114.494,57.955,117.888,90.957,156.688,157.777,83.517,7.613,109.597,120.641,109.103,128.427,87.89,4.442,163.423,128.105,149.411, 
