LOCALIDADES,Santa Elena Paliseca,El Huixm,San Bartolo Tutotepec,Santiago Tepeyahualco,San Juan Tilcuautla,Almoloya,Rinconada de los ngeles,Manuel vila Camacho,El Pedregal de San Jos,Xolotla,Huehuetla,Ixtlahuaca Barrio,Santa Mara Nativitas,El Saucillo,Rincones de la Hacienda,La Colonia,Santa Mara Asuncin,Cuacuila,Metztitln,Epazoyucan,San Pablito,Jagey de Tllez (Estacin Tllez),Unidades Habitacionales,Santiago Tlapacoya,PRI Chacn,Ciudad de Pahuatln de Valle,Santa Mara Aticpac,Forjadores de Pachuca,El Saucillo (Fraccionamiento),Los Reyes,San Felipe Teotitln,Acaxochitln,Singuilucan,Santa Ana Tzacuala,Almoloya,Tepepa (Santiago Tepepa),Colinas de Plata,Jaltepec,Los Tuzos,Privadas Santa Matilde,Huayacocotla,Unidad Minera 11 de Julio,Santa Ana Hueytlalpan,Pachuquilla,Parque Urbano Napateco,Javier Rojo Gmez,Campestre Villas del lamo,Jaltepec,Zempoala,Atotonilco el Grande,Tlanalapa,Acayuca,Emiliano Zapata,San Agustn Tlaxiaca,Mineral del Monte,Tepeapulco,Santiago Tulantepec,La Providencia Siglo XXI,Cuautepec de Hinojosa,Ciudad de Chignahuapan,Zacualtipn,Apan,Fray Bernardino de Sahagn (Ciudad Sahagn),Huauchinango,Tulancingo,Pachuca de Soto, 
San Pablito,60.703,114.082,36.443,101.233,113.543,65.061,100.119,103.076,60.39,14.654,54.254,85.895,55.978,101.734,60.852,106.994,41.131,50.629,145.044,89.981,0,115.924,60.048,110.153,96.033,10.275,105.174,117.093,95.19,39.521,110.766,34.533,74.41,29.636,121.414,42.773,97.144,117.243,116.256,119.676,91.101,95.948,41.714,91.663,48.452,57.929,95.551,55.915,96.377,93.633,103.394,138.014,134.611,117.758,103.521,100.157,57.888,94.531,62.267,83.891,120.355,114.816,112.045,52.065,50.796,99.41, 
Jagey de Tllez (Estacin Tllez),81.511,18.409,132.965,29.772,26.629,73.182,15.939,27.559,60.667,105.15,194.979,135.387,73.838,20.61,64.466,10.209,79.195,118.35,110.316,24.443,115.924,0,58.576,20.341,18.911,109.957,21.551,11.959,17.265,93.355,34.313,87.748,43.144,90.804,61.866,94.704,19.997,47.651,11.512,5.898,131.359,23.202,82.568,23.493,72.039,61.793,24.309,65.997,21.724,54.215,33.144,12.595,65.019,29.855,30.788,40.609,66.8,17.967,71.179,133.085,117.772,55.268,41.794,109.47,65.286,15.37, 
Unidades Habitacionales,26.204,52.418,77.089,39.577,51.879,16.635,38.455,41.412,1.754,49.274,145.504,85.912,18.531,40.07,14.991,45.33,23.319,68.875,113.004,28.317,60.048,58.576,0,55.72,41.6,50.939,50.74,62.659,40.757,34.338,56.332,28.73,19.976,31.786,66.98,35.686,42.711,62.809,61.822,65.242,84.362,41.515,23.551,37.23,14.31,4.064,41.118,11.319,41.943,49.037,48.96,83.58,80.177,63.325,49.088,45.723,9.071,40.098,13.45,74.502,112.594,60.382,57.611,50.887,7.557,44.977, 
Santiago Tlapacoya,75.741,4.673,115.019,45.026,8.976,67.412,22.686,22.064,54.897,99.379,189.208,129.616,68.068,15.115,58.695,11.988,73.424,112.579,104.821,34.013,110.153,20.341,55.72,0,13.783,102.446,44.35,12.855,16.383,85.844,48.63,80.237,57.461,83.293,76.183,87.193,14.869,70.637,13.572,15.781,126.231,18.073,75.057,18.364,64.52,54.274,19.18,58.486,36.041,49.087,47.46,10.434,88.005,10.472,25.66,54.926,59.28,18.792,63.659,125.574,112.644,69.585,56.111,101.959,57.766,12.305, 
PRI Chacn,61.621,15.143,100.899,32.708,14.605,53.292,10.367,7.944,40.777,85.259,175.088,115.496,53.948,0.839,44.575,8.055,59.304,98.459,90.701,21.694,96.033,18.911,41.6,13.783,0,89.298,34.058,8.82,3.105,72.696,38.338,67.089,30.986,70.145,65.891,74.045,1.708,51.676,7.983,15.912,113.082,4.925,61.909,5.216,51.372,41.126,6.032,45.338,25.749,35.938,37.168,19.341,69.044,22.363,12.511,44.634,46.132,5.644,50.511,112.426,99.495,59.293,45.819,88.811,44.618,4.016, 
Ciudad de Pahuatln de Valle,50.428,103.807,46.564,90.958,103.268,54.786,89.844,92.801,50.115,4.379,52.247,75.62,45.703,91.459,50.577,96.719,30.856,40.354,133.732,79.706,10.275,109.957,50.939,102.446,89.298,0,97.842,109.761,87.858,29.246,103.434,24.258,67.078,19.361,114.082,32.498,89.812,109.911,108.924,112.344,81.7,88.616,35.948,84.331,41.12,50.597,88.219,48.583,89.045,86.301,96.062,130.682,127.279,110.426,96.189,92.825,50.556,87.199,54.935,73.616,110.954,107.484,104.713,41.79,43.464,92.078, 
Santa Mara Aticpac,70.761,41.897,122.215,14.947,45.172,62.432,25.45,41.364,49.917,94.4,184.229,124.637,63.088,34.415,53.716,32.174,68.445,107.6,124.121,27.978,105.174,21.551,50.74,44.35,34.058,97.842,0,32.211,31.52,86.933,10.075,81.326,36.722,84.382,61.39,88.282,35.065,29.118,31.374,32.816,146.427,38.269,76.146,33.647,65.617,55.371,39.376,59.575,11.676,69.283,19.423,31.572,46.485,53.902,45.856,26.889,60.378,32.221,64.757,126.663,132.84,41.548,28.074,103.048,58.864,35.555, 
Forjadores de Pachuca,82.68,10.231,134.134,30.941,18.451,74.351,8.6,16.126,61.836,106.319,196.148,136.556,75.007,9.177,65.635,1.388,80.364,119.519,98.883,19.927,117.093,11.959,62.659,12.855,8.82,109.761,32.211,0,5.729,80.249,35.885,74.642,44.716,77.698,63.439,81.598,9.274,49.223,2,7.649,120.636,12.478,69.462,12.769,58.925,48.679,13.585,52.891,23.296,43.492,34.716,14.162,66.591,22.315,20.065,42.182,53.685,8.098,58.064,119.979,107.049,56.841,43.366,96.364,52.171,5.207, 
El Saucillo (Fraccionamiento),60.778,16.485,112.231,30.249,17.205,52.449,7.908,9.807,39.934,84.416,174.245,114.653,53.105,2.558,43.732,6.298,58.461,97.616,92.564,19.235,95.19,17.265,40.757,16.383,3.105,87.858,31.52,5.729,0,71.297,35.427,65.69,29.588,68.746,62.98,72.646,6.327,48.764,5.072,13.001,117.689,9.531,60.51,3.795,49.973,39.727,6.365,43.939,22.837,40.545,34.257,19.883,66.132,25.165,17.118,41.723,44.733,2.369,49.112,111.027,104.102,56.382,42.907,87.412,43.219,6.818, 
Los Reyes,30.136,87.205,71.247,74.356,86.666,28.674,73.242,76.199,33.514,25.804,109.131,47.533,24.791,74.857,33.975,80.117,14.254,32.502,131.722,63.104,39.521,93.355,34.338,85.844,72.696,29.246,86.933,80.249,71.297,0,87.019,5.407,50.663,10.278,97.667,9.014,73.397,93.496,92.509,95.929,80.343,72.201,19.533,67.916,24.705,34.182,71.804,32.168,72.63,69.886,79.647,114.267,110.864,94.011,79.774,76.41,34.141,70.784,28.233,50.876,109.598,91.069,88.298,27.26,27.049,75.663, 
San Felipe Teotitln,76.353,61.731,127.807,7.921,49.452,68.024,29.731,45.644,55.509,99.992,189.821,130.229,68.68,38.695,59.308,36.454,74.037,113.192,128.401,42.805,110.766,34.313,56.332,48.63,38.338,103.434,10.075,35.885,35.427,87.019,0,76.428,31.824,79.484,43.285,83.384,39.205,30.278,35.515,38.935,150.567,42.409,71.248,37.787,60.719,50.473,43.516,54.677,15.636,73.423,14.562,52.021,47.645,58.042,49.996,22.028,55.48,36.361,59.859,121.765,136.98,36.687,23.213,98.15,53.966,39.695, 
Acaxochitln,25.783,81.598,65.639,68.749,81.059,24.941,67.635,70.592,27.906,20.816,113.604,52.006,21.058,69.25,28.368,74.51,8.647,36.975,126.115,57.497,34.533,87.748,28.73,80.237,67.089,24.258,81.326,74.642,65.69,5.407,76.428,0,45.055,5.291,92.059,8.209,67.789,87.888,86.901,90.321,74.735,66.593,13.925,62.308,19.097,28.574,66.196,26.56,67.022,64.278,74.039,108.659,105.256,88.403,74.166,70.802,28.533,65.176,32.912,49.327,103.99,85.461,82.69,25.711,21.442,70.055, 
Singuilucan,39.997,55.007,91.451,24.145,58.283,31.668,38.561,34.49,19.153,63.636,153.465,93.873,32.324,47.525,22.952,45.285,37.681,76.836,117.247,15.487,74.41,43.144,19.976,57.461,30.986,67.078,36.722,44.716,29.588,50.663,31.824,45.055,0,49.02,48.24,52.92,46.772,44.069,43.082,46.502,101.595,49.976,40.784,27.648,30.255,20.009,31.536,24.213,23.203,80.99,30.22,64.841,61.437,65.61,57.563,26.983,25.016,43.929,29.395,91.301,144.547,41.642,38.871,67.686,23.502,47.263, 
Santa Ana Tzacuala,31.275,84.654,68.695,71.805,84.115,35.633,70.691,73.648,30.962,15.919,71.608,56.467,26.55,72.306,31.424,77.566,11.703,41.436,129.171,60.553,29.636,90.804,31.786,83.293,70.145,19.361,84.382,77.698,68.746,10.278,79.484,5.291,49.02,0,95.115,13.53,70.845,90.944,89.957,93.377,77.791,69.649,16.981,65.364,22.153,31.63,69.252,29.616,70.078,67.334,77.095,111.715,108.312,91.459,77.222,73.858,31.589,68.232,35.968,54.648,107.046,88.517,85.746,31.032,24.497,73.111, 
Almoloya,54.902,73.73,138.455,37.874,77.005,53.173,57.284,73.197,66.157,110.64,199.762,75.278,56.263,66.248,69.956,64.008,84.685,113.632,155.954,52.795,121.414,61.866,66.98,76.183,65.891,114.082,61.39,63.439,62.98,97.667,43.285,92.059,48.24,95.115,0,103.146,66.297,42.842,62.607,89.766,147.595,69.501,86.784,64.879,76.255,66.009,70.608,70.213,42.728,100.515,28.508,88.523,19.999,85.135,77.088,21.402,57.858,63.453,55.878,68.308,164.072,7.384,25.405,109.37,69.502,66.788, 
Tepepa (Santiago Tepepa),23.298,88.554,72.595,75.705,88.015,24.844,74.591,77.548,34.862,29.056,108.826,47.228,21.048,76.206,35.324,81.466,15.603,32.197,133.071,64.453,42.773,94.704,35.686,87.193,74.045,32.498,88.282,81.598,72.646,9.014,83.384,8.209,52.92,13.53,103.146,0,82.268,102.367,101.38,104.8,83.103,81.072,22.293,76.787,27.466,36.942,80.675,41.039,81.501,78.757,88.518,123.138,119.735,102.882,88.645,85.281,36.902,79.655,24.385,43.845,112.358,99.94,97.169,20.229,29.81,84.534, 
Colinas de Plata,62.732,16.229,102.01,33.794,15.691,54.403,11.453,9.055,41.888,86.37,176.199,116.607,55.059,2.219,45.686,9.141,60.415,99.57,91.812,22.78,97.144,19.997,42.711,14.869,1.708,89.812,35.065,9.274,6.327,73.397,39.205,67.789,46.772,70.845,66.297,82.268,0,53.29,9.597,17.526,112.315,4.158,61.142,4.449,50.605,40.359,5.265,44.571,27.363,35.171,38.782,20.955,70.658,23.977,11.744,46.248,45.365,4.877,49.744,111.659,98.728,60.907,47.433,88.044,43.851,5.63, 
Jaltepec,58.778,68.013,134.284,24.65,62.79,74.501,43.069,58.982,61.986,106.469,196.298,114.299,75.157,52.033,65.785,49.792,80.514,119.669,141.739,49.282,117.243,47.651,62.809,70.637,51.676,109.911,29.118,49.223,48.764,93.496,30.278,87.888,44.069,90.944,42.842,102.367,53.29,0,47.307,57.269,142.3,54.201,81.489,49.579,70.96,60.714,55.308,64.918,27.427,85.215,13.73,56.026,18.757,68.889,61.788,12.903,65.721,48.153,70.1,96.202,148.772,27.561,9.164,108.391,64.207,51.487, 
Los Tuzos,81.843,10.948,133.297,30.104,19.168,73.514,7.763,15.289,60.999,105.482,195.311,135.719,74.17,8.34,64.798,2.569,79.527,118.682,98.046,19.09,116.256,11.512,61.822,13.572,7.983,108.924,31.374,2,5.072,92.509,35.515,86.901,43.082,89.957,62.607,101.38,9.597,47.307,0,7.483,119.594,11.436,68.42,11.727,57.883,47.637,12.543,51.849,22.254,42.45,33.674,14.365,65.549,22.829,19.023,41.14,52.643,7.056,57.022,118.937,106.007,55.799,42.324,95.322,51.129,5.722, 
Privadas Santa Matilde,85.263,13.157,136.717,33.524,21.377,76.934,11.183,23.218,64.419,108.902,198.731,139.139,77.59,16.269,68.218,5.867,82.947,122.102,105.975,22.511,119.676,5.898,65.242,15.781,15.912,112.344,32.816,7.649,13.001,95.929,38.935,90.321,46.502,93.377,89.766,104.8,17.526,57.269,7.483,0,127.18,19.023,86.78,15.051,76.251,66.005,20.13,70.209,25.937,50.036,37.356,9.178,77.754,25.676,26.609,44.822,71.012,13.625,75.391,137.297,113.593,59.481,46.007,113.682,69.498,11.191, 
Huayacocotla,96.538,127.591,71.028,124.38,127.053,88.209,122.815,107.254,83.538,82.911,104.251,124.961,88.865,115.244,70.361,120.503,67.361,107.924,55.283,128.47,91.101,131.359,84.362,126.231,113.082,81.7,146.427,120.636,117.689,80.343,150.567,74.735,101.595,77.791,147.595,83.103,112.315,142.3,119.594,127.18,0,110.406,61.52,114.431,66.74,84.119,111.867,82.105,138.767,77.078,150.186,132.359,160.801,135.381,103.99,126.347,84.078,114.86,88.457,122.578,30.847,141.006,158.837,98.963,76.986,117.034, 
Unidad Minera 11 de Julio,61.536,19.434,97.649,36.998,18.895,53.207,14.657,4.694,40.692,85.174,175.003,115.411,53.863,7.086,44.49,12.346,59.219,98.374,87.451,20.326,95.948,23.202,41.515,18.073,4.925,88.616,38.269,12.478,9.531,72.201,42.409,66.593,49.976,69.649,69.501,81.072,4.158,54.201,11.436,19.023,110.406,0,62.841,6.148,52.304,42.058,3.239,46.27,29.72,33.24,41.139,23.313,73.015,26.335,9.813,48.605,47.064,6.576,51.443,113.358,96.797,63.264,49.79,89.743,45.55,7.987, 
Santa Ana Hueytlalpan,35.727,76.418,52.372,63.569,75.879,27.398,62.455,65.412,22.727,32.506,82.683,64.15,28.054,64.07,23.188,69.33,6.551,47.113,108.215,52.317,41.714,82.568,23.551,75.057,61.909,35.948,76.146,69.462,60.51,19.533,71.248,13.925,40.784,16.981,86.784,22.293,61.142,81.489,68.42,86.78,61.52,62.841,0,57.043,5.93,23.309,60.931,21.295,61.757,59.013,68.774,103.394,99.991,83.138,68.901,65.537,23.268,59.911,27.647,61.768,90.775,80.196,77.425,38.153,16.176,64.79, 
