LOCALIDADES,Mariano Matamoros,El Lucero (Arcinas),Transporte,Laguna del Rey (Qumicas del Rey),Hidalgo,Pastor Rouaix,El Huarache (El Guarache),Guanacev,Luchana,Carlos Real (San Carlos),Villa las Nieves,Len Guzmn,La Popular,Viesca,Nazas,Ceballos,El Cambio,La Concha,Hrcules,La Partida,La Loma,Hidalgo,Valle de Ignacio Allende,San Francisco del Oro,San Felipe,Rodeo,Santa Catarina de Tepehuanes,Mapim,Santa Mara del Oro,Ciudad Jurez,Nazareno,Concordia (La Rosita),Santa Brbara,Bermejillo,Tlahualilo de Zaragoza,San Antonio del Coyote,Santiago Papasquiaro,Francisco I. Madero (Chvez),Parras de la Fuente,Jos Mariano Jimnez,Santa Rosala de Camargo,San Pedro,Matamoros,Lerdo,Hidalgo del Parral,Gmez Palacio,Torren, 
La Loma,360.699,74.195,36.343,238.398,74.988,41.051,30.639,397.013,85.038,26.93,282.377,10.231,43.254,123.479,100.037,162.616,60.132,54.037,514.344,59.74,0,81.834,318.913,370.415,55.131,173.488,392.341,89.269,283.067,33.251,46.467,90.055,371.983,67.091,95.335,69.248,371.75,71.622,210.21,261.899,331.176,102.893,70.219,29.022,347.581,39.877,55.176, 
Hidalgo,376.88,67.699,52.523,213,55.539,57.232,39.778,413.194,52.365,42.845,298.558,71.78,54.644,47.037,171.575,178.797,32.884,41.623,530.525,25.929,81.834,0,333.853,385.355,51.699,228.323,407.281,104.209,298.007,50.755,38.419,66.878,386.923,82.031,107.389,35.414,426.585,51.002,138.672,276.839,346.116,57.624,12.17,53.977,362.521,43.504,31.628, 
Valle de Ignacio Allende,53.613,277.397,284.791,235.582,311.779,283.297,300.955,318.856,337.639,301.376,105.644,308.859,291.904,376.08,338.982,175.986,312.733,306.638,305.61,312.341,318.913,333.853,0,61.852,309.757,282.072,313.202,282.233,203.928,312.57,320.117,325.44,63.42,259.957,291.829,323.874,364.695,307.141,464.836,60.288,124.985,338.278,324.845,299.963,39.018,294.503,309.802, 
San Francisco del Oro,49.985,328.899,336.293,287.084,363.281,334.799,352.457,315.228,389.141,352.878,102.016,360.361,343.406,427.582,335.354,227.488,364.235,358.14,357.112,363.843,370.415,385.355,61.852,0,358.67,278.958,310.088,296.222,200.814,361.483,369.03,374.353,13.518,308.87,340.742,372.787,361.581,356.054,513.749,109.201,173.898,387.191,373.758,348.876,25.24,343.416,358.715, 
San Felipe,350.177,26.723,25.82,184.346,20.936,18.766,24.994,386.491,29.867,31.133,271.855,45.077,12.354,93.926,144.872,152.094,11.562,9.561,503.822,27.802,55.131,51.699,309.757,358.67,0,201.529,380.487,77.415,271.213,39.789,41.728,35.197,360.129,55.237,56.096,16.459,399.791,16.898,180.97,250.045,319.322,48.035,40.979,27.183,335.727,16.77,23.309, 
Rodeo,228.476,225.32,183.414,385.469,222.059,188.122,177.921,292.062,232.109,174.212,177.426,163.434,190.325,270.55,57.475,241.514,207.203,201.108,577.331,206.811,173.488,228.323,282.072,278.958,201.529,0,274.422,176.405,176.913,180.695,193.911,236.502,279.792,199.695,236.926,215.695,222.701,218.069,356.657,328.947,393.644,249.34,216.666,176.467,257.562,186.324,201.623, 
Santa Catarina de Tepehuanes,259.605,352.188,358.219,527.947,385.207,356.725,374.383,87.216,411.067,374.804,208.556,382.287,365.332,449.508,319.997,272.644,386.161,380.066,608.461,385.769,392.341,407.281,313.202,310.088,380.487,274.422,0,303.301,110.331,383.279,390.826,396.149,310.771,326.591,363.822,394.583,51.89,377.85,535.545,359.926,424.623,408.987,395.554,370.672,288.541,365.212,380.511, 
Mapim,245.74,49.116,55.147,224.875,82.135,53.653,71.311,309.326,107.995,71.732,194.69,79.215,62.26,146.436,131.012,124.57,83.089,76.994,476.298,82.697,89.269,104.209,282.233,296.222,77.415,176.405,303.301,0,194.088,80.25,87.797,93.12,296.967,23.562,60.793,91.554,354.855,74.821,232.516,222.841,292.118,105.958,92.525,67.643,274.737,62.183,77.482, 
Santa Mara del Oro,150.331,242.914,248.945,418.673,275.933,247.451,265.109,116.356,301.793,265.53,99.282,273.013,256.058,340.234,234.043,163.37,276.887,270.792,499.187,276.495,283.067,298.007,203.928,200.814,271.213,176.913,110.331,194.088,0,274.007,281.554,286.877,201.499,217.319,254.55,285.311,161.942,268.578,426.273,250.654,315.351,299.715,286.282,261.4,179.269,255.94,271.239, 
Ciudad Jurez,352.99,63.095,28.634,220.728,57.318,33.342,11.923,389.304,63.839,8.214,274.668,23.196,35.545,92.982,123.989,154.907,38.943,32.838,506.635,38.253,33.251,50.755,312.57,361.483,39.789,180.695,383.279,80.25,274.007,0,27.918,65.268,360.962,56.07,93.338,44.461,378.99,49.392,179.073,250.878,320.155,78.106,39.081,12.982,336.56,22.395,22.539, 
Nazareno,360.537,64.976,36.18,225.805,62.395,40.889,17,396.851,68.916,20.067,282.215,36.412,38.301,90.375,137.205,162.454,44.02,37.915,514.182,36.871,46.467,38.419,320.117,369.03,41.728,193.911,390.826,87.797,281.554,27.918,0,69.905,370.217,65.325,96.876,49.098,391.738,54.029,176.373,260.133,329.41,82.743,36.382,25.73,345.815,26.434,27.176, 
Concordia (La Rosita),365.86,42.504,60.744,163.652,25.989,50.665,54.35,402.174,12.528,57.417,287.538,80.001,47.144,77.657,179.796,167.777,35.157,35.741,328.717,41.204,90.055,66.878,325.44,374.353,35.197,236.502,396.149,93.12,286.877,65.268,69.905,0,395.118,90.226,70.349,23.27,434.78,17.635,137.739,285.034,354.311,15.419,46.189,62.172,370.716,51.699,48.358, 
Santa Brbara,51.553,330.467,337.861,288.652,364.849,336.367,354.025,316.796,390.709,354.446,103.584,361.929,344.974,429.15,336.922,229.056,365.803,359.708,358.68,365.411,371.983,386.923,63.42,13.518,360.129,279.792,310.771,296.967,201.499,360.962,370.217,395.118,0,310.682,342.554,374.599,363.393,357.866,515.561,111.013,175.71,389.003,375.57,350.688,27.052,345.228,360.527, 
Bermejillo,269.03,26.84,32.969,202.599,59.957,31.475,49.133,332.616,85.817,49.554,217.98,57.037,40.082,124.258,156.832,102.294,60.911,54.816,454.022,60.519,67.091,82.031,259.957,308.87,55.237,199.695,326.591,23.562,217.319,56.07,65.325,90.226,310.682,0,38.613,69.374,380.189,52.641,210.336,200.661,269.938,83.778,70.345,45.463,286.343,40.003,55.302, 
Tlahualilo de Zaragoza,332.249,31.343,61.214,121.774,48.382,64.438,80.684,369.847,60.149,86.822,255.211,85.281,60.888,149.616,185.076,93.327,70.718,65.82,286.839,76.765,95.335,107.389,291.829,340.742,56.096,236.926,363.822,60.793,254.55,93.338,96.876,70.349,342.554,38.613,0,69.501,439.475,55.337,208.794,232.09,301.367,86.474,92.6,73.826,317.772,71.005,85.075, 
San Antonio del Coyote,364.294,34.014,39.937,179.495,21.854,34.818,33.543,400.608,18.86,36.61,285.972,59.194,28.406,77.641,158.989,166.211,12.162,14.934,517.939,14.451,69.248,35.414,323.874,372.787,16.459,215.695,394.583,91.554,285.311,44.461,49.098,23.27,374.599,69.374,69.501,0,413.893,15.774,161.928,264.147,333.424,36.114,24.076,41.285,349.829,30.812,27.471, 
Santiago Papasquiaro,311.098,419.528,381.676,583.731,420.321,386.384,376.183,138.709,430.371,372.474,260.049,361.696,388.587,468.812,268.276,324.137,405.465,399.37,659.954,405.073,371.75,426.585,364.695,361.581,399.791,222.701,51.89,354.855,161.942,378.99,391.738,434.78,363.393,380.189,439.475,413.893,0,416.215,554.803,411.496,476.193,447.486,414.812,374.613,340.111,384.47,399.769, 
Francisco I. Madero (Chvez),347.561,24.205,42.311,171.1,7.69,32.366,38.474,383.875,13.226,41.541,269.239,61.568,28.845,93.229,161.363,149.478,19.281,19.865,501.206,25.328,71.622,51.002,307.141,356.054,16.898,218.069,377.85,74.821,268.578,49.392,54.029,17.635,357.866,52.641,55.337,15.774,416.215,0,152.829,269.154,338.431,30.509,40.003,46.292,354.836,33.262,32.478, 
Parras de la Fuente,505.256,177.662,180.899,300.319,161.147,185.608,168.155,541.57,147.686,171.222,426.934,200.156,183.02,78.687,299.951,307.173,159.334,169.999,658.901,153.196,210.21,138.672,464.836,513.749,180.97,356.657,535.545,232.516,426.273,179.073,176.373,137.739,515.561,210.336,208.794,161.928,554.803,152.829,0,401.71,470.987,120.039,139.692,178.848,487.392,168.375,156.499, 
Jos Mariano Jimnez,100.708,220.383,227.777,178.568,254.765,226.283,243.941,365.951,280.625,244.362,152.739,251.845,234.89,319.066,351.64,118.972,255.719,249.624,254.354,255.327,261.899,276.839,60.288,109.201,250.045,328.947,359.926,222.841,250.654,250.878,260.133,285.034,111.013,200.661,232.09,264.147,411.496,269.154,401.71,0,69.917,278.512,265.079,240.197,86.321,234.737,250.036, 
Santa Rosala de Camargo,165.405,289.66,297.054,247.845,324.042,295.56,313.218,430.648,349.902,313.639,217.436,321.122,304.167,388.343,420.917,188.249,324.996,318.901,195.983,324.604,331.176,346.116,124.985,173.898,319.322,393.644,424.623,292.118,315.351,320.155,329.41,354.311,175.71,269.938,301.367,333.424,476.193,338.431,470.987,69.917,0,347.605,334.172,309.29,150.115,303.83,319.129, 
San Pedro,378.698,55.342,73.582,177.999,38.827,63.503,67.188,415.012,25.366,70.255,300.376,92.839,59.982,62.35,192.634,180.615,47.995,48.579,343.064,54.042,102.893,57.624,338.278,387.191,48.035,249.34,408.987,105.958,299.715,78.106,82.743,15.419,389.003,83.778,86.474,36.114,447.486,30.509,120.039,278.512,347.605,0,59.024,75.007,383.551,64.534,61.193, 
Matamoros,365.265,57.113,40.908,202.414,44.953,45.617,28.163,401.579,41.779,31.23,286.943,60.165,43.029,54.397,159.96,167.182,22.299,30.008,518.91,15.343,70.219,12.17,324.845,373.758,40.979,216.666,395.554,92.525,286.282,39.081,36.382,46.189,375.57,70.345,92.6,24.076,414.812,40.003,139.692,265.079,334.172,59.024,0,42.229,350.773,31.756,19.88, 
Lerdo,340.383,50.489,16.027,211.123,47.713,20.735,8.616,376.697,57.763,6.466,262.061,18.968,22.938,96.204,119.761,142.3,32.857,26.762,494.028,32.465,29.022,53.977,299.963,348.876,27.183,176.467,370.672,67.643,261.4,12.982,25.73,62.172,350.688,45.463,73.826,41.285,374.613,46.292,178.848,240.197,309.29,75.007,42.229,0,323.976,9.811,25.11, 
Hidalgo del Parral,29.323,306.065,313.459,264.25,340.447,311.965,329.623,294.566,366.307,330.044,81.354,337.527,320.572,404.748,314.692,204.654,341.401,335.306,334.278,341.009,347.581,362.521,39.018,25.24,335.727,257.562,288.541,274.737,179.269,336.56,345.815,370.716,27.052,286.343,317.772,349.829,340.111,354.836,487.392,86.321,150.115,383.551,350.773,323.976,0,318.696,333.995, 
Gmez Palacio,334.923,40.076,10.566,200.71,37.3,15.275,10.242,371.237,47.29,15.879,256.601,29.823,13.401,85.731,129.618,136.84,22.384,16.289,488.568,21.992,39.877,43.504,294.503,343.416,16.77,186.324,365.212,62.183,255.94,22.395,26.434,51.699,345.228,40.003,71.005,30.812,384.47,33.262,168.375,234.737,303.83,64.534,31.756,9.811,318.696,0,17.795, 
Torren,350.222,49.626,25.865,200.838,37.428,30.574,11.621,386.536,43.949,14.688,271.9,45.122,21.09,73.855,144.917,152.139,15.762,12.948,503.867,15.37,55.176,31.628,309.802,358.715,23.309,201.623,380.511,77.482,271.239,22.539,27.176,48.358,360.527,55.302,85.075,27.471,399.769,32.478,156.499,250.036,319.129,61.193,19.88,25.11,333.995,17.795,0, 
