LOCALIDADES,Cala Sur,San Isidro,Amixtln,Tlacotepec (San Mateo),Zoatecpan,Coahuixco,Xaltepec,El Mirador,Ahueyahualco,Chicahuaxtla,San Juan Tahitic,Xonocuautla,Chapopote Nez,Espinal,Xochitln de Vicente Surez,Juan Marcos (San Jos Buenavista),Ocotln de Betancourt,Colonias Pedernales,Oyameles,Ayotoxco de Guerrero,Plan de Arroyos,Tzinacapan,La Libertad,General Lzaro Crdenas del Ro,Xoloateno,Nautla,San Francisco,Mecapalapa,Coahuitln,Jicolapa,Los Molinos (San Jos),Zozocolco de Hidalgo,Comaltepec,Las Colonias de Hidalgo,Arroyo del Maz Uno,Las Lomas,Ixtepec,Villa Aldama,Chicontla,Colonia Libertad,Entabladero,Chiconcuautla,Atzingo (La Cumbre),San Jos Acateno,San Francisco,San Andrs Payuca,Caxhuacan,Tepango de Rodrguez,Sosa,Huitzilan,Xaltepuxtla,Estero del dolo,Felipe Carrillo Puerto,La Palmilla,Metlaltoyuca,San Sebastin,Zacate Colorado,El Chote,Coxquihui,San Antonio Limn (Totalco),San Miguel Tenextatiloyan,Tacopan,Cazones de Herrera,Zongozotla,Tatoxcac,Castillo de Teayo,Ciudad de Tetela de Ocampo,Xalacapan,Teteles de Avila Castillo,San Juan Acateno,Yaonhuac,Tecolutla,Puntilla Aldama,Xaltipan,Mecatln,Atoluca,Hueytamalco,Agua Dulce,Ciudad de Cuetzalan,Hueyapan,Venustiano Carranza,Atempan,San Rafael,Tenango de las Flores,Totolapa,Nuevo Necaxa,San Juan Xiutetelco,Zacapoaxtla,Coyutla,Santiago de la Pea,Villa vila Camacho (La Ceiba),Ciudad de Tlatlauquitepec,Zaragoza,Chignautla,Plan de Ayala,Villa Lzaro Crdenas (La Uno),Filomeno Mata,Jalacingo,Gutirrez Zamora,Tihuatln,Alto Lucero,Independencia,Altotonga,lamo,Zacatln,Coatzintla,Tlapacoyan,Perote,Xicotepec de Jurez,Papantla de Olarte,Teziutln,Martnez de la Torre,Txpam de Rodrguez Cano,Poza Rica de Hidalgo, 
Plan de Arroyos,70.661,58.333,156.485,162.573,121.853,62.776,233.942,89.355,47.595,241.091,117.239,79.455,195.259,91.075,125.396,52.36,92.983,31.979,86.919,66.284,0,100.559,100.596,131.126,58.369,73.91,57.142,202.826,123.23,257.394,76.283,91.904,104.185,216.576,129.696,104.284,122.349,66.861,223.009,61.62,110.542,239.852,258.237,48.603,236.444,128.157,109.517,139.443,59.291,132.167,219.103,194.732,47.857,33.696,208.399,56.048,132.874,103.041,93.605,87.964,103.96,65.699,160.894,148.893,103.949,179.578,143.964,107.784,71.034,55.583,73.845,112.12,56.494,58.91,124.233,49.344,36.066,100.213,99.695,74.845,150.134,68.474,58.782,214.567,129.817,213.206,55.569,104.651,110.797,186.13,224.287,81.263,94.565,57.612,127.466,152.157,125.171,53.448,100.953,167.065,193.46,31.416,48.964,197.75,254.441,118.895,23.504,75.903,202.246,108.405,53.253,46.292,191.193,127.647, 
Tzinacapan,76.51,85.195,81.135,87.223,22.91,79.912,156.211,53.73,105.37,163.36,41.211,60.926,150.517,60.406,26.453,110.135,51.969,102.246,65.003,35.517,100.559,0,57.387,98.877,85.807,148.942,90.398,152.248,71.106,102.137,111.386,39.78,38.81,151.183,104.35,46.598,49.01,122.743,108.241,119.552,58.418,174.459,108.169,77.837,153.814,84.948,36.178,65.246,82.67,40.363,153.71,144.041,116.818,89.967,157.708,77.001,87.316,75.176,41.481,116.528,60.751,74.715,125.218,51.1,40.55,128.887,65.602,32.21,69.116,74.384,69.879,130.858,125.455,91.337,72.109,88.297,65.268,83.517,2.72,75.165,104.576,71.857,127.743,149.174,97.568,147.813,95.759,35.89,58.673,144.415,124.985,57.932,54.635,82.614,95.217,86.763,73.047,94.094,119.692,116.374,151.745,101.581,108.519,147.059,99.924,94.115,78.893,104.775,136.853,90.45,81.024,102.563,149.478,99.755, 
La Libertad,36.818,46.066,93.674,99.762,38.046,40.221,228.776,13.462,78.953,235.925,32.204,12.638,205.137,99.386,48.507,83.719,10.271,102.283,12.935,73.453,100.596,57.387,0,153.584,45.763,144.787,57.276,270.955,125.813,180.028,82.278,77.109,21.372,221.585,169.274,16.404,71.956,77.522,249.02,83.758,113.125,236.743,180.871,96.229,304.573,30.803,82.252,77.874,43.066,49.354,224.112,198.748,117.926,91.075,212.415,53.41,142.023,142.619,96.188,77.343,6.606,35.111,179.925,58.189,21.135,183.594,46.61,24.971,29.512,54.032,30.275,182.189,126.563,58.215,126.816,52.208,75.151,139.791,55.253,33.399,159.283,32.253,128.851,219.721,152.275,217.238,58.142,21.838,113.38,199.122,255.991,18.327,6.433,43.01,149.924,141.47,127.754,60.78,171.022,171.081,206.452,102.689,74.095,201.766,177.075,158.473,81.507,56.574,229.082,147.983,49.058,103.671,204.185,154.462, 
General Lzaro Crdenas del Ro,138.547,136.33,188.016,191.178,119.02,130.662,108.573,157.241,146.542,115.722,137.321,157.452,51.832,53.007,100.08,151.307,148.079,101.59,161.113,77.612,131.126,98.877,153.584,0,128.496,100.541,142.484,53.551,66.761,153.104,173.238,65.37,134.907,99.22,11.701,142.695,94.987,163.816,105.653,160.625,41.578,122.496,159.371,84.702,87.169,181.045,82.155,112.081,129.418,114.975,101.747,45.344,93.035,110.835,59.011,119.69,11.796,29.394,58.387,184.919,156.848,135.826,32.569,118.946,136.647,30.19,191.756,128.307,141.161,117.073,132.52,66.762,102.125,143.423,67.764,129.37,106.341,36.508,98,129.69,32.778,138.601,110.236,97.211,3.067,101.496,136.832,131.987,54.328,45.718,106.931,143.423,150.732,127.739,3.649,34.801,68.702,135.167,55.596,17.677,53.048,100.243,149.592,48.362,155.577,12.115,120.421,172.858,84.89,26.429,133.279,99.032,50.781,8.765, 
Xoloateno,13.606,5.601,121.655,127.743,66.027,5.721,270.953,32.3,36.726,278.102,60.184,24.523,180.149,75.171,76.488,41.492,35.928,60.056,31.987,50.38,58.369,85.807,45.763,128.496,0,104.291,16.78,183.579,110.155,223.017,57.245,78.829,49.82,264.574,128.778,49.919,100.404,47.823,147.29,44.631,97.467,279.732,223.86,55.733,217.197,73.792,96.442,106.322,4.926,77.802,267.101,175.372,77.43,50.579,189.039,12.914,131.956,102.123,80.53,68.926,49.595,11.333,152.191,86.637,49.584,160.218,89.599,53.419,16.669,13.536,19.48,141.693,86.067,13.915,111.158,11.712,34.655,99.295,83.701,20.48,149.216,14.109,88.355,262.71,128.899,260.227,17.646,50.286,97.722,175.746,223.369,26.898,40.2,3.247,126.548,151.239,112.096,20.284,130.526,147.705,183.076,62.193,33.599,178.39,220.064,117.977,41.011,40.956,272.071,107.487,8.562,63.175,180.809,126.729, 
Nautla,112.63,100.302,283.322,286.484,169.085,104.745,203.879,131.324,104.134,211.028,159.208,121.424,147.406,104.474,172.628,108.899,134.952,44.227,128.888,113.384,73.91,148.942,144.787,100.541,104.291,0,105.436,148.238,159.433,247.79,228.441,130.243,147.162,200.53,102.157,147.261,159.86,122.257,198.326,117.016,134.25,223.806,254.057,65.157,181.856,171.134,147.028,176.954,102.268,179.848,203.057,140.144,37.695,55.645,153.811,99.025,104.469,81.227,123.259,143.36,146.937,108.676,106.306,183.819,146.926,124.99,186.941,150.761,114.011,98.56,116.822,57.531,26.197,106.375,160.436,92.321,79.043,88.007,153.027,117.822,125.45,111.451,18.188,198.666,99.197,196.183,99.784,147.628,147,131.542,199.604,124.24,137.542,100.589,96.846,127.473,161.374,98.119,46.364,112.477,138.872,42.93,104.36,143.162,250.263,93.021,65.231,131.299,177.563,74.192,96.23,43.842,136.605,100.966, 
San Francisco,25.119,10.531,133.168,139.256,77.54,17.234,261.758,43.813,15.446,268.907,71.697,33.914,194.137,79.762,88.001,22.542,47.441,64.146,39.347,54.971,57.142,90.398,57.276,142.484,16.78,105.436,0,186.209,114.337,213.837,32.726,83.011,59.921,255.394,131.408,60.02,110.505,23.304,151.472,24.36,101.649,270.552,214.68,58.363,219.827,83.893,100.624,116.423,12.81,87.903,257.921,178.002,69.949,43.098,191.669,18.508,134.586,104.753,84.712,42.324,59.696,21.435,154.821,96.738,59.685,162.848,99.7,63.52,26.77,18.043,29.582,134.212,78.586,2.313,115.34,15.83,27.174,101.925,90.802,30.582,151.846,27.521,80.874,253.53,131.529,251.047,1.805,60.387,101.904,178.376,225.999,36.999,37.502,13.74,129.178,153.869,116.278,4.697,123.045,150.335,185.706,54.712,13.327,181.02,210.884,120.607,33.53,29.371,203.958,110.117,11.609,55.694,183.439,129.359, 
Mecapalapa,191.918,189.701,153.085,156.247,172.391,184.033,73.642,281.175,199.913,80.791,190.692,280.35,83.977,106.378,153.451,204.678,277.983,173.29,268.847,130.983,202.826,152.248,270.955,53.551,183.579,148.238,186.209,0,88.684,117.067,290.291,87.293,156.83,69.807,64.779,164.618,116.91,285.535,81.804,291.771,77.102,93.083,123.334,137.78,34.001,248.878,104.078,154.404,182.496,136.898,72.334,78.162,146.113,163.913,91.829,172.768,64.874,82.472,80.31,285.356,269.712,188.904,79.487,140.869,158.57,63.008,155.719,150.23,194.239,170.151,185.598,114.785,150.147,196.501,89.687,182.448,159.419,89.586,119.923,182.768,27.72,191.679,158.258,67.943,56.145,65.46,189.91,153.91,76.251,78.425,83.082,196.501,276.041,180.817,56.727,34.511,90.625,188.245,103.619,50.495,85.755,153.321,202.67,81.18,119.54,65.193,173.499,281.634,61.042,79.507,186.357,152.11,83.488,61.843, 
Coahuitln,108.452,107.866,100.213,106.301,91.249,110.609,124.108,122.069,128.041,65.488,109.55,129.265,118.414,42.849,72.309,132.806,120.308,124.917,133.342,58.188,123.23,71.106,125.813,66.761,110.155,159.433,114.337,88.684,0,179.06,154.834,37.61,107.147,119.078,72.245,114.935,67.227,145.412,30.678,142.221,26.313,142.354,185.327,84.329,121.709,153.285,54.395,84.321,109.397,87.215,121.605,111.936,123.506,112.636,125.603,99.669,55.211,58.815,30.627,166.515,129.088,104.335,93.113,91.186,108.887,96.782,133.939,100.547,101.764,97.052,100.663,125.647,125.045,114.005,9.324,110.966,87.937,66.089,70.24,97.833,72.471,104.002,169.121,117.069,65.463,115.708,118.428,104.227,12.735,112.31,92.88,111.566,122.972,107.718,63.112,54.658,10.263,116.763,114.481,84.269,119.64,124.25,131.188,114.954,181.533,62.01,101.562,154.454,104.748,85.314,103.692,107.356,117.373,67.65, 
Jicolapa,213.604,222.852,40.946,36.161,104.659,217.007,72.649,190.248,201.162,79.798,118.036,189.423,183.529,190.296,76.393,206.538,187.056,247.022,177.92,111.291,257.394,102.137,180.028,153.104,223.017,247.79,213.837,117.067,179.06,0,198.174,83.527,111.929,67.529,163.351,106.862,62.172,193.418,94.964,199.654,172.857,66.617,2.324,229.139,150.517,156.761,74.268,36.893,220.557,65.418,70.056,176.734,237.471,251.432,190.401,230.901,146.797,173.83,91.593,193.239,99.882,212.602,178.059,69.389,113.669,161.58,58.865,105.329,207.003,231.523,207.766,213.357,248.719,212.343,179.212,229.699,252.642,180.945,99.92,210.89,126.292,209.744,256.83,65.665,154.717,63.182,221.419,109.009,165.776,176.997,101.935,195.818,183.924,220.501,155.299,123.597,116.804,219.298,202.191,149.067,184.327,263.046,206.78,179.752,2.419,156.552,241.048,189.517,75.026,178.079,226.549,264.028,182.06,160.415, 
Los Molinos (San Jos),65.584,51.936,228.049,232.83,92.045,57.699,245.873,63.039,20.051,253.022,86.203,58.037,224.891,121.529,102.506,22.791,59.847,90.389,54.001,96.738,76.283,111.386,82.278,173.238,57.245,228.441,32.726,290.291,154.834,198.174,0,114.646,73.307,235.234,163.043,73.406,123.891,7.675,262.669,13.939,133.284,250.392,194.52,82.702,318.222,52.407,132.259,129.809,53.909,101.289,237.761,209.637,95.204,68.353,223.304,55.749,166.221,136.388,116.347,18.09,73.929,59.931,186.456,110.124,73.07,194.483,107.724,76.906,58.816,55.284,62.092,159.467,103.841,31.093,146.975,47.381,58.809,133.56,107.188,63.092,183.481,56.744,106.129,233.37,163.164,230.887,38.34,73.773,133.539,210.011,269.64,59.664,54.59,55.674,160.813,185.504,147.913,36.219,148.3,181.97,217.341,79.967,23.701,212.655,190.724,152.242,57.969,5.137,242.731,141.752,48.85,80.949,215.074,160.994, 
Zozocolco de Hidalgo,77.126,76.54,62.522,68.61,40.3,79.283,122.717,73.365,96.715,129.866,60.847,80.561,117.023,33.407,34.618,101.48,71.605,93.591,84.638,26.862,91.904,39.78,77.109,65.37,78.829,130.243,83.011,87.293,37.61,83.527,114.646,0,58.272,117.689,70.856,66.059,29.539,114.088,74.747,110.897,24.924,140.965,89.556,69.182,120.32,104.409,16.707,46.633,78.073,49.527,120.216,110.547,108.163,81.312,124.214,68.345,53.822,49.374,7.987,135.191,80.212,73.011,91.724,53.498,60.011,95.393,83.592,51.671,70.44,65.728,69.339,96.53,116.8,82.681,38.615,79.642,56.613,56.649,38.916,66.509,71.082,72.678,119.088,115.68,64.074,114.319,87.104,55.351,25.179,110.921,91.491,77.393,74.096,76.394,61.723,53.269,39.553,85.439,85.364,82.88,118.251,92.926,99.864,113.565,81.311,60.621,70.238,123.13,103.359,56.122,72.368,93.908,115.984,66.261, 
Comaltepec,40.408,49.656,75.098,81.186,19.47,43.81,164.365,17.628,82.542,171.514,14.694,24.824,186.56,96.449,29.931,87.308,15.867,105.872,28.901,71.56,104.185,38.81,21.372,134.907,49.82,147.162,59.921,156.83,107.147,111.929,73.307,58.272,0,161.186,140.693,8.591,53.593,82.431,144.584,88.716,94.761,176.344,116.778,99.818,190.157,48.933,63.889,59.511,46.655,30.991,163.713,180.384,121.515,94.664,194.051,56.999,123.659,111.519,77.824,80.513,24.736,38.7,161.561,39.826,6.516,165.23,56.23,6.451,33.101,57.621,33.864,167.201,130.152,61.804,108.452,55.797,78.74,119.86,36.89,36.988,140.919,35.842,132.44,159.322,133.911,156.839,61.731,3.092,95.016,180.758,161.328,21.917,18.62,46.599,131.56,123.106,109.39,64.369,156.035,152.717,188.088,106.278,77.684,183.402,112.982,130.458,85.096,68.76,168.683,126.793,52.647,107.26,185.821,136.098, 
Las Colonias de Hidalgo,255.161,264.409,103.715,106.877,149.909,258.564,6.298,231.805,242.719,12.172,163.286,230.98,136.269,130.314,152.386,248.095,228.613,187.04,219.477,138.265,216.576,151.183,221.585,99.22,264.574,200.53,255.394,69.807,119.078,67.529,235.234,117.689,161.186,0,104.707,154.275,130.242,236.094,29.411,242.33,113.733,23.276,73.893,170.015,102.237,199.437,134.479,104.963,263.233,133.488,2.527,128.454,178.347,196.148,142.121,205.003,87.674,114.706,110.711,235.915,220.271,255.278,129.779,137.459,161.082,113.3,106.278,152.742,249.679,202.386,250.442,165.077,200.439,255.019,120.088,214.683,191.654,121.821,150.324,253.566,71.515,252.42,208.55,2.219,106.437,4.614,264.095,156.422,106.652,128.717,41.55,238.494,226.6,263.177,95.574,64.473,51.251,261.974,153.911,100.787,136.047,185.556,249.456,131.472,70.099,97.428,205.734,232.193,14.641,117.776,218.592,184.345,133.78,100.112, 
Arroyo del Maz Uno,137.117,134.9,199.537,202.699,124.493,129.232,109.73,155.811,145.112,116.879,142.794,156.022,63.353,51.578,105.553,149.877,159.439,100.16,163.486,76.183,129.696,104.35,169.274,11.701,128.778,102.157,131.408,64.779,72.245,163.351,163.043,70.856,140.693,104.707,0,146.817,99.109,164.883,109.776,161.692,45.7,126.619,170.534,85.769,98.332,185.167,86.277,116.203,130.485,119.097,105.87,56.507,94.102,111.902,70.174,120.757,15.919,30.795,62.509,185.986,160.97,136.893,29.37,123.068,140.769,41.353,202.919,132.429,142.228,118.14,133.587,67.928,103.29,144.49,71.886,130.437,107.408,37.575,102.122,130.757,36.9,139.668,111.401,101.334,10.034,99.973,137.899,136.109,58.45,58.919,111.054,144.49,157.791,128.806,8.296,38.923,72.824,136.234,56.762,28.84,66.249,101.31,150.659,59.525,166.74,13.078,121.488,173.925,89.013,21.281,134.346,100.099,63.982,4.941, 
Las Lomas,40.507,49.755,82.886,88.974,27.258,43.909,159.298,17.727,82.641,166.447,21.633,24.923,194.348,104.237,37.719,87.407,15.966,105.971,26.525,79.348,104.284,46.598,16.404,142.695,49.919,147.261,60.02,164.618,114.935,106.862,73.406,66.059,8.591,154.275,146.817,0,61.167,91.455,177.422,88.815,102.336,165.145,105.579,99.917,197.732,44.736,71.463,67.085,46.754,38.565,152.514,187.959,121.614,94.763,201.626,57.098,131.234,119.094,85.399,91.276,20.539,38.799,169.136,47.4,13.455,172.805,45.031,14.182,33.2,57.72,33.963,174.776,130.251,61.903,116.027,55.896,78.839,127.435,44.464,37.087,148.494,35.941,132.539,148.123,141.486,145.64,61.83,10.85,102.591,188.333,184.393,22.016,17.319,46.698,139.135,130.681,116.965,64.468,163.61,160.292,195.663,106.377,77.783,190.977,101.783,138.033,85.195,67.459,157.484,134.368,52.746,107.359,193.396,143.673, 
Ixtepec,90.992,100.24,41.167,47.255,41.62,94.394,135.265,68.212,127.16,142.414,55.693,75.408,146.64,63.024,33.584,131.925,66.451,124.036,79.485,57.306,122.349,49.01,71.956,94.987,100.404,159.86,110.505,116.91,67.227,62.172,123.891,29.539,53.593,130.242,99.109,61.167,0,132.925,106.248,139.211,56.425,83.944,68.2,101.512,151.821,99.427,12.831,25.277,97.15,22.605,131.747,142.048,140.493,113.642,155.715,100.676,85.323,80.875,39.488,131.007,75.23,89.195,123.225,26.576,55.03,126.894,58.946,46.69,83.596,98.059,84.359,128.031,149.13,112.299,70.116,106.292,88.943,88.15,52.807,87.483,102.583,86.337,151.418,127.356,95.575,124.873,112.226,50.37,56.68,142.422,122.992,72.412,69.114,97.094,93.224,84.77,71.054,114.864,116.865,114.381,149.752,125.256,128.179,145.066,59.955,92.122,102.568,119.254,134.86,87.623,103.142,126.238,147.485,97.762, 
Villa Aldama,56.162,42.514,223.293,228.074,99.105,48.277,241.117,74.856,10.629,248.266,93.263,65.097,215.469,112.107,109.566,13.369,66.907,80.967,61.061,87.316,66.861,122.743,77.522,163.816,47.823,122.257,23.304,285.535,145.412,193.418,7.675,114.088,82.431,236.094,164.883,91.455,132.925,0,269.317,6.264,125.609,257.04,201.168,75.027,324.87,59.055,124.584,138.907,45.167,110.387,244.409,201.962,87.529,60.678,215.629,48.074,158.546,128.713,108.672,27.188,80.577,54.312,178.781,119.222,82.168,186.808,114.372,86.004,59.647,47.609,62.458,151.792,96.166,23.794,139.3,39.706,51.134,125.885,114.762,63.458,175.806,57.087,98.454,240.018,155.489,237.535,30.665,82.871,125.864,202.336,276.288,69.876,63.688,46.225,153.138,177.829,140.238,28.544,140.625,174.295,209.666,72.292,16.026,204.98,197.372,144.567,50.294,14.235,249.379,134.077,41.175,73.274,207.399,153.319, 
Chicontla,282.596,145.001,131.15,134.312,128.384,147.744,34.571,259.24,270.154,35.01,146.685,258.415,148.266,72.871,109.444,275.53,256.048,193.473,246.912,95.323,223.009,108.241,249.02,105.653,147.29,198.326,151.472,81.804,30.678,94.964,262.669,74.747,144.584,29.411,109.776,177.422,106.248,269.317,0,270.182,56.335,49.991,101.745,160.018,82.433,227.289,91.53,132.815,204.734,124.35,29.242,124.724,168.35,186.151,138.391,195.006,77.677,104.709,67.762,263.767,248.123,141.47,115.578,128.321,146.022,109.57,134.13,137.682,138.899,192.389,137.798,148.112,183.475,218.739,26.517,204.686,181.657,111.824,107.375,134.968,61.518,141.137,191.586,32.569,87.928,31.208,212.148,141.362,35.092,124.987,30.579,266.346,254.452,203.055,85.577,54.476,22.055,210.483,136.946,97.057,132.317,175.559,277.308,127.742,97.951,87.431,195.737,260.045,28.434,107.779,208.595,174.348,130.05,90.115, 
Colonia Libertad,52.97,39.322,229.529,234.31,105.391,45.085,247.353,71.664,10.182,254.502,99.548,61.765,212.278,108.916,115.852,7.138,75.292,75.726,67.325,84.125,61.62,119.552,83.758,160.625,44.631,117.016,24.36,291.771,142.221,199.654,13.939,110.897,88.716,242.33,161.692,88.815,139.211,6.264,270.182,0,122.416,256.148,200.276,71.834,240.594,58.163,121.391,146.107,41.974,117.587,243.517,198.769,84.336,57.485,212.436,44.881,155.353,125.52,105.479,30.003,79.685,51.119,175.588,126.422,89.369,183.615,113.48,93.204,56.454,44.416,59.265,148.599,92.973,23.346,136.107,36.513,47.941,122.692,111.569,60.265,172.613,53.894,95.261,239.126,152.296,236.643,27.472,90.071,122.671,199.143,275.396,66.683,69.952,43.032,149.945,174.636,137.045,25.351,137.432,171.102,206.473,69.099,12.833,201.787,196.48,141.374,47.101,20.499,248.487,130.884,37.982,70.081,204.206,150.126, 
Entabladero,95.764,95.178,87.525,93.613,78.561,97.921,118.756,109.381,115.353,125.905,96.862,116.577,93.231,17.057,59.621,120.118,107.62,83.532,120.654,45.5,110.542,58.418,113.125,41.578,97.467,134.25,101.649,77.102,26.313,172.857,133.284,24.924,94.761,113.733,45.7,102.336,56.425,125.609,56.335,122.416,0,137.008,179.981,58.538,128.58,138.387,41.88,71.806,94.499,74.7,116.259,86.755,97.715,90.62,100.422,84.771,30.03,33.024,18.112,151.617,114.19,89.437,67.932,78.671,93.989,71.601,119.041,85.649,86.866,82.154,85.765,100.466,99.254,99.107,27.489,96.068,73.039,40.298,55.342,82.935,47.29,89.104,143.94,111.723,40.282,110.362,103.53,89.329,14.053,87.129,73.252,96.668,108.074,92.82,37.931,49.313,28.427,101.865,89.3,59.088,94.459,82.049,116.29,89.773,176.187,36.829,86.664,139.556,99.402,60.133,88.794,81.565,92.192,42.469, 
Chiconcuautla,270.319,279.567,54.167,49.382,165.067,273.722,24.363,246.963,257.877,26.972,178.444,246.138,159.545,153.59,98.169,263.253,243.771,210.316,234.635,161.541,239.852,174.459,236.743,122.496,279.732,223.806,270.552,93.083,142.354,66.617,250.392,140.965,176.344,23.276,126.619,165.145,83.944,257.04,49.991,256.148,137.008,0,60.702,193.29,125.512,222.712,157.754,58.669,286.508,87.194,21.49,151.729,201.622,219.423,165.396,228.278,110.949,137.981,133.986,259.19,243.546,278.553,153.054,91.165,184.357,136.575,129.553,176.017,272.954,225.661,273.717,188.352,223.714,278.294,76.293,237.958,214.929,145.096,173.599,276.841,94.79,275.695,231.825,25.494,129.712,27.889,287.37,179.697,129.927,151.992,64.825,261.769,249.875,286.452,118.849,87.748,71.831,285.249,177.186,124.062,159.322,208.831,272.731,154.747,69.111,120.703,229.009,255.468,37.916,141.051,241.867,207.62,157.055,123.387, 
Atzingo (La Cumbre),214.447,223.695,38.423,33.638,105.501,217.85,78.916,191.091,202.005,86.065,118.878,190.266,189.796,196.563,82.425,207.381,187.899,253.289,178.763,117.323,258.237,108.169,180.871,159.371,223.86,254.057,214.68,123.334,185.327,2.324,194.52,89.556,116.778,73.893,170.534,105.579,68.2,201.168,101.745,200.276,179.981,60.702,0,235.405,156.783,158.335,80.299,42.924,222.131,71.449,76.322,183,243.737,253.006,196.667,232.475,153.063,180.096,97.624,194.813,101.456,214.176,184.325,75.42,115.243,167.846,60.439,106.903,208.577,233.097,209.34,219.623,254.985,213.917,185.478,231.273,254.216,187.211,105.951,212.464,132.558,211.318,263.096,71.931,160.983,69.448,222.993,110.583,172.042,183.263,108.201,197.392,185.498,222.075,161.565,129.863,123.07,220.872,208.457,155.333,190.593,264.62,208.354,186.018,3.923,162.818,242.622,191.091,81.292,184.345,228.123,265.602,188.326,166.681, 
San Jos Acateno,64.072,61.855,132.612,138.7,97.98,56.187,175.038,82.766,64.771,182.187,116.281,82.977,136.355,42.119,101.523,69.536,86.394,25.003,90.441,42.41,48.603,77.837,96.229,84.702,55.733,65.157,58.363,137.78,84.329,229.139,82.702,69.182,99.818,170.015,85.769,99.917,101.512,75.027,160.018,71.834,58.538,193.29,235.405,0,171.79,115.94,86.676,116.602,55.042,115.314,172.778,129.965,37.23,32.092,143.632,45.314,86.549,56.716,70.765,110.543,91.743,61.45,106.784,126.052,91.733,114.811,140.553,107.161,66.785,42.697,58.144,72.863,45.867,69.047,85.333,54.994,31.965,53.888,76.854,55.314,103.809,64.225,48.155,168.242,83.492,166.881,62.456,92.435,71.897,130.339,177.962,69.047,82.348,53.363,81.141,105.832,86.271,60.791,61.696,102.298,137.669,23.521,64.04,132.983,232.706,72.57,25.472,98.482,155.921,62.08,58.903,23.037,135.402,81.322, 
San Francisco,225.536,223.319,186.703,189.865,173.957,217.651,107.26,314.793,233.531,114.409,192.258,313.968,92.148,139.996,155.017,238.296,311.601,206.908,302.465,164.601,236.444,153.814,304.573,87.169,217.197,181.856,219.827,34.001,121.709,150.517,318.222,120.32,190.157,102.237,98.332,197.732,151.821,324.87,82.433,240.594,128.58,125.512,156.783,171.79,0,282.497,137.109,188.023,216.115,169.929,105.953,99.119,179.732,197.532,127.755,206.387,98.493,116.091,113.341,318.975,303.331,222.523,113.106,173.9,191.601,96.627,189.338,183.261,227.858,203.77,219.217,148.404,183.766,230.12,122.718,216.067,193.038,123.205,152.954,216.387,61.339,225.298,191.877,101.562,89.764,99.079,223.529,186.941,109.282,112.044,100.14,230.12,309.66,214.436,90.346,67.103,123.656,221.864,137.238,84.114,119.374,186.94,236.289,96.367,153.159,98.812,207.118,315.253,78.1,113.126,219.976,185.729,117.107,95.462, 
San Andrs Payuca,64.379,73.627,121.235,191.417,65.607,67.782,204.46,41.023,59.892,211.609,59.765,40.199,315.34,126.947,76.068,65.268,37.832,129.844,28.695,101.014,128.157,84.948,30.803,181.045,73.792,171.134,83.893,248.878,153.285,156.761,52.407,104.409,48.933,199.437,185.167,44.736,99.427,59.055,227.289,58.163,138.387,222.712,158.335,115.94,282.497,0,110.861,106.483,71.676,77.963,201.733,308.411,146.536,119.685,322.078,82.02,170.632,171.229,124.797,52.683,28.713,63.721,208.534,86.798,49.744,293.257,62.509,53.58,58.122,82.642,58.885,210.799,155.173,86.825,155.425,80.818,103.761,168.401,83.862,62.009,257.969,60.863,157.461,197.342,180.884,194.859,86.752,50.447,141.989,308.674,233.612,46.937,35.043,71.62,178.533,255.274,156.363,89.39,199.632,280.744,316.004,131.299,66.224,311.429,154.696,187.083,110.117,48.961,206.703,176.593,77.668,132.281,313.737,183.071, 
Caxhuacan,94.739,94.153,53.263,59.351,45.443,96.896,139.502,78.508,114.328,146.651,65.99,85.704,133.808,50.192,39.761,119.093,76.748,111.204,89.781,44.474,109.517,36.178,82.252,82.155,96.442,147.028,100.624,104.078,54.395,74.268,132.259,16.707,63.889,134.479,86.277,71.463,12.831,124.584,91.53,121.391,41.88,157.754,80.299,86.676,137.109,110.861,0,37.378,95.689,33.759,137.002,127.333,125.778,98.927,141,85.961,70.608,66.16,24.773,141.306,85.529,99.493,108.51,37.73,65.328,112.179,71.047,56.988,93.894,83.344,86.955,113.316,134.415,100.297,55.401,97.257,74.228,73.435,38.092,84.125,87.868,96.635,136.703,132.466,80.86,131.105,104.719,60.668,41.965,127.707,108.277,82.71,79.413,94.01,78.509,70.055,56.339,103.054,102.15,99.666,135.037,110.541,117.479,130.351,72.056,77.407,87.853,129.553,120.145,72.908,89.984,111.523,132.77,83.047, 
